campaign_map_attrition_unit_immunities_tables	0
attrition	unit
chaos_territory	wh_main_chs_cha_dwarf_lord
chaos_territory	wh_main_chs_cha_dwarf_lord_1
chaos_territory	wh_main_chs_cha_dwarf_lord_shadow
chaos_territory	wh_main_chs_cha_dwarf_lord_shadow_1
chaos_territory	wh_main_chs_cha_dwarf_sorcerer_death
chaos_territory	wh_main_chs_cha_dwarf_sorcerer_fire
chaos_territory	wh_main_chs_cha_dwarf_sorcerer_metal
chaos_territory	zhatan_the_black
chaos_territory	zhatan_the_black_1
chaos_territory	rykarth_the_unbreakable
chaos_territory	drazhoath_the_ashen
chaos_territory	drazhoath_the_ashen_1
chaos_territory	wh_main_chs_cha_bull_lord
chaos_territory	hobgoblin_khan
chaos_territory	hobgoblin_khan_wolf
chaos_territory	wh_main_chs_cha_dwarf_castellan
horde_infighting	wh_main_chs_cha_dwarf_castellan
wasteland	wh_main_chs_cha_dwarf_lord
wasteland	wh_main_chs_cha_dwarf_lord_1
horde_infighting	wh_main_chs_cha_dwarf_lord
horde_infighting	wh_main_chs_cha_dwarf_lord_1
wasteland	wh_main_chs_cha_dwarf_lord_shadow
wasteland	wh_main_chs_cha_dwarf_lord_shadow_1
horde_infighting	wh_main_chs_cha_dwarf_lord_shadow
horde_infighting	wh_main_chs_cha_dwarf_lord_shadow_1
wasteland	wh_main_chs_cha_dwarf_sorcerer_death
horde_infighting	wh_main_chs_cha_dwarf_sorcerer_death
wasteland	wh_main_chs_cha_dwarf_sorcerer_fire
horde_infighting	wh_main_chs_cha_dwarf_sorcerer_fire
wasteland	wh_main_chs_cha_dwarf_sorcerer_metal
wasteland	zhatan_the_black
wasteland	zhatan_the_black_1
wasteland	rykarth_the_unbreakable
wasteland	drazhoath_the_ashen
wasteland	drazhoath_the_ashen_1
wasteland	wh_main_chs_cha_bull_lord
wasteland	hobgoblin_khan
wasteland	hobgoblin_khan_wolf
horde_infighting	wh_main_chs_cha_dwarf_sorcerer_metal
horde_infighting	zhatan_the_black
horde_infighting	zhatan_the_black_1
horde_infighting	rykarth_the_unbreakable
horde_infighting	drazhoath_the_ashen
horde_infighting	drazhoath_the_ashen_1
horde_infighting	wh_main_chs_cha_bull_lord
horde_infighting	hobgoblin_khan
horde_infighting	hobgoblin_khan_wolf
wasteland	wh_main_chs_cha_dwarf_castellan
