character_skill_level_to_effects_junctions_tables	1
character_skill_key	effect_key	effect_scope	level	value
wh_main_skill_chs_cha_dwarf_lord_taurus	wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	1	-1.0
wh_main_skill_chs_cha_dwarf_lord_taurus_zhatan	wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	1	-1.0
wh_main_skill_chs_cha_drazhoath_cinderbreath	wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	1	-1.0
wh_main_skill_chs_cha_dwarf_lord_taurus	wh_main_effect_agent_action_success_chance_skill	character_to_character_own	1	1.0
wh_main_skill_chs_cha_dwarf_lord_taurus_zhatan	wh_main_effect_agent_action_success_chance_skill	character_to_character_own	1	1.0
wh_main_skill_chs_cha_drazhoath_cinderbreath	wh_main_effect_agent_action_success_chance_skill	character_to_character_own	1	1.0
wh_main_skill_chs_cha_dwarf_lord_taurus	wh_main_effect_enable_mount_great_taurus	character_to_character_own	1	1.0
wh_main_skill_chs_cha_dwarf_lord_taurus_zhatan	wh_main_effect_enable_mount_great_taurus	character_to_character_own	1	1.0
aazhatspecial7	wh_dlc05_effect_global_recruitment_duration_all	character_to_faction_unseen	1	-1.0
wh_main_skill_chs_cha_drazhoath_cinderbreath	wh_main_effect_enable_mount_cinderbreath	character_to_character_own	1	1.0
wh_main_skill_chs_cha_dwarf_lord_lammasu	wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	1	-1.0
wh_main_skill_chs_cha_dwarf_lord_lammasu	wh_main_effect_agent_action_success_chance_skill	character_to_character_own	1	1.0
wh_main_skill_chs_cha_dwarf_lord_lammasu	wh_main_effect_enable_mount_lammasu	character_to_character_own	1	1.0
aalegendaryskill7	ads_cdwarrioronly_upkeep	general_to_force_own	1	-50.0
aalegendaryskill7	ads_cdwarrioronly_attack	general_to_force_own	1	10.0
aalegendaryskill7	deco_effect_agent_recruitmentxp_cdsorchero	general_to_force_own	1	3.0
