character_skill_nodes_skill_locks_tables	0
character_skill	character_skill_node	level
ads_greatkhanunique2	wh_main_skill_node_chs_cd_lord_unique_111_hobgoblinlord_sorcerer	1
ads_greatkhanunique2	wh_main_skill_node_chs_cd_lord_unique_111_hobgoblinlord	1
ads_greatkhanunique3	wh_main_skill_node_chs_cd_lord_unique_111_hobgoblinlord_sorcerer	1
ads_greatkhanunique3	wh_main_skill_node_chs_cd_lord_unique_111_hobgoblinlord	1
ads_greatkhanunique4	wh_main_skill_node_chs_cd_lord_unique_111_hobgoblinlord_sorcerer	1
ads_greatkhanunique4	wh_main_skill_node_chs_cd_lord_unique_111_hobgoblinlord	1
ads_greatkhanunique3	wh_main_skill_node_chs_cd_lord_unique_112_hobgoblinlord_sorcerer	1
ads_greatkhanunique3	wh_main_skill_node_chs_cd_lord_unique_112_hobgoblinlord	1
ads_greatkhanunique4	wh_main_skill_node_chs_cd_lord_unique_112_hobgoblinlord_sorcerer	1
ads_greatkhanunique4	wh_main_skill_node_chs_cd_lord_unique_112_hobgoblinlord	1
ads_greatkhanunique1	wh_main_skill_node_chs_cd_lord_unique_112_hobgoblinlord_sorcerer	1
ads_greatkhanunique1	wh_main_skill_node_chs_cd_lord_unique_112_hobgoblinlord	1
ads_greatkhanunique1	wh_main_skill_node_chs_cd_lord_unique_113_hobgoblinlord_sorcerer	1
ads_greatkhanunique1	wh_main_skill_node_chs_cd_lord_unique_113_hobgoblinlord	1
ads_greatkhanunique2	wh_main_skill_node_chs_cd_lord_unique_113_hobgoblinlord_sorcerer	1
ads_greatkhanunique2	wh_main_skill_node_chs_cd_lord_unique_113_hobgoblinlord	1
ads_greatkhanunique4	wh_main_skill_node_chs_cd_lord_unique_113_hobgoblinlord_sorcerer	1
ads_greatkhanunique4	wh_main_skill_node_chs_cd_lord_unique_113_hobgoblinlord	1
ads_greatkhanunique2	wh_main_skill_node_chs_cd_lord_unique_114_hobgoblinlord_sorcerer	1
ads_greatkhanunique2	wh_main_skill_node_chs_cd_lord_unique_114_hobgoblinlord	1
ads_greatkhanunique3	wh_main_skill_node_chs_cd_lord_unique_114_hobgoblinlord_sorcerer	1
ads_greatkhanunique3	wh_main_skill_node_chs_cd_lord_unique_114_hobgoblinlord	1
ads_greatkhanunique1	wh_main_skill_node_chs_cd_lord_unique_114_hobgoblinlord_sorcerer	1
ads_greatkhanunique1	wh_main_skill_node_chs_cd_lord_unique_114_hobgoblinlord	1
