faction_agent_permitted_subtypes_tables	0
agent	faction	subtype
general	wh_main_chs_chaos	wh_main_chs_cha_dwarf_lord
general	wh_main_chs_chaos	wh_main_chs_cha_bull_lord
general	wh_main_chs_chaos	wh_main_chs_cha_dwarf_lord_shadow
wizard	wh_main_chs_chaos	wh_main_chs_cha_dwarf_sorcerer_death
wizard	wh_main_chs_chaos	wh_main_chs_cha_dwarf_sorcerer_fire
wizard	wh_main_chs_chaos	wh_main_chs_cha_dwarf_sorcerer_metal
champion	wh_main_chs_chaos	wh_main_chs_cha_dwarf_castellan
spy	wh_main_chs_chaos	hobgoblin_khan
general	wh_main_chs_chaos	hobgoblin_greatkhan
general	wh_main_chs_chaos	hobgoblin_greatsorcerer
