ancillaries_tables	16
key	type	applies_to	transferrable	unique_to_world	unique_to_faction	precedence	start_date	end_date	avatar_skill	avatar_special_ability	legendary_item	mp_exclusive	is_wife_ancillary	category	min_starting_age	max_starting_age	min_expiry_age	max_expiry_age	immortal	provided_bodyguard_unit	provided_banner	uniqueness_score	turns_before_swap_allowed	subcategory	randomly_dropped
grudge_anc_rune_rune_of_fury	wh_main_anc_rune_rune_of_fury	.	false	false	false	1	0	9999			false	false	false	general	16	30	30	50	true			10	0	rune	false
grudge_anc_rune_rune_of_might	wh_main_anc_rune_rune_of_might	.	false	false	false	1	0	9999			false	false	false	general	16	30	30	50	true			10	0	rune	false
grudge_anc_rune_rune_of_parrying	wh_main_anc_rune_rune_of_parrying	.	false	false	false	1	0	9999			false	false	false	general	16	30	30	50	true			10	0	rune	false
grudge_anc_rune_rune_of_striking	wh_main_anc_rune_rune_of_striking	.	false	false	false	1	0	9999			false	false	false	general	16	30	30	50	true			10	0	rune	false
grudge_item_horn_of_urgok	grudge_item_horn_of_urgok	.	false	false	false	1	0	9999			false	false	false	enchanted_item	16	30	30	50	true			200	0		false
grudge_item_grudgebringer_sword	grudge_item_grudgebringer_sword	.	false	false	false	1	0	9999			false	false	false	weapon	16	30	30	50	true			200	0		false
grudge_item_hellfire_sword	grudge_item_hellfire_sword	.	false	false	false	1	0	9999			false	false	false	weapon	16	30	30	50	true			200	0		false
grudge_item_storm_sword	grudge_item_storm_sword	.	false	false	false	1	0	9999			false	false	false	weapon	16	30	30	50	true			200	0		false
grudge_item_runefang	grudge_item_runefang	.	false	false	false	1	0	9999			false	false	false	weapon	16	30	30	50	true			200	0		false
grudge_item_enchanted_shield	grudge_item_enchanted_shield	.	false	false	false	1	0	9999			false	false	false	armour	16	30	30	50	true			200	0		false
grudge_item_shield_of_ptolos	grudge_item_shield_of_ptolos	.	false	false	false	1	0	9999			false	false	false	armour	16	30	30	50	true			200	0		false
grudge_item_spelleater_shield	grudge_item_spelleater_shield	.	false	false	false	1	0	9999			false	false	false	armour	16	30	30	50	true			200	0		false
grudge_item_dragonhelm	grudge_item_dragonhelm	.	false	false	false	1	0	9999			false	false	false	armour	16	30	30	50	true			200	0		false
grudge_item_wand_of_jet	grudge_item_wand_of_jet	.	false	false	false	1	0	9999			false	false	false	arcane_item	16	30	30	50	true			200	0		false
grudge_item_banner_of_arcane_warding	grudge_item_banner_of_arcane_warding	.	false	false	false	1	0	9999			false	false	false	general	16	30	30	50	true		grudge_banner_of_arcane_warding	200	0	banner	false
grudge_item_banner_of_wrath	grudge_item_banner_of_wrath	.	false	false	false	1	0	9999			false	false	false	general	16	30	30	50	true		grudge_banner_of_wrath	200	0	banner	false
grudge_item_banner_of_defiance	grudge_item_banner_of_defiance	.	false	false	false	1	0	9999			false	false	false	general	16	30	30	50	true		grudge_banner_of_defiance	200	0	banner	false
