ancillary_types_tables	0
type	ui_icon
albion_lone_huntress	ui/campaign ui/ancillaries/albion_anc_huntress.png
albion_woad_raider	ui/campaign ui/ancillaries/albion_anc_norsca_woad_raider.png
albion_tame_raven	ui/campaign ui/ancillaries/anc_albion_raven_companion.png
albion_druid_advisor	ui/campaign ui/ancillaries/albion_druid_advisor.png
albion_chief	ui/campaign ui/ancillaries/albion_anc_tribe_man.png
albion_old_warrior	ui/campaign ui/ancillaries/albion_anc_old_man.png
albion_scavanger	ui/campaign ui/ancillaries/albion_man2.png
albion_woman	ui/campaign ui/ancillaries/albion_tribe_woman.png
hearthguard_follower	ui/campaign ui/ancillaries/albion_anc_hearthguard.png
druid_neophyte	ui/campaign ui/ancillaries/albion_neophyte.png
albion_scary_banner	ui/campaign ui/ancillaries/albion_anc_banner_trophies.png
anc_albion_triskele_banner	ui/campaign ui/ancillaries/anc_albion_triskele_banner.png
anc_danu_banner	ui/campaign ui/ancillaries/albion_anc_knot_banner.png
anc_albion_hunter_banner	ui/campaign ui/ancillaries/albion_anc_hunters_banner.png
