id	priority	unit	unit_group
#armed_citizenry_units_to_unit_groups_junctions_tables;0;db/armed_citizenry_units_to_unit_groups_junctions_tables/elo_albion			
77001	5	albion_chariot	wh_main_nor_cav_chaos_chariot
77002	5	albion_riders_javelins	wh_main_nor_cav_marauder_horsemen_0
77003	20	albion_centaurs	wh_main_nor_cav_marauder_horsemen_1
77004	10	elo_albion_warriors	wh_main_nor_inf_chaos_marauders_0
77005	15	elo_albion_warriors_2h	wh_main_nor_inf_chaos_marauders_1
77006	20	albion_half_giants	wh_main_nor_mon_chaos_trolls
77007	5	elo_bloodhounds	wh_main_nor_mon_chaos_warhounds_0
77008	10	albion_riders	wh_main_nor_mon_chaos_warhounds_1
77009	20	elo_woadraider	wh_dlc08_nor_inf_marauder_berserkers_0
77010	55	albion_hearthguard_halberd	wh_dlc08_nor_mon_chaos_ice_trolls
77011	60	albion_giant	wh_dlc08_nor_mon_war_mammoth_0
77012	45	elo_albion_warriors_spears	wh_dlc08_nor_inf_marauder_spearman_0
77013	10	elo_youngbloods	wh_dlc08_nor_inf_marauder_hunters_0
77014	40	albion_hearthguard	wh_dlc08_nor_inf_marauder_champions_0
77015	20	albion_huntresses	wh_dlc08_nor_cha_skin_wolf_werekin_0
77016	50	elo_fenbeast	wh_dlc08_nor_mon_fimir_0
77017	20	albion_half_giants	albion_half_giants
77018	15	albion_huntresses	albion_huntresses
77019	20	alb_cav_noble_spear	alb_cav_noble_spear
77020	15	druid_neophytes	druid_neophytes
77021	25	alb_viridian_champ	alb_viridian_champ
77022	20	albion_swordmaiden	albion_swordmaiden
77023	25	albion_chief_chariot	albion_chief_chariot
