armed_citizenry_units_to_unit_groups_junctions_tables	0
id	priority	unit	unit_group
92112192	3	halfling_spear	ovn_halfling
92112193	3	halfling_spear	ovn_halfling
92112194	3	halfling_inf	ovn_halfling
92112196	2	halfling_cook	ovn_halfling2
92112197	2	ovn_mtl_art_hotpot	ovn_halfling2
92112198	2	halfling_archer	ovn_halfling3
92112195	3	halfling_inf	ovn_halfling2
92112199	2	ovn_mtl_art_hotpot	ovn_halfling3
92112200	1	halfling_cook	ovn_halfling3
92112201	3	halfling_thief	ovn_halfling
92112202	3	halfling_thief	ovn_halfling2
92112203	3	halfling_spear	ovn_halfling
92112204	2	halfling_archer	ovn_halfling_landmark
92112205	2	halfling_archer	ovn_halfling_landmark
92112206	2	sr_ogre	ovn_halfling_landmark
92112207	2	sr_ogre	ovn_halfling_landmark
92112208	2	ovn_hlf_moot_general_0	ovn_halfling_landmark
93111500	2	ovn_hlf_master_chef_0	ovn_halfling_landmark
