battle_set_piece_armies_characters_tables	7
character_level	character_name	forename	magic_lore	num_men	surname	unit_type	agent_type	agent_subtype	portrait	character_model	skillset	male
1	ovn_com_cha_olorin_the_grey_wizard	162509577	wh_dlc05_lore_shadows	100	271572567	ovn_com_cha_olorin_the_grey_wizard_0	general	ovn_com_olorin_the_grey_wizard	ui/portraits/portholes/ovn_the_comradeship/ovn_com_olorin_the_grey_wizard.png	137587985		true
1	ovn_com_cha_aragand_the_layabout	452577106		100	564280971	ovn_com_cha_aragand_the_layabout_0	champion	ovn_com_aragand_the_layabout	ui/portraits/portholes/ovn_the_comradeship/ovn_com_aragand_the_layabout.png	137587986		true
1	ovn_com_cha_legles_the_elf	252755655		100	431114642	ovn_com_cha_legles_the_elf_0	spy	ovn_com_legles_the_elf	ui/portraits/portholes/ovn_the_comradeship/ovn_com_legles_the_elf.png	137587987		true
1	ovn_com_cha_giblit_the_dwarf	187373064		100	854306550	ovn_com_cha_giblit_the_dwarf_0	champion	ovn_com_giblit_the_dwarf	ui/portraits/portholes/ovn_the_comradeship/ovn_com_giblit_the_dwarf.png	137587988		true
1	ovn_arb_cha_magician_life_0	999983023	wh_dlc05_lore_life	100	999983087	ovn_arb_cha_magician_life_0	wizard	arb_magician_life	ui/portraits/portholes/no_culture/araby_wiz_life.png	1325400312		true
1	ovn_arb_cha_magician_desert_0	999983024	ovn_lore_desert	100	999983088	ovn_arb_cha_magician_desert_0	wizard	arb_magician_desert	ui/portraits/portholes/no_culture/araby_wiz.png	1325400313		true
1	ovn_arb_cha_magician_fire_0	999983025	wh_main_lore_fire	100	999983089	ovn_arb_cha_magician_fire_0	wizard	arb_magician_fire	ui/portraits/portholes/no_culture/araby_wiz_fire.png	1325400314		true
1	ovn_arb_cha_magician_heavens_0	999983026	wh_main_lore_heavens	100	999983090	ovn_arb_cha_magician_heavens_0	wizard	arb_magician_heavens	ui/portraits/portholes/no_culture/araby_wiz_sky.png	1325400315		true
1	Dread_King	247259235		100	247259236	Dread_King	general	Dread_King		2101873		true
1	aky_chief_fimir_great_weapons_0	164295142		100	1513022302	aky_chief_fimir_great_weapons_0	general	aky_chief_fimir_great_weapons	UI/Portraits/Portholes/wh_main_chs_chaos/aky_chief_fimir_great_weapons_0.png	1326263180		true
1	aky_chief_wolf_werekin_0	1091358184		100	1132597213	aky_chief_wolf_werekin_0	general	aky_chief_wolf_werekin	UI/Portraits/Portholes/wh_main_chs_chaos/aky_chief_wolf_werekin_0.png	1531994451		true
1	aky_chief_wolf_werekin_1_terrorgheist_0	1091358184		100	1132597213	aky_chief_wolf_werekin_1_terrorgheist	general	aky_chief_wolf_werekin	UI/Portraits/Portholes/wh_main_chs_chaos/aky_chief_wolf_werekin_0.png	1531994451		true
1	roy_arb_cha_nomad	3508823146		100	3508823147	roy_arb_cha_nomad	spy	roy_arb_nomad	ui/portraits/portholes/no_culture/roy_arb_cha_nomad.png	32823075		true
1	roy_arb_cha_champion	3508823148		100	3508823149	roy_arb_cha_champion	champion	roy_arb_champion	ui/portraits/portholes/no_culture/roy_arb_cha_champion.png	32823068		true
1	roy_arb_cha_nomad_assassin	3508823146		100	3508823147	roy_arb_cha_nomad_assassin	spy	roy_arb_nomad	ui/portraits/portholes/no_culture/roy_arb_cha_nomad.png	32823076		true
1	belakor	247258464	wh_dlc05_lore_shadows	100	247258465	belakor	general	belakor		8070	wh_dlc07_skill_node_set_chs_sorcerer_lord_shadows	true
