building_chain_availability_sets_tables	0
building_chain	id
ovn_arb_hosp	ovn_bas_araby
ovn_Nehekharan	ovn_bas_araby
ovn_arb_haikk	ovn_bas_araby
ovn_arb_bel	ovn_bas_araby
ovn_arb_fyrus	ovn_bas_araby
ovn_arb_Sabar	ovn_bas_araby
ovn_arb_Madrasat	ovn_bas_araby
ovn_arb_Sartosa	ovn_bas_araby
ovn_arb_Magritta	ovn_bas_araby
ovn_arb_Crypt	ovn_bas_araby
ovn_arb_Twilight	ovn_bas_araby
ovn_arb_forge	ovn_bas_araby
ovn_arb_nomad	ovn_bas_araby
ovn_arb_xp	ovn_bas_araby
ovn_arb_barracks	ovn_bas_araby
ovn_arb_industry_basic	ovn_bas_araby
ovn_arb_stables	ovn_bas_araby
ovn_arb_tavern	ovn_bas_araby
ovn_arb_worship	ovn_bas_araby
wh2_main_special_settlement_pyramid_of_nagash_emp	ovn_bas_araby
ovn_arb_scy_tmb	ovn_bas_araby
wh2_dlc11_special_settlement_galleons_graveyard_other	ovn_bas_araby
wh2_dlc12_special_bordeleaux_manann_shrine	ovn_bas_araby
wh2_dlc14_special_copher_port	ovn_bas_araby
wh2_dlc14_special_dragon_isle_port	ovn_bas_araby
wh2_dlc14_special_pigbarter_human	ovn_bas_araby
wh2_dlc15_special_settlement_massif_orcal_emp	ovn_bas_araby
wh2_dlc15_special_settlement_tor_yvresse_emp	ovn_bas_araby
wh2_main_EMPIRE_academy	ovn_bas_araby
wh2_main_EMPIRE_roads	ovn_bas_araby
wh2_main_HUMAN_resource_gemstones	ovn_bas_araby
wh2_main_emp_defence_norsca	ovn_bas_araby
wh2_main_emp_resource_animals	ovn_bas_araby
wh2_main_emp_resource_medicine	ovn_bas_araby
wh2_main_emp_resource_obsidian	ovn_bas_araby
wh2_main_emp_resource_spices	ovn_bas_araby
wh2_main_foreign_slot_discovery_emp	ovn_bas_araby
wh2_main_special_altdorf_imperial_palace	ovn_bas_araby
wh2_main_special_chamber_of_visions	ovn_bas_araby
wh2_main_special_clar_karond_lairs_other	ovn_bas_araby
wh2_main_special_empire_fort_untainted	ovn_bas_araby
wh2_main_special_fortress_gate_eagle_untainted	ovn_bas_araby
wh2_main_special_fortress_gate_griffon_untainted	ovn_bas_araby
wh2_main_special_fortress_gate_phoenix_untainted	ovn_bas_araby
wh2_main_special_fortress_gate_unicorn_untainted	ovn_bas_araby
wh2_main_special_ghrond_convent_of_sorcery_emp	ovn_bas_araby
wh2_main_special_glittering_tower	ovn_bas_araby
wh2_main_special_golden_tower_of_the_gods_other	ovn_bas_araby
wh2_main_special_hag_graef_mines	ovn_bas_araby
wh2_main_special_hexoatl_stellar_pyramids_other	ovn_bas_araby
wh2_main_special_itza_emerald_pools	ovn_bas_araby
wh2_main_special_lothern_port_other	ovn_bas_araby
wh2_main_special_quintex	ovn_bas_araby
wh2_main_special_salzenmund_laurelorn_human	ovn_bas_araby
wh2_main_special_settlement_athel_loren_emp	ovn_bas_araby
wh2_main_special_settlement_black_crag_emp	ovn_bas_araby
wh2_main_special_settlement_colony_major_other	ovn_bas_araby
wh2_main_special_settlement_colony_minor_other	ovn_bas_araby
wh2_main_special_settlement_eight_peaks_emp	ovn_bas_araby
wh2_main_special_settlement_gaean_vale_emp	ovn_bas_araby
wh2_main_special_settlement_hellpit_other	ovn_bas_araby
wh2_main_special_settlement_hexoatl_emp	ovn_bas_araby
wh2_main_special_settlement_itza_emp	ovn_bas_araby
wh2_main_special_settlement_karaz_a_karak_emp	ovn_bas_araby
wh2_main_special_settlement_khemri_emp	ovn_bas_araby
wh2_main_special_settlement_lahmia_emp	ovn_bas_araby
wh2_main_special_settlement_lothern_emp	ovn_bas_araby
wh2_main_special_settlement_naggarond_emp	ovn_bas_araby
wh2_main_special_settlement_sartosa_emp	ovn_bas_araby
wh2_main_special_settlement_skavenblight_other	ovn_bas_araby
wh2_main_special_settlement_the_awakening_emp	ovn_bas_araby
wh2_main_special_shrine_of_asuryan_other	ovn_bas_araby
wh2_main_special_shrine_of_khaine_other	ovn_bas_araby
wh2_main_special_tower_of_hoeth_emp	ovn_bas_araby
wh2_main_special_ziggurat_of_dawn_beacon	ovn_bas_araby
wh2_main_wef_oak_of_ages_occupied	ovn_bas_araby
wh_main_EMPIRE_barracks	ovn_bas_araby
wh_main_EMPIRE_farm_basic	ovn_bas_araby
wh_main_EMPIRE_forges	ovn_bas_araby
wh_main_EMPIRE_garrison	ovn_bas_araby
wh_main_EMPIRE_industry_basic	ovn_bas_araby
wh_main_EMPIRE_outpostnorsca_major	ovn_bas_araby
wh_main_EMPIRE_outpostnorsca_major_coast	ovn_bas_araby
wh_main_EMPIRE_outpostnorsca_minor	ovn_bas_araby
wh_main_EMPIRE_outpostnorsca_minor_coast	ovn_bas_araby
wh_main_EMPIRE_settlement_major	ovn_bas_araby
wh_main_EMPIRE_settlement_major_coast	ovn_bas_araby
wh_main_EMPIRE_settlement_minor	ovn_bas_araby
wh_main_EMPIRE_settlement_minor_coast	ovn_bas_araby
wh_main_EMPIRE_smiths	ovn_bas_araby
wh_main_EMPIRE_stables	ovn_bas_araby
wh_main_EMPIRE_tavern	ovn_bas_araby
wh_main_EMPIRE_wizards	ovn_bas_araby
wh_main_HUMAN_TEB_worship	ovn_bas_araby
wh_main_HUMAN_resource_dyes	ovn_bas_araby
wh_main_HUMAN_resource_furs	ovn_bas_araby
wh_main_HUMAN_resource_gold	ovn_bas_araby
wh_main_HUMAN_resource_iron	ovn_bas_araby
wh_main_HUMAN_resource_marble	ovn_bas_araby
wh_main_HUMAN_resource_pastures	ovn_bas_araby
wh_main_HUMAN_resource_pottery	ovn_bas_araby
wh_main_HUMAN_resource_salt	ovn_bas_araby
wh_main_HUMAN_resource_timber	ovn_bas_araby
wh_main_HUMAN_resource_wine	ovn_bas_araby
wh_main_TEB_port	ovn_bas_araby
wh_main_TEB_walls	ovn_bas_araby
wh_main_bretonnia_legendary_bordeleaux	ovn_bas_araby
wh_main_sch_special_moot_cauldron	ovn_bas_araby
wh_main_sch_special_the_rock	ovn_bas_araby
wh_main_special_archecclesiatium	ovn_bas_araby
wh_main_special_blazing_sun_chapterhouse	ovn_bas_araby
wh_main_special_bokha_palace	ovn_bas_araby
wh_main_special_bordeleaux_vineyards	ovn_bas_araby
wh_main_special_college_of_magic	ovn_bas_araby
wh_main_special_erengrad_port	ovn_bas_araby
wh_main_special_great_temple_of_ulric	ovn_bas_araby
wh_main_special_knights_panther_chapterhouse	ovn_bas_araby
wh_main_special_marienburg_port	ovn_bas_araby
wh_main_special_nuln_gunnery_school	ovn_bas_araby
wh_main_special_settlement_altdorf	ovn_bas_araby
wh_main_special_settlement_castle_drakenhof_empire	ovn_bas_araby
wh_main_special_settlement_couronne_empire	ovn_bas_araby
wh_main_special_settlement_kislev_empire	ovn_bas_araby
wh_main_special_settlement_miragliano	ovn_bas_araby
wh_main_special_tournament_grounds	ovn_bas_araby
wh_main_special_ubersreik_inn	ovn_bas_araby
