building	culture	subculture	faction	description	icon	disables	short_description	display_tooltip
#building_culture_variants_tables;4;db/building_culture_variants_tables/!ovn_rotblood_tribe_newf								
wh_main_nor_outpost_major_human_1_coast			wh2_main_nor_rotbloods	wh_main_PLACEHOLDER	rotblood_city_1	false	rotblood_city_1	true
wh_main_nor_outpost_major_human_1			wh2_main_nor_rotbloods	wh_main_PLACEHOLDER	rotblood_city_1	false	rotblood_city_1	true
wh_main_nor_outpost_major_human_2_coast			wh2_main_nor_rotbloods	wh_main_PLACEHOLDER	rotblood_city_2	false	rotblood_city_2	true
wh_main_nor_outpost_major_human_2			wh2_main_nor_rotbloods	wh_main_PLACEHOLDER	rotblood_city_2	false	rotblood_city_2	true
wh_main_nor_outpost_major_human_3_coast			wh2_main_nor_rotbloods	wh_main_PLACEHOLDER	rotblood_city_3	false	rotblood_city_3	true
wh_main_nor_outpost_major_human_3			wh2_main_nor_rotbloods	wh_main_PLACEHOLDER	rotblood_city_3	false	rotblood_city_3	true
wh_main_nor_outpost_minor_human_1_coast			wh2_main_nor_rotbloods	wh_main_PLACEHOLDER	rotblood_city_1	false	rotblood_city_1	true
wh_main_nor_outpost_minor_human_1			wh2_main_nor_rotbloods	wh_main_PLACEHOLDER	rotblood_city_1	false	rotblood_city_1	true
wh_main_nor_outpost_minor_human_2_coast			wh2_main_nor_rotbloods	wh_main_PLACEHOLDER	rotblood_city_2	false	rotblood_city_2	true
wh_main_nor_outpost_minor_human_2			wh2_main_nor_rotbloods	wh_main_PLACEHOLDER	rotblood_city_2	false	rotblood_city_2	true
wh_main_nor_outpost_minor_human_3_coast			wh2_main_nor_rotbloods	wh_main_PLACEHOLDER	rotblood_city_3	false	rotblood_city_3	true
wh_main_nor_outpost_stables_1			wh2_main_nor_rotbloods	wh_main_PLACEHOLDER	rotblood_stables	false	wh_main_horde_chaos_knights_1	true
wh_main_nor_outpost_stables_2			wh2_main_nor_rotbloods	wh_main_PLACEHOLDER	rotblood_stables	false	wh_main_horde_chaos_knights_1	true
wh_main_nor_outpost_stables_3			wh2_main_nor_rotbloods	wh_main_PLACEHOLDER	rotblood_stables	false	wh_main_horde_chaos_knights_1	true
wh_main_nor_outpost_minor_human_3			wh2_main_nor_rotbloods	wh_main_PLACEHOLDER	rotblood_city_3	false	rotblood_city_3	true
wh_main_nor_outpost_growth_1			wh2_main_nor_rotbloods	wh_main_PLACEHOLDER	rotblood_worship	false	wh_main_horde_chaos_warriors_2	true
wh_main_nor_outpost_growth_2			wh2_main_nor_rotbloods	wh_main_PLACEHOLDER	rotblood_worship	false	wh_main_horde_chaos_warriors_2	true
wh_main_nor_outpost_growth_3			wh2_main_nor_rotbloods	wh_main_PLACEHOLDER	rotblood_worship	false	wh_main_horde_chaos_warriors_2	true
wh_main_nor_outpost_garrison_3			wh2_main_nor_rotbloods	wh_main_PLACEHOLDER	vampire_garrison	false	wh_main_horde_chaos_settlement_4	true
wh_main_nor_outpost_garrison_2			wh2_main_nor_rotbloods	wh_main_PLACEHOLDER	vampire_garrison	false	wh_main_horde_chaos_settlement_4	true
wh_main_nor_outpost_garrison_1			wh2_main_nor_rotbloods	wh_main_PLACEHOLDER	vampire_garrison	false	wh_main_horde_chaos_settlement_4	true
wh_main_nor_outpost_income_1			wh2_main_nor_rotbloods	wh_main_PLACEHOLDER	nor_loot_plunder	false	wh_main_nor_loot_3	true
wh_main_nor_outpost_income_2			wh2_main_nor_rotbloods	wh_main_PLACEHOLDER	nor_loot_plunder	false	wh_main_nor_loot_3	true
wh_main_nor_outpost_income_3			wh2_main_nor_rotbloods	wh_main_PLACEHOLDER	nor_loot_plunder	false	wh_main_nor_loot_3	true
wh_main_nor_chaos_2			wh2_main_nor_rotbloods	wh_main_PLACEHOLDER	nor_effigys_of_chaos	true	wh_main_nor_chaos_2	true
wh_main_nor_chaos_1			wh2_main_nor_rotbloods	wh_main_PLACEHOLDER	nor_effigys_of_chaos	true	wh_main_nor_chaos_1	true
wh_main_nor_worship_1			wh2_main_nor_rotbloods	wh_main_PLACEHOLDER	rotblood_worship	false	wh_main_nor_worship_1	true
wh_main_nor_worship_2			wh2_main_nor_rotbloods	wh_main_PLACEHOLDER	rotblood_worship	true	wh_main_nor_worship_2	true
wh_main_nor_worship_3			wh2_main_nor_rotbloods	wh_main_PLACEHOLDER	rotblood_worship	true	wh_main_nor_worship_3	true
wh_main_nor_worship_4			wh2_main_nor_rotbloods	wh_main_PLACEHOLDER	rotblood_worship	true	wh_main_nor_worship_4	true
wh_main_nor_beasts_2			wh2_main_nor_rotbloods	wh_main_PLACEHOLDER	nor_beast_packs	true	wh_main_nor_beasts_2	true
wh_main_nor_beasts_3			wh2_main_nor_rotbloods	wh_main_PLACEHOLDER	nor_beast_packs	true	wh_main_nor_beasts_3	true
ovn_chs_agent			wh2_main_nor_rotbloods	wh_main_PLACEHOLDER	chaos_trophies	false	ovn_chs_agent	true
wh_main_nor_smith_1			wh2_main_nor_rotbloods	wh_main_PLACEHOLDER	nor_smithy_armoury	true	wh_main_nor_smith_1	true
wh_main_nor_smith_2			wh2_main_nor_rotbloods	wh_main_PLACEHOLDER	nor_smithy_armoury	true	wh_main_nor_smith_2	true
wh_main_nor_smith_3			wh2_main_nor_rotbloods	wh_main_PLACEHOLDER	nor_smithy_armoury	true	wh_main_nor_smith_3	true
ovn_cd_slave_1			wh2_main_nor_rotbloods	wh_main_PLACEHOLDER	nor_slaves	false	wh2_main_def_slaves_1	true
ovn_cd_slave_2			wh2_main_nor_rotbloods	wh_main_PLACEHOLDER	nor_slaves	false	wh2_main_def_slaves_2	true
ovn_cd_work_1			wh2_main_nor_rotbloods	wh_main_PLACEHOLDER	dwarf_engineering	true	wh_main_dwf_engineer_1	true
ovn_cd_work_2			wh2_main_nor_rotbloods	wh_main_PLACEHOLDER	dwarf_engineering	true	wh_main_dwf_engineer_2	true
ovn_cd_work_3			wh2_main_nor_rotbloods	wh_main_PLACEHOLDER	dwarf_engineering	true	wh_main_dwf_engineer_2	true
ovn_warp_military_1			wh2_main_nor_rotbloods	wh_main_PLACEHOLDER	chaos_magic	false	wh_main_horde_chaos_magic_2	true
ovn_warp_military_2			wh2_main_nor_rotbloods	wh_main_PLACEHOLDER	chaos_magic	false	wh_main_horde_chaos_magic_2	true
ovn_warp_military_3			wh2_main_nor_rotbloods	wh_main_PLACEHOLDER	chaos_magic	false	wh_main_horde_chaos_magic_2	true
ovn_warp_military_4			wh2_main_nor_rotbloods	wh_main_PLACEHOLDER	chaos_magic	false	wh_main_horde_chaos_magic_2	true
ovn_rot_stables_1			wh2_main_nor_rotbloods	wh_main_PLACEHOLDER	rotblood_stables	false	wh_main_horde_chaos_knights_1	true
ovn_rot_stables_2			wh2_main_nor_rotbloods	wh_main_PLACEHOLDER	rotblood_stables	false	wh_main_horde_chaos_knights_1	true
ovn_rot_stables_3			wh2_main_nor_rotbloods	wh_main_PLACEHOLDER	rotblood_stables	false	wh_main_horde_chaos_knights_1	true
ovn_rot_stables_4			wh2_main_nor_rotbloods	wh_main_PLACEHOLDER	rotblood_stables	false	wh_main_horde_chaos_knights_1	true
ovn_Clan_Fester_1			wh2_main_nor_rotbloods	wh_main_PLACEHOLDER	skaven_slaves	false	Clan_Fester_1	true
ovn_Clan_Fester_2			wh2_main_nor_rotbloods	wh_main_PLACEHOLDER	skaven_slaves	false	Clan_Fester_2	true
ovn_Clan_Fester_3			wh2_main_nor_rotbloods	wh_main_PLACEHOLDER	skaven_slaves	false	Clan_Fester_3	true
ovn_rot_stables_5			wh2_main_nor_rotbloods	wh_main_PLACEHOLDER	rotblood_stables	false	wh_main_horde_chaos_knights_1	true
ovn_rot_military_1			wh2_main_nor_rotbloods	wh_main_PLACEHOLDER	chaos_magic	false	wh_main_horde_chaos_magic_2	true
ovn_rot_military_2			wh2_main_nor_rotbloods	wh_main_PLACEHOLDER	chaos_magic	false	wh_main_horde_chaos_magic_2	true
ovn_rot_military_3			wh2_main_nor_rotbloods	wh_main_PLACEHOLDER	chaos_magic	false	wh_main_horde_chaos_magic_2	true
ovn_rot_military_4			wh2_main_nor_rotbloods	wh_main_PLACEHOLDER	chaos_magic	false	wh_main_horde_chaos_magic_2	true
ovn_rot_military_5			wh2_main_nor_rotbloods	wh_main_PLACEHOLDER	chaos_magic	false	wh_main_horde_chaos_magic_2	true
ovn_rot_monsters_1			wh2_main_nor_rotbloods	wh_main_PLACEHOLDER	nor_beast_packs	false	wh_main_nor_beasts_1	true
ovn_rot_monsters_2			wh2_main_nor_rotbloods	wh_main_PLACEHOLDER	nor_creatures_of_chaos	false	wh_main_nor_creatures_1	true
ovn_rot_monsters_3			wh2_main_nor_rotbloods	wh_main_PLACEHOLDER	nor_creatures_of_chaos	false	wh_main_nor_creatures_2	true
ovn_rot_monsters_4			wh2_main_nor_rotbloods	wh_main_PLACEHOLDER	nor_creatures_of_chaos	false	wh_main_nor_creatures_3	true
