from	to
#building_upgrades_junction_tables;0;db/building_upgrades_junction_tables/ovn_hlf_under	
ovn_hlf_under_set_menu_1	ovn_hlf_under_set_menu_2
ovn_hlf_under_set_menu_2	ovn_hlf_under_set_menu_3
ovn_hlf_under_pick_menu_1	ovn_hlf_under_pick_menu_2
ovn_hlf_under_pick_menu_2	ovn_hlf_under_pick_menu_3
ovn_hlf_under_buffet_menu_1	ovn_hlf_under_buffet_menu_2
ovn_hlf_under_buffet_menu_2	ovn_hlf_under_buffet_menu_3
ovn_hlf_under_barn_1	ovn_hlf_under_barn_2
hertz_rotblood_nurgle_fester_warren_1	hertz_rotblood_nurgle_fester_warren_2
hertz_rotblood_nurgle_fester_warren_2	hertz_rotblood_nurgle_fester_warren_3
