campaign_character_arts_tables	7
art_set_id	level	age	portrait	season	uniform	card	info	sea_uniform	navy_uniform	land_animation	sea_animation	navy_animation	id	religion	land_animation_vfx_filter	sea_animation_vfx_filter	navy_animation_vfx_filter
wh2_main_art_set_roy_arb_champion	0	0		none	ovn_arb_cha_champion			ovn_campaign_arb_ship_army	ovn_campaign_arb_ship_army	cam_hu1_empire_sword_and_shield	cam_light_ship_05	cam_light_ship_05	32823068		0	0	0
wh2_main_art_set_roy_arb_champion_guard	0	0		none	ovn_arb_cha_champion_guard			ovn_campaign_arb_ship_army	ovn_campaign_arb_ship_army	cam_hu1_empire_sword_and_shield	cam_light_ship_05	cam_light_ship_05	32823069		0	0	0
wh2_main_art_set_roy_arb_champion_warrior	0	0		none	ovn_arb_cha_champion_warrior			ovn_campaign_arb_ship_army	ovn_campaign_arb_ship_army	cam_hu1_empire_sword_and_shield	cam_light_ship_05	cam_light_ship_05	32823070		0	0	0
wh2_main_art_set_roy_arb_champion_sergeant	0	0		none	ovn_arb_cha_champion_sergeant			ovn_campaign_arb_ship_army	ovn_campaign_arb_ship_army	cam_hu1_empire_sword_and_shield	cam_light_ship_05	cam_light_ship_05	32823071		0	0	0
wh2_main_art_set_roy_arb_nomad_01	0	0		none	ovn_arb_cha_nomad_uniform_01			ovn_campaign_arb_ship_army	ovn_campaign_arb_ship_army	cam_hu1_empire_sword_and_shield	cam_light_ship_05	cam_light_ship_05	32823073		0	0	0
wh2_main_art_set_roy_arb_nomad_02	0	0		none	ovn_arb_cha_nomad_uniform_02			ovn_campaign_arb_ship_army	ovn_campaign_arb_ship_army	cam_hu1_empire_sword_and_shield	cam_light_ship_05	cam_light_ship_05	32823074		0	0	0
wh2_main_art_set_roy_arb_nomad_03	0	0		none	ovn_arb_cha_nomad_uniform_03			ovn_campaign_arb_ship_army	ovn_campaign_arb_ship_army	cam_hu1_empire_sword_and_shield	cam_light_ship_05	cam_light_ship_05	32823075		0	0	0
wh2_main_art_set_roy_arb_nomad_assassin_01	0	0		none	ovn_arb_cha_nomad_assassin_uniform_01			ovn_campaign_arb_ship_army	ovn_campaign_arb_ship_army	cam_hu1_arch_lector_dual_hammer	cam_light_ship_05	cam_light_ship_05	32823076		0	0	0
wh2_main_art_set_roy_arb_nomad_assassin_02	0	0		none	ovn_arb_cha_nomad_assassin_uniform_02			ovn_campaign_arb_ship_army	ovn_campaign_arb_ship_army	cam_hu1_arch_lector_dual_hammer	cam_light_ship_05	cam_light_ship_05	32823077		0	0	0
wh2_main_art_set_roy_arb_nomad_assassin_03	0	0		none	ovn_arb_cha_nomad_assassin_uniform_03			ovn_campaign_arb_ship_army	ovn_campaign_arb_ship_army	cam_hu1_arch_lector_dual_hammer	cam_light_ship_05	cam_light_ship_05	32823078		0	0	0
wh2_main_art_set_roy_arb_nomad_jezzail_01	0	0		none	ovn_arb_cha_nomad_jezzail_uniform_01			ovn_campaign_arb_ship_army	ovn_campaign_arb_ship_army	cam_hero_hu1_cst_gunnery_rifle	cam_light_ship_05	cam_light_ship_05	32823079		0	0	0
wh2_main_art_set_roy_arb_nomad_jezzail_02	0	0		none	ovn_arb_cha_nomad_jezzail_uniform_02			ovn_campaign_arb_ship_army	ovn_campaign_arb_ship_army	cam_hero_hu1_cst_gunnery_rifle	cam_light_ship_05	cam_light_ship_05	32823080		0	0	0
wh2_main_art_set_roy_arb_nomad_jezzail_03	0	0		none	ovn_arb_cha_nomad_jezzail_uniform_03			ovn_campaign_arb_ship_army	ovn_campaign_arb_ship_army	cam_hero_hu1_cst_gunnery_rifle	cam_light_ship_05	cam_light_ship_05	32823081		0	0	0
