campaign_settlement_display_building_ids_tables	3
building_level_key	key	building_model_id
wh_main_emp_cha_grudge_main_1	grudge_main_1	grudge_main_1
wh_main_emp_cha_grudge_main_3	grudge_main_3	grudge_main_3
wh_main_emp_cha_grudge_main_2	grudge_main_2	grudge_main_2
wh_main_emp_cha_grudge_main_4	grudge_main_4	grudge_main_4
wh_main_emp_cha_grudge_main_5	grudge_main_5	grudge_main_5
ovn_nor_outpost_major_human_4	ovn_nor_outpost_major_human_4	wh_main_building_nor_settlement_minor_3
wh_main_nor_outpost_major_human_4_coast	wh_main_nor_outpost_major_human_4_coast	wh_main_building_nor_settlement_minor_3
arb_flaming_scimitar_main_1	arb_flaming_scimitar_main_1	arb_flaming_scimitar_main_1
arb_flaming_scimitar_main_2	arb_flaming_scimitar_main_2	arb_flaming_scimitar_main_2
arb_flaming_scimitar_main_3	arb_flaming_scimitar_main_3	arb_flaming_scimitar_main_3
arb_flaming_scimitar_main_4	arb_flaming_scimitar_main_4	arb_flaming_scimitar_main_4
arb_flaming_scimitar_main_5	arb_flaming_scimitar_main_5	arb_flaming_scimitar_main_5
arb_golden_magus_special_galleon_graveyard_1	arb_golden_magus_special_galleon_graveyard_1	wh2_dlc11_special_galleons_graveyard
arb_golden_magus_special_galleon_graveyard_ruin	arb_golden_magus_special_galleon_graveyard_ruin	wh2_dlc11_special_galleons_graveyard_ruin
