cdir_military_generator_unit_qualities_tables	1
group_key	quality	unit_key
Default_land_support	5	elo_southern_trolls
Default_land_support	20	elo_armoured_icetrolls
Default_land_support	45	elo_red_avalanche
Default_land_support	18	elo_river_trolls
Default_land_support	15	elo_mountain_trolls
Default_land_support	45	elo_shipwreckers
Default_land_command	10	elo_cha_troll_lord
Default_land_support	35	elo_kin
Default_land_support	10	elo_forest_trolls
Default_land_support	30	elo_bile_trolls
Default_land_support	35	elo_snow_troll
Default_land_support	20	elo_armoured_icetrolls_erengrad
Default_land_support	18	elo_river_trolls_erengrad
Default_land_support	15	elo_mountain_trolls_erengrad
Default_land_support	10	elo_forest_trolls_erengrad
Default_land_support	35	elo_snow_troll_erengrad
Default_land_monster	20	ovn_troll_mon_wyvern
