group_key	unit_key	quality
#cdir_military_generator_unit_qualities_tables;1;db/cdir_military_generator_unit_qualities_tables/ovn_dark_omen		
Default_land_magic	morgan_bernhardt	10
Default_land_magic	vladimir_stormbringer	10
Default_land_infantry_melee	grudgebringer_infantry	500
Default_land_artillery	grudgebringer_cannon	500
Default_land_cavalry_melee	grudgebringer_cavalry	500
Default_land_infantry_missile	grudgebringer_crossbow	500
Default_land_infantry_missile	helmgart_bowmen	500
Default_land_infantry_missile	keelers_longbows	500
Default_land_infantry_melee	dargrimm_firebeard_dwarf_warriors	500
Default_land_infantry_melee	azguz_bloodfist_dwarf_warriors	500
Default_land_infantry_monterous	urblab_rotgut_mercenary_ogres	500
Default_land_monster	treeman_knarlroot	500
Default_land_infantry_melee	elrod_wood_elf_glade_guards	500
Default_land_infantry_missile	galed_elf_archers	500
Default_land_infantry_melee	black_avangers	500
Default_land_infantry_melee	carlsson_guard	500
Default_land_cavalry_melee	carlsson_cavalry	500
Default_land_infantry_melee	countess_guard	500
Default_land_cavalry_melee	vannheim_75th	500
Default_land_monster	treeman_gnarl_fist	500
Default_land_cavalry_melee	ragnar_wolves	500
Default_land_infantry_melee	ceridan	500
