character_skill_key	effect_key	level	effect_scope	value
#character_skill_level_to_effects_junctions_tables;1;db/character_skill_level_to_effects_junctions_tables/belakor				
the_blade_of_shadows	wh_main_effect_character_stat_mod_ap_damage	1	character_to_character_own	60.0
the_blade_of_shadows	wh_main_effect_character_stat_mod_melee_attack	1	character_to_character_own	15.0
the_blade_of_shadows	wh_main_effect_character_stat_enable_magic_attacks	1	character_to_character_own	1.0
the_blade_of_shadows	wh_main_effect_magic_death_enable_the_purple_sun_of_xereus	1	character_to_character_own	1.0
the_blade_of_shadows	wh_main_effect_public_order_characters	1	character_to_enemy_province	-5.0
wh_dlc08_skill_chs_lord_unique_belakor_0	whispers_in_the_darkness	1	character_to_character_own	1.0
wh_dlc08_skill_chs_lord_unique_belakor_0	wh_dlc08_effect_bonus_melee_attack_fighting_against_human	1	general_to_force_own	5.0
wh_dlc08_skill_chs_lord_unique_belakor_1	wh_main_effect_character_stat_mod_ward_save_magic	1	character_to_character_own	15.0
wh_dlc08_skill_chs_lord_unique_belakor_1	wh_main_effect_force_all_campaign_experience_base_all	1	general_to_force_own	4.0
wh_dlc08_skill_chs_lord_unique_belakor_2	wh_main_effect_force_unit_stat_morale	1	character_to_force_enemy_provincewide	-5.0
wh_dlc08_skill_chs_lord_unique_belakor_2	wh_main_effect_religion_conversion_chaos	1	character_to_character_own_provincetext	4.0
wh_dlc08_skill_chs_lord_unique_belakor_3	wh_main_effect_character_stat_mod_ward_save_missile	1	character_to_character_own	15.0
wh_dlc08_skill_chs_lord_unique_belakor_3	wh_main_effect_agent_action_success_chance_enemy_skill	1	character_to_character_own	-1.0
wh_dlc08_skill_chs_lord_unique_belakor_3	wh_main_effect_agent_action_success_chance_skill	1	character_to_character_own	1.0
wh_dlc08_skill_chs_lord_unique_belakor_4	wh_main_effect_force_unit_stat_morale	1	general_to_force_own	-5.0
wh_dlc08_skill_chs_lord_unique_belakor_4	wh_main_effect_character_stat_mod_melee_attack	1	character_to_character_own	15.0
wh_dlc08_skill_chs_lord_unique_belakor_4	wh_main_effect_character_stat_mod_melee_damage	1	character_to_character_own	20.0
wh_dlc08_skill_chs_lord_unique_belakor_5	wh_main_effect_military_force_winds_of_magic_starting_mod	1	character_to_force_own_unseen	20.0
wh_dlc08_skill_chs_lord_unique_belakor_5	master_of_the_shadow_1	1	character_to_character_own	1.0
wh_dlc08_skill_chs_lord_unique_belakor_5	wh_main_effect_military_force_winds_of_magic_starting_mod	2	character_to_force_own_unseen	40.0
wh_dlc08_skill_chs_lord_unique_belakor_5	master_of_the_shadow_2	2	character_to_character_own	1.0
belakor_innate_skill	wh_main_effect_force_army_battle_movement_speed	1	general_to_force_own	10.0
belakor_innate_skill	wh_main_effect_military_force_winds_of_magic_starting_mod	1	character_to_force_own_unseen	10.0
eons_of_spite	wh_main_effect_force_all_campaign_upkeep	1	general_to_force_own	-8.0
eons_of_spite	wh_main_effect_force_all_campaign_recruitment_cost_all	1	character_to_faction_unseen	-10.0
the_first_deamon_prince	wh2_main_effect_agent_action_passive_spread_corruption_buff_chs	1	character_to_character_own	3.0
the_first_deamon_prince	wh_main_effect_military_force_winds_of_magic_depletion_mod_character	1	character_to_force_own_unseen	15.0
primordial_everchosen	wh_main_effect_character_stat_mod_ap_damage	1	general_to_force_own	5.0
primordial_everchosen	wh_main_effect_character_stat_mod_melee_defence	1	general_to_force_own	5.0
timeless_rage	wh_main_effect_character_stat_mod_personal_aura_morale_effect	1	character_to_character_own	20.0
timeless_rage	wh_main_effect_character_stat_mod_unit_health	1	character_to_character_own	20.0
chaos_incarnate	wh2_dlc10_effect_unit_enable_attribute_perfect_vigour	1	character_to_character_own	1.0
chaos_incarnate	wh2_main_effect_agent_action_passive_spread_corruption_buff_chs	1	character_to_character_own	5.0
wh_dlc08_skill_chs_lord_unique_belakor_6	Violent_rise_to_power_1	1	character_to_character_own	1.0
wh_dlc08_skill_chs_lord_unique_belakor_6	Violent_rise_to_power_1	2	character_to_character_own	1.0
wh_dlc08_skill_chs_lord_unique_belakor_6	Violent_rise_to_power_2	2	character_to_character_own	1.0
wh_dlc08_skill_chs_lord_unique_belakor_6	Violent_rise_to_power_3	3	character_to_character_own	1.0
wh_dlc08_skill_chs_lord_unique_belakor_6	Violent_rise_to_power_2	3	character_to_character_own	1.0
wh_dlc08_skill_chs_lord_unique_belakor_6	Violent_rise_to_power_1	3	character_to_character_own	1.0
