character_skill_node_links_tables	3
child_key	initial_descent_tiers	parent_key	parent_link_position	child_link_position	parent_link_position_offset	child_link_position_offset	link_type
fimir_lord_battle_02_belakor_new	0	fimir_lord_battle_01	1	1	0.0	0.0	REQUIRED
fimir_lord_battle_03_belakor_new	0	fimir_lord_battle_01	1	1	0.0	0.0	REQUIRED
fimir_lord_battle_04_belakor_new	0	fimir_lord_battle_01	1	1	0.0	0.0	REQUIRED
fimir_lord_battle_05_belakor_new	0	fimir_lord_battle_01	1	1	0.0	0.0	REQUIRED
fimir_lord_battle_06_belakor_new	0	fimir_lord_battle_01	1	1	0.0	0.0	REQUIRED
fimir_lord_battle_06_5_belakor_new	0	fimir_lord_battle_01	1	1	0.0	0.0	REQUIRED
fimir_lord_battle_07_belakor_new	0	fimir_lord_battle_02_belakor_new	1	1	0.0	0.0	SUBSET_REQUIRED
fimir_lord_battle_07_belakor_new	0	fimir_lord_battle_03_belakor_new	1	1	0.0	0.0	SUBSET_REQUIRED
fimir_lord_battle_07_belakor_new	0	fimir_lord_battle_04_belakor_new	1	1	0.0	0.0	SUBSET_REQUIRED
fimir_lord_battle_07_belakor_new	0	fimir_lord_battle_05_belakor_new	1	1	0.0	0.0	SUBSET_REQUIRED
fimir_lord_battle_07_belakor_new	0	fimir_lord_battle_06_belakor_new	1	1	0.0	0.0	SUBSET_REQUIRED
fimir_lord_battle_07_belakor_new	0	fimir_lord_battle_06_5_belakor_new	1	1	0.0	0.0	SUBSET_REQUIRED
fimir_lord_battle_08_belakor_new	0	fimir_lord_battle_07_belakor_new	1	1	0.0	0.0	REQUIRED
fimir_lord_battle_09_belakor_new	0	fimir_lord_battle_07_belakor_new	1	1	0.0	0.0	REQUIRED
fimir_lord_battle_10_belakor_new	0	fimir_lord_battle_07_belakor_new	1	1	0.0	0.0	REQUIRED
fimir_lord_battle_11_belakor_new	0	fimir_lord_battle_07_belakor_new	1	1	0.0	0.0	REQUIRED
fimir_lord_battle_12_belakor_new	0	fimir_lord_battle_08_belakor_new	1	1	0.0	0.0	SUBSET_REQUIRED
fimir_lord_battle_12_belakor_new	0	fimir_lord_battle_09_belakor_new	1	1	0.0	0.0	SUBSET_REQUIRED
fimir_lord_battle_12_belakor_new	0	fimir_lord_battle_10_belakor_new	1	1	0.0	0.0	SUBSET_REQUIRED
fimir_lord_battle_12_belakor_new	0	fimir_lord_battle_11_belakor_new	1	1	0.0	0.0	SUBSET_REQUIRED
belakor_sorcerer_death_battle_02_new	0	wh_main_skill_node_chs_sorcerer_lord_death_battle_01	1	1	0.0	0.0	REQUIRED
belakor_sorcerer_death_battle_03_new	0	wh_main_skill_node_chs_sorcerer_lord_death_battle_01	1	1	0.0	0.0	REQUIRED
belakor_sorcerer_death_battle_04_new	0	wh_main_skill_node_chs_sorcerer_lord_death_battle_01	1	1	0.0	0.0	REQUIRED
belakor_sorcerer_death_battle_05_new	0	wh_main_skill_node_chs_sorcerer_lord_death_battle_01	1	1	0.0	0.0	REQUIRED
belakor_sorcerer_death_battle_06_new	0	wh_main_skill_node_chs_sorcerer_lord_death_battle_01	1	1	0.0	0.0	REQUIRED
belakor_sorcerer_death_battle_07_new	0	wh_main_skill_node_chs_sorcerer_lord_death_battle_01	1	1	0.0	0.0	REQUIRED
belakor_sorcerer_death_battle_08_new	0	belakor_sorcerer_death_battle_02_new	1	1	0.0	0.0	SUBSET_REQUIRED
belakor_sorcerer_death_battle_08_new	0	belakor_sorcerer_death_battle_03_new	1	1	0.0	0.0	SUBSET_REQUIRED
belakor_sorcerer_death_battle_08_new	0	belakor_sorcerer_death_battle_04_new	1	1	0.0	0.0	SUBSET_REQUIRED
belakor_sorcerer_death_battle_08_new	0	belakor_sorcerer_death_battle_05_new	1	1	0.0	0.0	SUBSET_REQUIRED
belakor_sorcerer_death_battle_08_new	0	belakor_sorcerer_death_battle_06_new	1	1	0.0	0.0	SUBSET_REQUIRED
belakor_sorcerer_death_battle_08_new	0	belakor_sorcerer_death_battle_07_new	1	1	0.0	0.0	SUBSET_REQUIRED
belakor_sorcerer_death_battle_09_new	0	belakor_sorcerer_death_battle_08_new	1	1	0.0	0.0	REQUIRED
belakor_sorcerer_death_battle_10_new	0	belakor_sorcerer_death_battle_08_new	1	1	0.0	0.0	REQUIRED
belakor_sorcerer_death_battle_11_new	0	belakor_sorcerer_death_battle_08_new	1	1	0.0	0.0	REQUIRED
belakor_sorcerer_death_battle_12_new	0	belakor_sorcerer_death_battle_08_new	1	1	0.0	0.0	REQUIRED
belakor_sorcerer_death_battle_13_new	0	belakor_sorcerer_death_battle_09_new	1	1	0.0	0.0	SUBSET_REQUIRED
belakor_sorcerer_death_battle_13_new	0	belakor_sorcerer_death_battle_10_new	1	1	0.0	0.0	SUBSET_REQUIRED
belakor_sorcerer_death_battle_13_new	0	belakor_sorcerer_death_battle_11_new	1	1	0.0	0.0	SUBSET_REQUIRED
belakor_sorcerer_death_battle_13_new	0	belakor_sorcerer_death_battle_12_new	1	1	0.0	0.0	SUBSET_REQUIRED
belakor_sorcerer_shadow_battle_02_new	0	wh_dlc07_skill_node_chs_sorcerer_lord_shadow_battle_01	1	1	0.0	0.0	REQUIRED
belakor_sorcerer_shadow_battle_03_new	0	wh_dlc07_skill_node_chs_sorcerer_lord_shadow_battle_01	1	1	0.0	0.0	REQUIRED
belakor_sorcerer_shadow_battle_04_new	0	wh_dlc07_skill_node_chs_sorcerer_lord_shadow_battle_01	1	1	0.0	0.0	REQUIRED
belakor_sorcerer_shadow_battle_05_new	0	wh_dlc07_skill_node_chs_sorcerer_lord_shadow_battle_01	1	1	0.0	0.0	REQUIRED
belakor_sorcerer_shadow_battle_06_new	0	wh_dlc07_skill_node_chs_sorcerer_lord_shadow_battle_01	1	1	0.0	0.0	REQUIRED
