child_key	parent_key	initial_descent_tiers	parent_link_position	child_link_position	parent_link_position_offset	child_link_position_offset	link_type
#character_skill_node_links_tables;3;db/character_skill_node_links_tables/ovn_wolf_golden_magus							
wh2_main_skill_node_arb_golden_magus_army_1_1	wh2_main_skill_node_arb_golden_magus_army_0	0	1	1	0.0	0.0	REQUIRED
wh2_main_skill_node_arb_golden_magus_army_1_2	wh2_main_skill_node_arb_golden_magus_army_0	0	1	1	0.0	0.0	REQUIRED
wh2_main_skill_node_arb_golden_magus_army_1_3	wh2_main_skill_node_arb_golden_magus_army_0	0	1	1	0.0	0.0	REQUIRED
wh2_main_skill_node_arb_golden_magus_army_1_4	wh2_main_skill_node_arb_golden_magus_army_0	0	1	1	0.0	0.0	REQUIRED
wh2_main_skill_node_arb_golden_magus_army_1_5	wh2_main_skill_node_arb_golden_magus_army_0	0	1	1	0.0	0.0	REQUIRED
wh2_main_skill_node_arb_golden_magus_army_1_6	wh2_main_skill_node_arb_golden_magus_army_0	0	1	1	0.0	0.0	REQUIRED
wh2_main_skill_node_arb_golden_magus_army_2	wh2_main_skill_node_arb_golden_magus_army_1_1	0	1	1	0.0	0.0	SUBSET_REQUIRED
wh2_main_skill_node_arb_golden_magus_army_2	wh2_main_skill_node_arb_golden_magus_army_1_2	0	1	1	0.0	0.0	SUBSET_REQUIRED
wh2_main_skill_node_arb_golden_magus_army_2	wh2_main_skill_node_arb_golden_magus_army_1_3	0	1	1	0.0	0.0	SUBSET_REQUIRED
wh2_main_skill_node_arb_golden_magus_army_2	wh2_main_skill_node_arb_golden_magus_army_1_4	0	1	1	0.0	0.0	SUBSET_REQUIRED
wh2_main_skill_node_arb_golden_magus_army_2	wh2_main_skill_node_arb_golden_magus_army_1_5	0	1	1	0.0	0.0	SUBSET_REQUIRED
wh2_main_skill_node_arb_golden_magus_army_2	wh2_main_skill_node_arb_golden_magus_army_1_6	0	1	1	0.0	0.0	SUBSET_REQUIRED
wh2_main_skill_node_arb_golden_magus_army_3_1	wh2_main_skill_node_arb_golden_magus_army_2	0	1	1	0.0	0.0	REQUIRED
wh2_main_skill_node_arb_golden_magus_army_3_2	wh2_main_skill_node_arb_golden_magus_army_2	0	1	1	0.0	0.0	REQUIRED
wh2_main_skill_node_arb_golden_magus_army_3_3	wh2_main_skill_node_arb_golden_magus_army_2	0	1	1	0.0	0.0	REQUIRED
wh2_main_skill_node_arb_golden_magus_army_3_4	wh2_main_skill_node_arb_golden_magus_army_2	0	1	1	0.0	0.0	REQUIRED
wh2_main_skill_node_arb_golden_magus_army_4	wh2_main_skill_node_arb_golden_magus_army_3_1	0	1	1	0.0	0.0	SUBSET_REQUIRED
wh2_main_skill_node_arb_golden_magus_army_4	wh2_main_skill_node_arb_golden_magus_army_3_2	0	1	1	0.0	0.0	SUBSET_REQUIRED
wh2_main_skill_node_arb_golden_magus_army_4	wh2_main_skill_node_arb_golden_magus_army_3_3	0	1	1	0.0	0.0	SUBSET_REQUIRED
wh2_main_skill_node_arb_golden_magus_army_4	wh2_main_skill_node_arb_golden_magus_army_3_4	0	1	1	0.0	0.0	SUBSET_REQUIRED
wh2_main_skill_node_arb_golden_magus_campaign_1_1	wh2_main_skill_node_arb_golden_magus_campaign_0	0	1	1	0.0	0.0	REQUIRED
wh2_main_skill_node_arb_golden_magus_campaign_1_2	wh2_main_skill_node_arb_golden_magus_campaign_0	0	1	1	0.0	0.0	REQUIRED
wh2_main_skill_node_arb_golden_magus_campaign_1_3	wh2_main_skill_node_arb_golden_magus_campaign_0	0	1	1	0.0	0.0	REQUIRED
wh2_main_skill_node_arb_golden_magus_campaign_1_4	wh2_main_skill_node_arb_golden_magus_campaign_0	0	1	1	0.0	0.0	REQUIRED
