child_key	parent_key	initial_descent_tiers	parent_link_position	child_link_position	parent_link_position_offset	child_link_position_offset	link_type
#character_skill_node_links_tables;3;db/character_skill_node_links_tables/ovn_wolf_halfling_legendary_lords							
wh2_main_skill_node_hlf_glibfoot_battle_02	wh2_main_skill_node_hlf_glibfoot_battle_01	0	1	1	0.0	0.0	REQUIRED
wh2_main_skill_node_hlf_glibfoot_battle_03	wh2_main_skill_node_hlf_glibfoot_battle_01	0	1	1	0.0	0.0	REQUIRED
wh2_main_skill_node_hlf_glibfoot_battle_04	wh2_main_skill_node_hlf_glibfoot_battle_01	0	1	1	0.0	0.0	REQUIRED
wh2_main_skill_node_hlf_glibfoot_battle_05	wh2_main_skill_node_hlf_glibfoot_battle_01	0	1	1	0.0	0.0	REQUIRED
wh2_main_skill_node_hlf_glibfoot_battle_06	wh2_main_skill_node_hlf_glibfoot_battle_02	0	1	1	0.0	0.0	SUBSET_REQUIRED
wh2_main_skill_node_hlf_glibfoot_battle_06	wh2_main_skill_node_hlf_glibfoot_battle_03	0	1	1	0.0	0.0	SUBSET_REQUIRED
wh2_main_skill_node_hlf_glibfoot_battle_06	wh2_main_skill_node_hlf_glibfoot_battle_04	0	1	1	0.0	0.0	SUBSET_REQUIRED
wh2_main_skill_node_hlf_glibfoot_battle_06	wh2_main_skill_node_hlf_glibfoot_battle_05	0	1	1	0.0	0.0	SUBSET_REQUIRED
wh2_main_skill_node_hlf_glibfoot_battle_07	wh2_main_skill_node_hlf_glibfoot_battle_06	0	1	1	0.0	0.0	REQUIRED
wh2_main_skill_node_hlf_glibfoot_battle_08	wh2_main_skill_node_hlf_glibfoot_battle_06	0	1	1	0.0	0.0	REQUIRED
wh2_main_skill_node_hlf_glibfoot_battle_09	wh2_main_skill_node_hlf_glibfoot_battle_06	0	1	1	0.0	0.0	REQUIRED
wh2_main_skill_node_hlf_glibfoot_battle_10	wh2_main_skill_node_hlf_glibfoot_battle_06	0	1	1	0.0	0.0	REQUIRED
wh2_main_skill_node_hlf_glibfoot_battle_11	wh2_main_skill_node_hlf_glibfoot_battle_07	0	1	1	0.0	0.0	SUBSET_REQUIRED
wh2_main_skill_node_hlf_glibfoot_battle_11	wh2_main_skill_node_hlf_glibfoot_battle_08	0	1	1	0.0	0.0	SUBSET_REQUIRED
