key	no_going_back_level	hidden	precedence	icon	ui_priority	pre_battle_speech_parameter
#character_traits_tables;2;db/character_traits_tables/ovn_lost_factions_gold						
ovn_trait_defeated_olorin_the_grey_wizard	1	false	1	human	1	
grudge_trait_name_dummy_vladimir_stormbringer	1	true	99	personality	0	
grudge_trait_name_dummy_luther_flamestrike	1	true	99	personality	0	
grudge_trait_name_dummy_alloy	1	true	99	personality	0	
grudge_trait_name_dummy_gunther	1	true	99	personality	0	
grudge_trait_name_dummy_ubersbrom	1	true	99	personality	0	
ovn_harkon_lord_trait	1	false	1	vampire_counts	1	
dk_trait_name_dummy	1	true	99	personality	0	
fim_skattach_defeated_trait	1	false	1	norsca	1	
arb_fatandira_defeated_trait	1	false	1	arb_araby	1	
arb_golden_magus_defeated_trait	1	false	1	arb_araby	1	
arb_jaffar_defeated_trait	1	false	1	arb_araby	1	
hlf_glibfoot_defeated_trait	1	false	1	hlf_mootland	1	
ovn_trait_rasknitt	1	false	99	personality	1	
ovn_bl_elo_dural_durak_defeat_trait	1	false	1	norsca	1	
ovn_albion_morrigan_defeat_trait	1	false	1	norsca	1	
ovn_ovn_stormrider_defeat_trait	1	false	1	high_elves	1	
ovn_ribspreader_defeat_trait	1	false	1	chaos	1	
ovn_elo_chief_ugma_defeat_trait	1	false	1	chaos	1	
ovn_morgan_bernhardt_defeat_trait	1	false	1	human	1	
ovn_belakor_defeat_trait	1	false	1	chaos	1	
ovn_Dread_King_defeat_trait	1	false	1	tomb_kings	1	
ovn_warrhak_skullcrusher_defeat_trait	1	false	1	chaos	1	
ovn_drazhoath_the_ashen_defeat_trait	1	false	1	chaos	1	
ovn_rykarth_the_unbreakable_defeat_trait	1	false	1	chaos	1	
ovn_zhatan_the_black_defeat_trait	1	false	1	chaos	1	
wh2_main_trait_defeated_walach	1	false	1	vampire_counts	1	
