diplomacy_negotiation_string_options_tables	4
key	string	option	group
accept	Araby_Dip_Acceptance_Negative_01	0	diplomacy_Faction_Araby_&_Negative
accept	Araby_Dip_Acceptance_Negative_02	1	diplomacy_Faction_Araby_&_Negative
accept	Araby_Dip_Acceptance_Negative_03	2	diplomacy_Faction_Araby_&_Negative
demand_payment	Araby_Dip_Demand_Payments_Negative_01	0	diplomacy_Faction_Araby_&_Negative
generic_offer_demand	Araby_Dip_Generic_Offer_Negative_01	0	diplomacy_Faction_Araby_&_Negative
generic_offer_demand	Araby_Dip_Generic_Offer_Negative_02	1	diplomacy_Faction_Araby_&_Negative
generic_offer_demand	Araby_Dip_Generic_Offer_Negative_03	2	diplomacy_Faction_Araby_&_Negative
generic_reject	Araby_Dip_Rejection_Negative_01	0	diplomacy_Faction_Araby_&_Negative
generic_reject	Araby_Dip_Rejection_Negative_02	1	diplomacy_Faction_Araby_&_Negative
generic_reject	Araby_Dip_Rejection_Negative_03	2	diplomacy_Faction_Araby_&_Negative
receive	Araby_Dip_Greet_Neg_01	0	diplomacy_Faction_Araby_&_Negative
receive	Araby_Dip_Greet_Neg_02	1	diplomacy_Faction_Araby_&_Negative
receive	Araby_Dip_Greet_Neg_03	2	diplomacy_Faction_Araby_&_Negative
accept	Araby_Dip_Acceptance_Positive_01	0	diplomacy_Faction_Araby_&_Positive
accept	Araby_Dip_Acceptance_Positive_03	1	diplomacy_Faction_Araby_&_Positive
demand_payment	Araby_Dip_Demand_Payments_Positive_01	0	diplomacy_Faction_Araby_&_Positive
generic_offer_demand	Araby_Dip_Generic_Offer_Positive_01	0	diplomacy_Faction_Araby_&_Positive
generic_offer_demand	Araby_Dip_Generic_Offer_Positive_02	1	diplomacy_Faction_Araby_&_Positive
generic_offer_demand	Araby_Dip_Generic_Offer_Positive_03	2	diplomacy_Faction_Araby_&_Positive
generic_reject	Araby_Dip_Rejection_Positive_01	0	diplomacy_Faction_Araby_&_Positive
generic_reject	Araby_Dip_Rejection_Positive_02	1	diplomacy_Faction_Araby_&_Positive
generic_reject	Araby_Dip_Rejection_Positive_03	2	diplomacy_Faction_Araby_&_Positive
receive	Araby_Dip_Greet_Pos_01	0	diplomacy_Faction_Araby_&_Positive
receive	Araby_Dip_Greet_Pos_02	1	diplomacy_Faction_Araby_&_Positive
receive	Araby_Dip_Greet_Pos_03	2	diplomacy_Faction_Araby_&_Positive
accept	Araby_Dip_Acceptance_Neutral_01	0	diplomacy_Faction_Araby
accept	Araby_Dip_Acceptance_Neutral_02	1	diplomacy_Faction_Araby
accept_state_gift	Araby_Dip_Accept_State_Gift_01	0	diplomacy_Faction_Araby
accept_state_gift	Araby_Dip_Accept_State_Gift_02	1	diplomacy_Faction_Araby
accept_state_gift	Araby_Dip_Accept_State_Gift_03	2	diplomacy_Faction_Araby
acknowledge_accept	Araby_Dip_Acknowledge_Accept_01	0	diplomacy_Faction_Araby
acknowledge_accept	Araby_Dip_Acknowledge_Accept_02	1	diplomacy_Faction_Araby
acknowledge_accept	Araby_Dip_Acknowledge_Accept_03	2	diplomacy_Faction_Araby
acknowledge_cancel_treaty	Araby_Dip_Acknowledge_Cancel_Treaty_01	0	diplomacy_Faction_Araby
acknowledge_cancel_treaty	Araby_Dip_Acknowledge_Cancel_Treaty_02	1	diplomacy_Faction_Araby
acknowledge_cancel_treaty	Araby_Dip_Acknowledge_Cancel_Treaty_03	2	diplomacy_Faction_Araby
acknowledge_reject	Araby_Dip_Acknowledge_Reject_01	0	diplomacy_Faction_Araby
acknowledge_reject	Araby_Dip_Acknowledge_Reject_02	1	diplomacy_Faction_Araby
acknowledge_reject	Araby_Dip_Acknowledge_Reject_03	2	diplomacy_Faction_Araby
