effect_bonus_value_ids_unit_sets_tables	0
bonus_value_id	effect	unit_set
cost_mod	wh2_main_effect_building_recruitment_cost_reduction_arb_OtF_khemri_elite_guard	arb_OtF_khemri_elite_guard
recruit_time_mod	wh2_main_effect_building_unit_recruitment_duration_arb_OtF_khemri_elite_guard	arb_OtF_khemri_elite_guard
upkeep_mod	wh2_main_effect_building_upkeep_reduction_arb_OtF_khemri_elite_guard	arb_OtF_khemri_elite_guard
unit_xp_mod	wh2_main_effect_tech_unit_xp_levels_arb_OtF_khemri_elite_guard_global	arb_OtF_khemri_elite_guard
unit_xp_mod	wh2_main_effect_tech_unit_xp_levels_arb_OtF_khemri_elite_guard	arb_OtF_khemri_elite_guard
melee_defence_mod	wh2_dlc09_effect_melee_defence_arb_ovn_elephant	arb_ovn_elephant
melee_attack_mod	wh2_dlc09_effect_melee_attack_arb_ovn_elephant	arb_ovn_elephant
cost_mod	wh2_main_effect_building_recruitment_cost_reduction_arb_ovn_elephant	arb_ovn_elephant
upkeep_mod	wh2_main_effect_building_upkeep_reduction_arb_ovn_elephant	arb_ovn_elephant
unit_xp_mod	wh2_main_effect_tech_unit_xp_levels_arb_ovn_elephant	arb_ovn_elephant
