bonus_value_id	effect	unit_set
#effect_bonus_value_ids_unit_sets_tables;0;db/effect_bonus_value_ids_unit_sets_tables/elo_dread_caps		
unit_cap	dread_legion_dual_cap	dread_legion_dual
unit_cap	dread_legion_spears_cap	dread_legion_spears
unit_cap	dread_legion_2h_cap	dread_legion_2h
melee_attack_mod	dread_legion_all_mattk	dread_legion_all
melee_defence_mod	dread_legion_all_mdef	dread_legion_all
unit_damage_resistance_physical_mod	dread_legion_all_phyres	dread_legion_all
unit_cap	dread_legion_archers_cap	dread_archers
unit_cap	dread_legion_grail_knight_cap	dread_legion_grail_knight
unit_cap	dread_legion_skellie_giant_cap	dread_legion_skellie_giant
unit_cap	elo_dread_inf_grave_guard_0_cap	dread_legion_grave_guard
unit_cap	hidden_no_sepulchral_stalkers	mp_cap_wh2_dlc09_tmb_mon_sepulchral_stalkers_ror
unit_cap	elo_dread_mummy	elo_dread_mummy
