effect	icon	priority	icon_negative	category	is_positive_value_good
#effects_tables;3;db/effects_tables/@cr_lore_desert					
ovn_effect_ability_enable_blessing_of_the_elements	general_ability.png	600	general_ability.png	battle	true
ovn_effect_magic_desert_enable_mirage	spell_ability.png	3	spell_ability.png	battle	true
ovn_effect_magic_desert_enable_mirage_upgraded	spell_ability.png	4	spell_ability.png	battle	true
ovn_effect_magic_desert_cooldown_mirage	magic_cooldown.png	60	magic_cooldown.png	battle	false
ovn_effect_magic_desert_miscast_reduction_mirage_upgraded	spell_ability.png	111	spell_ability.png	battle	false
ovn_effect_magic_desert_reduce_wom_cost_mirage	spell_ability.png	67	spell_ability.png	battle	false
ovn_effect_magic_desert_reduce_wom_cost_mirage_upgraded	spell_ability.png	68	spell_ability.png	battle	false
ovn_effect_magic_desert_enable_sunstrike	spell_ability.png	3	spell_ability.png	battle	true
ovn_effect_magic_desert_cooldown_sunstrike	magic_cooldown.png	60	magic_cooldown.png	battle	false
ovn_effect_magic_desert_enable_sunstrike_upgraded	spell_ability.png	4	spell_ability.png	battle	true
ovn_effect_magic_desert_miscast_reduction_sunstrike_upgraded	spell_ability.png	111	spell_ability.png	battle	false
ovn_effect_magic_desert_reduce_wom_cost_sunstrike	spell_ability.png	67	spell_ability.png	battle	false
ovn_effect_magic_desert_reduce_wom_cost_sunstrike_upgraded	spell_ability.png	68	spell_ability.png	battle	false
ovn_effect_magic_desert_enable_sandstorm	spell_ability.png	3	spell_ability.png	battle	true
ovn_effect_magic_desert_cooldown_sandstorm	magic_cooldown.png	60	magic_cooldown.png	battle	false
ovn_effect_magic_desert_enable_sandstorm_upgraded	spell_ability.png	4	spell_ability.png	battle	true
ovn_effect_magic_desert_miscast_reduction_sandstorm_upgraded	spell_ability.png	111	spell_ability.png	battle	false
ovn_effect_magic_desert_reduce_wom_cost_sandstorm	spell_ability.png	67	spell_ability.png	battle	false
ovn_effect_magic_desert_reduce_wom_cost_sandstorm_upgraded	spell_ability.png	68	spell_ability.png	battle	false
ovn_effect_magic_desert_enable_quicksand	spell_ability.png	3	spell_ability.png	battle	true
ovn_effect_magic_desert_enable_quicksand_upgraded	spell_ability.png	4	spell_ability.png	battle	true
ovn_effect_magic_desert_cooldown_quicksand	magic_cooldown.png	60	magic_cooldown.png	battle	false
ovn_effect_magic_desert_miscast_reduction_quicksand_upgraded	spell_ability.png	111	spell_ability.png	battle	false
ovn_effect_magic_desert_reduce_wom_cost_quicksand	spell_ability.png	67	spell_ability.png	battle	false
ovn_effect_magic_desert_reduce_wom_cost_quicksand_upgraded	spell_ability.png	68	spell_ability.png	battle	false
ovn_effect_magic_desert_enable_burning_hands	spell_ability.png	3	spell_ability.png	battle	true
ovn_effect_magic_desert_enable_burning_hands_upgraded	spell_ability.png	4	spell_ability.png	battle	true
ovn_effect_magic_desert_cooldown_burning_hands	magic_cooldown.png	60	magic_cooldown.png	battle	false
ovn_effect_magic_desert_miscast_reduction_burning_hands_upgraded	spell_ability.png	111	spell_ability.png	battle	false
ovn_effect_magic_desert_reduce_wom_cost_burning_hands	spell_ability.png	67	spell_ability.png	battle	false
ovn_effect_magic_desert_reduce_wom_cost_burning_hands_upgraded	spell_ability.png	68	spell_ability.png	battle	false
ovn_effect_magic_desert_enable_curse_of_the_djinn	spell_ability.png	3	spell_ability.png	battle	true
ovn_effect_magic_desert_enable_curse_of_the_djinn_upgraded	spell_ability.png	4	spell_ability.png	battle	true
ovn_effect_magic_desert_cooldown_curse_of_the_djinn	magic_cooldown.png	60	magic_cooldown.png	battle	false
ovn_effect_magic_desert_miscast_reduction_curse_of_the_djinn_upgraded	spell_ability.png	111	spell_ability.png	battle	false
ovn_effect_magic_desert_reduce_wom_cost_curse_of_the_djinn	spell_ability.png	67	spell_ability.png	battle	false
ovn_effect_magic_desert_reduce_wom_cost_curse_of_the_djinn_upgraded	spell_ability.png	68	spell_ability.png	battle	false
