Loc PackedFile	1
key	text	tooltip
units_custom_battle_mounts_mount_name_albion_morriganalbion_morrigan_bird	Oidhche	true
units_custom_battle_mounts_localised_description_albion_morriganalbion_morrigan_bird	A giant crow Morrigan may ride to battle. No other giant crows have ever been seen in Albion and its origin remains a mystery.	false
units_custom_battle_mounts_mount_name_albion_truthsayer_beastalbion_truthsayer_beast_horse	Albion Warhorse	true
units_custom_battle_mounts_localised_description_albion_truthsayer_beastalbion_truthsayer_beast_horse	The inhabitants of Albion ride horses to battle who are as temperantal and hardy as their riders.	true
units_custom_battle_mounts_mount_name_albion_truthsayer_lifealbion_truthsayer_life_horse	Albion Warhorse	true
units_custom_battle_mounts_localised_description_albion_truthsayer_lifealbion_truthsayer_life_horse	The inhabitants of Albion ride horses to battle who are as temperantal and hardy as their riders.	true
units_custom_battle_mounts_mount_name_albion_truthsayer_lightalbion_truthsayer_light_horse	Albion Warhorse	true
units_custom_battle_mounts_localised_description_albion_truthsayer_lightalbion_truthsayer_light_horse	The inhabitants of Albion ride horses to battle who are as temperantal and hardy as their riders.	true
units_custom_battle_mounts_mount_name_albion_truthsayer_truthalbion_truthsayer_truth_horse	Albion Warhorse	true
units_custom_battle_mounts_localised_description_albion_truthsayer_truthalbion_truthsayer_truth_horse	The inhabitants of Albion ride horses to battle who are as temperantal and hardy as their riders.	true
units_custom_battle_mounts_mount_name_albion_warleaderalbion_warleader_horse	Albion Warhorse	true
units_custom_battle_mounts_localised_description_albion_warleaderalbion_warleader_horse	The inhabitants of Albion ride horses to battle who are as temperantal and hardy as their riders.	true
units_custom_battle_mounts_mount_name_albion_chiefalbion_chief_horse	Albion Warhorse	true
units_custom_battle_mounts_localised_description_albion_chiefalbion_chief_horse	The inhabitants of Albion ride horses to battle who are as temperantal and hardy as their riders.	true
units_custom_battle_mounts_mount_name_albion_warleaderalbion_warleader_chariot	Albion Chariot	true
units_custom_battle_mounts_localised_description_albion_warleaderalbion_warleader_chariot	Whenever the battlefield is suitable, the nobility of Albion will enter battle on deadly chariots.	true
units_custom_battle_mounts_mount_name_albion_chiefalbion_chief_chariot	Albion Chariot	true
units_custom_battle_mounts_localised_description_albion_chiefalbion_chief_chariot	Whenever the battlefield is suitable, the nobility of Albion will enter battle on deadly chariots.	true
