key	text	tooltip
#Loc PackedFile;1;text/db/elo_troll_unit_abilities.loc		
unit_abilities_tooltip_text_horrible_stench	Almost unbearable smell. Don't get close!	true
unit_abilities_onscreen_name_horrible_stench	Stink Baaaad!	true
unit_abilities_tooltip_text_rock_solid	Hitting that skin with a sword is like hitting a mountain with a toothpick! No wonder these trolls are so much more confident than their brethren.	true
unit_abilities_onscreen_name_rock_solid	Stone Skin	true
unit_abilities_onscreen_name_death_stench	Stench of Death	true
unit_abilities_tooltip_text_death_stench	This creature reeks of death, rotten corpses, feces and worse. Being near it is almost intolerable.	true
unit_abilities_onscreen_name_run_and_shakeoff	Devour them all!	true
unit_abilities_tooltip_text_run_and_shakeoff	Hunger can be a greater motivation than any other. The Monsterhorde will storm towards the enemy, and nothing can stop it!	true
unit_abilities_tooltip_text_order_squish	Throgg can give limited orders to the trolls that are the longest under his influence. This order makes them swing low and wide, effective against smaller targets.	true
unit_abilities_onscreen_name_order_squish	Throgg's Order: Squish the Little Ones!	true
unit_abilities_onscreen_name_order_protect	Throgg's Order: Defend yourselves!	true
unit_abilities_tooltip_text_order_protect	Throgg can give limited orders to the trolls that are the longest under his influence. This order makes them fight more cautiously and protect their vital organs.	true
unit_abilities_tooltip_text_order_catch	Throgg can give limited orders to the trolls that are the longest under his influence. This order makes them chase tirelessly after faster targets.	true
unit_abilities_onscreen_name_order_catch	Throgg's Order: Get the Fast Ones!	true
unit_abilities_tooltip_text_order_aim_higher	Throgg can give limited orders to the trolls that are the longest under his influence. This order makes them hit harder and aim higher to hit the weak points of bigger enemies.	true
unit_abilities_onscreen_name_order_aim_higher	Throgg's Order: Aim Higher!	true
unit_abilities_onscreen_name_difficult_to_spot	Natural Carmouflage	true
unit_abilities_tooltip_text_order_difficult_to_spot	These Trolls are carmouflaged in forests by their natural coloration. However, they are too stupid to understand the concept of an ambush. Their smell and the noise they make will give their position away once someone is close enough.	true
unit_abilities_onscreen_name_stunted_regeneration	Weakened Regeneration	true
unit_abilities_tooltip_text_order_stunted_regeneration	The regenerative ability of Bile Trolls is mostly occupied by keeping their many afflictions at bay. This means that wounds Bile Trolls receive are healing much slower compared to other Trolls.	true
unit_abilities_onscreen_name_sickness_host	Host to Terrifying Afflictions	true
unit_abilities_tooltip_text_order_sickness_host	Bile Trolls are feared by all, even by their famously stupid kin. They aren't feared for their combat prowess though, instead no one wants to get near them and risk infection - not even their allies.	true
unit_abilities_onscreen_name_temper_tantrum	Reckless Rampage	true
unit_abilities_tooltip_text_order_temper_tantrum	This is what happens if an already angry Troll feels provoked, frustrated, threatened or bored.	true
unit_abilities_tooltip_text_troll_mocking_laughter	Night Trolls are known to make noises sounding like mocking laughter while tearing their enemies apart. Those who witness these sounds can be easily intimidated by them.	true
unit_abilities_onscreen_name_troll_mocking_laughter	Mocking Laughter	true
unit_abilities_tooltip_text_burning_aura_of_ouch	Lava Trolls are filled with unbearable heat. Those getting too close are affected by this heat, their flesh burning in the presence of this twisted troll species.	true
unit_abilities_onscreen_name_burning_aura_of_ouch	Burning Presence	true
unit_abilities_tooltip_text_warpstone_solid	The twisted effects of their warpstone changed skin made the skin of these creatures highly resistant to any damage, especially magic. They don't feel pain and will not run before the their unnatural armour is broken.	true
unit_abilities_onscreen_name_warpstone_solid	Warpstone Skin	true
unit_abilities_tooltip_text_elo_troll_me_boss_now	Old Boss dead, me now bestest, most integli...inelli... me strongest, me boss now!	true
unit_abilities_onscreen_name_elo_troll_me_boss_now	Me Boss Now!	true
unit_abilities_tooltip_text_elo_lesser_vomit	"I have seen worse, but i still don't recommend to get anywhere near it" - Unknown Empire Soldier	true
unit_abilities_onscreen_name_elo_lesser_vomit	Corrosive Vomit	true
unit_abilities_tooltip_text_elo_violent_command	You run, me hurt you good! Fight! Fight!	true
unit_abilities_onscreen_name_elo_violent_command	Violent Command	true
unit_abilities_tooltip_text_elo_greater_swamp_breath	The strongest River Troll has the most repulsive, damaging vomit. Who would have thought?	true
unit_abilities_onscreen_name_elo_greater_swamp_breath	Greater Swamp Breath	true
unit_abilities_tooltip_text_elo_reservoir_hammer	Chief Ugma's oversized hammer has probably been taken from the statue of a Dwarf hero or ancestor god in the fallen Karak Azgal. Chief Umga doesn't seem to care though, all that matters is that the hammer has the right size and doesn't break.	true
unit_abilities_onscreen_name_elo_reservoir_hammer	Karak Azgal Stone Hammer	true
unit_abilities_tooltip_text_elo_trash_armour	Ugma improvised his armour himself. It is made from the equipment of foes he bested. Some of the items have magical effects which additionally benefit him.	true
unit_abilities_onscreen_name_elo_trash_armour	Ugma's Trash Armour	true
