formations_to_subcultures_tables	0
formation	sub_culture
test_melee_forward_simple	wh_main_sc_nor_albion
test_missile_forward_simple	wh_main_sc_nor_albion
test_melee_forward_simple	wh_main_sc_nor_warp
test_missile_forward_simple	wh_main_sc_nor_warp
test_melee_forward_simple	wh_main_sc_nor_fimir
test_missile_forward_simple	wh_main_sc_nor_fimir
test_melee_forward_simple	wh_main_sc_nor_troll
test_missile_forward_simple	wh_main_sc_nor_troll
test_melee_forward_simple	wh_main_sc_lzd_amazon
test_missile_forward_simple	wh_main_sc_lzd_amazon
test_melee_forward_simple	wh_main_sc_emp_araby
test_missile_forward_simple	wh_main_sc_emp_araby
