key	text	tooltip
#Loc PackedFile;1;text/db/grudgebringer_event_feeds.loc		
event_feed_strings_text_wh_event_feed_string_scripted_event_grudge_start_primary_detail	Defeat in the Badlands	true
event_feed_strings_text_wh_event_feed_string_scripted_event_grudge_start_secondary_detail	A fierce and unnatural sandstorm has struck our rearguard and amidst the confusion, they were surrounded by masses of the undead and forced to surrender. The few who managed to escape report of the captives being marched towards the Marshes of Madness.	true
event_feed_strings_text_wh_event_feed_string_scripted_event_grudge_rescue_primary_detail	Rescue of Morgheim	true
event_feed_strings_text_wh_event_feed_string_scripted_event_grudge_rescue_secondary_detail	After our victory at Morgheim we ventured deep into its bowels in search of our missing troops. Within the labyrinth of dungeons we found too few  –  bloodied and beaten at the hands of their captors – a necromancer and a dimwitted hunchback. Those that could, uttered unspeakable horrors,  and from their mumblings we discovered a secret chamber. It was strewn with morbid contraptions, a bloodstained altar taking centrepiece. Atop this ghastly altar sat a jet black orb with an impossible iridescent glow that waxed and waned. As our men neared they spoke of dark thoughts and an unshakeable dread.\\n\\nNot all we sent emerged from Morgheim’s hellish depths and those that did, did so confused, trembling with no account of their time. We sealed the entrances to the cursed under-lairs, may Sigmar forgive us, as we pray that our lost brothers receive the swift mercy of Morr.\\n\\n[[img:bullet_emp_units]][[/img]][[col:ancillary_unique]] Rescued 2 RoR[[/col]]\\n[[img:icon_effect_wizard]][[/img]][[col:ancillary_unique]] Gained the ‘Orb of Chalcidar’[[/col]]	true
event_feed_strings_text_wh_event_feed_string_scripted_event_grudge_start_two_primary_detail	An Old Friend	true
event_feed_strings_text_wh_event_feed_string_scripted_event_grudge_start_two_secondary_detail	The dwarf Azguz Bloodfist and his throng are heartily welcomed into camp. After pleasantries are exchanged the two commanders retire to Bernhardt's pavilion. The dwarf sensibly started his tale from the beginning. His Dawi brothers were sent to track and apprehend a lone Elgi travelling south along the Worlds Edge Mountains but it was they who were set upon like prey. They were sent to find their lost brothers and from the battlefield found markers that led all the way to Morgheim. Knowing Bernhardt had lost his own men not days ago he propositioned they join forces and free their kin. He warned that Morgheim was no mere ruin it had been rebuilt into a looming fortress and they would need more troops if they we’re to storm the necropolis.\\n\\n[[img:bullet_emp_units]][[/img]][[col:ancillary_unique]] Joined by Azguz Bloodfist[[/col]]\\n	true
event_feed_strings_text_wh_event_feed_string_scripted_event_ceridan_rescue_primary_detail	The Lone Ranger	true
event_feed_strings_text_wh_event_feed_string_scripted_event_ceridan_rescue_secondary_detail	All manner of creature was strung up in the centre of the camp, their carcasses ripening under the hot sun. Though one still clung to life, Sergeant Schepke rushed over to cut them down before they beckoned Bernhardt. Bloodied and wilting, he still recognised his friend the elven ranger Ceridan. This was the elf the dwarfs had been tracking through the mountains. After some much-needed rest, Bernhardt inquired of the elf why he traveled so far south. Ceridan looked Bernhardt in the eyes, he is not the only one would not see the world turn to ruin the Dread King must be stopped at all costs. The elf went on to speak of the ancient city of Ka-Sabaar, and how deep beneath its towering temples lay the key to life ‘the fountain of light’. Though this gift could restore the Dread Kings terrible power and it was imperative that they destroy it.\\n\\n[[img:bullet_emp_units]][[/img]][[col:ancillary_unique]] Rescued Ceridan the Lone Ranger[[/col]]\\n	true
event_feed_strings_text_wh_event_feed_string_scripted_event_lose_kasabaar_primary_detail	The Fountain of Light is lost	true
