land_units_to_unit_abilites_junctions_tables	0
ability	land_unit
war_fury	alb_viridian_champ
wh_main_unit_passive_regeneration	alb_viridian_champ
wh2_dlc09_unit_passive_unstable_mark_ii_sand	alb_viridian_champ
wh2_dlc09_unit_passive_unstable_sand	alb_viridian_champ
war_fury_2	albion_riders_spear
war_fury	alb_cav_noble
war_fury	alb_cav_noble_spear
war_fury	albion_riders_spear
war_fury_2	alb_viridian_champ
war_fury	bl_elo_dural_durak
woad_paint	bl_elo_dural_durak
wh_main_character_abilities_arcane_conduit	bl_elo_dural_durak
elo_summon_fenbeasts	bl_elo_dural_durak
lesser_shield_of_the_old_ones	bl_elo_dural_durak
wh2_dlc11_unit_passive_unbinding_rotting_prometheans	elo_summon_fenbeasts
wh_main_unit_passive_regeneration	elo_summon_fenbeasts
wh_main_unit_passive_unstable	elo_summon_fenbeasts
wh_main_unit_passive_unstable_mark_ii	elo_summon_fenbeasts
magic_siphon	elo_summon_fenbeasts
war_fury	bl_elo_dural_durak_horse
wh_main_character_abilities_arcane_conduit	bl_elo_dural_durak_horse
woad_paint	bl_elo_dural_durak_horse
elo_summon_fenbeasts	bl_elo_dural_durak_horse
lesser_shield_of_the_old_ones	bl_elo_dural_durak_horse
war_fury	bl_elo_dural_durak_chariot
woad_paint	bl_elo_dural_durak_chariot
wh_main_character_abilities_arcane_conduit	bl_elo_dural_durak_chariot
elo_summon_fenbeasts	bl_elo_dural_durak_chariot
lesser_shield_of_the_old_ones	bl_elo_dural_durak_chariot
devestating_charge	bl_elo_dural_durak_chariot
wh_main_character_abilities_rally	bl_elo_dural_durak
wh_main_character_abilities_rally	bl_elo_dural_durak_horse
wh_main_character_abilities_rally	bl_elo_dural_durak_chariot
