land_units_to_unit_abilites_junctions_tables	0
ability	land_unit
wh_main_character_abilities_arcane_conduit	arb_vizier_fire_0
wh_main_character_abilities_arcane_conduit	arb_vizier_fire_1
wh_main_character_abilities_arcane_conduit	arb_vizier_fire_2
wh_main_character_abilities_arcane_conduit	arb_vizier_life_0
wh_main_character_abilities_arcane_conduit	arb_vizier_life_1
wh_main_character_abilities_arcane_conduit	arb_vizier_life_2
wh_main_character_abilities_arcane_conduit	arb_vizier_heavens_0
wh_main_character_abilities_arcane_conduit	arb_vizier_heavens_1
wh_main_character_abilities_arcane_conduit	arb_vizier_heavens_2
wh_main_character_abilities_arcane_conduit	arb_vizier_desert_0
wh_main_character_abilities_arcane_conduit	arb_vizier_desert_1
wh_main_character_abilities_arcane_conduit	arb_vizier_desert_2
