Loc PackedFile	1
key	text	tooltip
units_custom_battle_mounts_localised_description_ovn_arb_cha_magician_life_0ovn_arb_cha_magician_life_1	Servants carrying a large Djinn Vessel.	true
units_custom_battle_mounts_mount_name_ovn_arb_cha_magician_life_0ovn_arb_cha_magician_life_1	Djinn Vessel	true
units_custom_battle_mounts_localised_description_ovn_arb_cha_magician_desert_0ovn_arb_cha_magician_desert_1	Servants carrying a large Djinn Vessel.	true
units_custom_battle_mounts_mount_name_ovn_arb_cha_magician_desert_0ovn_arb_cha_magician_desert_1	Djinn Vessel	true
units_custom_battle_mounts_localised_description_ovn_arb_cha_magician_fire_0ovn_arb_cha_magician_fire_1	Servants carrying a large Djinn Vessel.	true
units_custom_battle_mounts_mount_name_ovn_arb_cha_magician_fire_0ovn_arb_cha_magician_fire_1	Djinn Vessel	true
units_custom_battle_mounts_localised_description_ovn_arb_cha_magician_heavens_0ovn_arb_cha_magician_heavens_1	Servants carrying a large Djinn Vessel.	true
units_custom_battle_mounts_mount_name_ovn_arb_cha_magician_heavens_0ovn_arb_cha_magician_heavens_1	Djinn Vessel	true
units_custom_battle_mounts_localised_description_ovn_arb_cha_magician_life_0ovn_arb_cha_magician_life_2	An Air Djinn bound to a piece of furniture.	true
units_custom_battle_mounts_mount_name_ovn_arb_cha_magician_life_0ovn_arb_cha_magician_life_2	Magic Carpet	true
units_custom_battle_mounts_localised_description_ovn_arb_cha_magician_desert_0ovn_arb_cha_magician_desert_2	An Air Djinn bound to a piece of furniture.	true
units_custom_battle_mounts_mount_name_ovn_arb_cha_magician_desert_0ovn_arb_cha_magician_desert_2	Magic Carpet	true
units_custom_battle_mounts_localised_description_ovn_arb_cha_magician_fire_0ovn_arb_cha_magician_fire_2	An Air Djinn bound to a piece of furniture.	true
units_custom_battle_mounts_mount_name_ovn_arb_cha_magician_fire_0ovn_arb_cha_magician_fire_2	Magic Carpet	true
units_custom_battle_mounts_localised_description_ovn_arb_cha_magician_heavens_0ovn_arb_cha_magician_heavens_2	An Air Djinn bound to a piece of furniture.	true
units_custom_battle_mounts_mount_name_ovn_arb_cha_magician_heavens_0ovn_arb_cha_magician_heavens_2	Magic Carpet	true
units_custom_battle_mounts_localised_description_Dread_KingDread_King_2	Powerful Dark Magic saturated the bones of long-dead dragons, raising them to new purpose. 	true
units_custom_battle_mounts_mount_name_Dread_KingDread_King_2	Zombie Dragon	true
units_custom_battle_mounts_mount_name_Sultan_JaffarSultan_Jaffar_camel	Camel	true
units_custom_battle_mounts_localised_description_Sultan_JaffarSultan_Jaffar_camel	Jaffar is a vainglorious man, it is no wonder then that the prestigious camel is one of his favourite mounts to ride into battle.	true
units_custom_battle_mounts_mount_name_Sultan_JaffarSultan_Jaffar_elephant	Royal Elephant	false
units_custom_battle_mounts_localised_description_Sultan_JaffarSultan_Jaffar_elephant	From on top the howdah of a mighty Arabyan Royal Elephant, Sultan Jaffar gazes down upon the battlefield with only imperious cruelty and disdain in his eyes.	false
units_custom_battle_mounts_mount_name_ovn_araby_llovn_araby_ll_mount	Griffon	true
units_custom_battle_mounts_localised_description_ovn_araby_llovn_araby_ll_mount	Hailing from the highest peaks of the World's Edge Mountains, Arabyans just like the northern Imperials are willing to pay vast sums of gold for a single egg or chick such the renown of these majestic beasts. 	true
units_custom_battle_mounts_mount_name_ovn_araby_llwh_main_arb_cha_sheikh_2	Royal Elephant	true
units_custom_battle_mounts_localised_description_ovn_araby_llwh_main_arb_cha_sheikh_2	Elephants are unstoppable beasts. Trained on the battlefield, they lead Araby's leaders to war, wiping out everything that gets in their way.	true
units_custom_battle_mounts_mount_name_ovn_araby_ll_2ovn_araby_ll_2_mount	Griffon	true
units_custom_battle_mounts_localised_description_ovn_araby_ll_2ovn_araby_ll_2_mount	Hailing from the highest peaks of the World's Edge Mountains, Arabyans just like the northern Imperials are willing to pay vast sums of gold for a single egg or chick such the renown of these majestic beasts. 	true
units_custom_battle_mounts_mount_name_ovn_araby_ll_2wh_main_arb_cha_sheikh_2_02	Royal Elephant	true
units_custom_battle_mounts_localised_description_ovn_araby_ll_2wh_main_arb_cha_sheikh_2_02	Elephants are unstoppable beasts. Trained on the battlefield, they lead Araby's leaders to war, wiping out everything that gets in their way.	true
units_custom_battle_mounts_mount_name_ovn_araby_llroy_arb_cha_lord_horse	Arabyan Warhorse	true
units_custom_battle_mounts_localised_description_ovn_araby_llroy_arb_cha_lord_horse	Some of the fastest and most furious breeds of horse come from the lands of Araby.	true
units_custom_battle_mounts_mount_name_ovn_araby_ll_2roy_arb_cha_lord_horse_2	Arabyan Warhorse	true
units_custom_battle_mounts_localised_description_ovn_araby_ll_2roy_arb_cha_lord_horse_2	Some of the fastest and most furious breeds of horse come from the lands of Araby.	true
units_custom_battle_mounts_mount_name_morrigan_midnight	Oidhche	true
units_custom_battle_mounts_localised_description_morrigan_midnight	A giant crow Morrigan may ride to battle. No other giant crows have ever been seen in Albion and its origin remains a mystery.	true
units_custom_battle_mounts_mount_name_albion_warhorse	Albion Warhorse	true
units_custom_battle_mounts_localised_description_albion_warhorse	The inhabitants of Albion ride horses to battle who are as temperamental and hardy as their riders.	true
units_custom_battle_mounts_mount_name_albion_warhorse_chariot	Albion Chariot	true
units_custom_battle_mounts_localised_description_albion_warhorse_chariot	Whenever the battlefield is suitable, the nobility of Albion will enter battle on deadly chariots.	true
units_custom_battle_mounts_mount_name_albion_morriganalbion_morrigan_bird	Oidhche	true
units_custom_battle_mounts_localised_description_albion_morriganalbion_morrigan_bird	A giant crow Morrigan may ride to battle. No other giant crows have ever been seen in Albion and its origin remains a mystery.	false
units_custom_battle_mounts_mount_name_albion_truthsayer_beastalbion_truthsayer_beast_horse	Albion Warhorse	true
units_custom_battle_mounts_localised_description_albion_truthsayer_beastalbion_truthsayer_beast_horse	The inhabitants of Albion ride horses to battle who are as temperamental and hardy as their riders.	true
units_custom_battle_mounts_mount_name_albion_truthsayer_lifealbion_truthsayer_life_horse	Albion Warhorse	true
units_custom_battle_mounts_localised_description_albion_truthsayer_lifealbion_truthsayer_life_horse	The inhabitants of Albion ride horses to battle who are as temperamental and hardy as their riders.	true
units_custom_battle_mounts_mount_name_albion_truthsayer_lightalbion_truthsayer_light_horse	Albion Warhorse	true
units_custom_battle_mounts_localised_description_albion_truthsayer_lightalbion_truthsayer_light_horse	The inhabitants of Albion ride horses to battle who are as temperamental and hardy as their riders.	true
units_custom_battle_mounts_mount_name_albion_truthsayer_truthalbion_truthsayer_truth_horse	Albion Warhorse	true
units_custom_battle_mounts_localised_description_albion_truthsayer_truthalbion_truthsayer_truth_horse	The inhabitants of Albion ride horses to battle who are as temperamental and hardy as their riders.	true
units_custom_battle_mounts_mount_name_albion_warleaderalbion_warleader_horse	Albion Warhorse	true
units_custom_battle_mounts_localised_description_albion_warleaderalbion_warleader_horse	The inhabitants of Albion ride horses to battle who are as temperamental and hardy as their riders.	true
units_custom_battle_mounts_mount_name_albion_chiefalbion_chief_horse	Albion Warhorse	true
units_custom_battle_mounts_localised_description_albion_chiefalbion_chief_horse	The inhabitants of Albion ride horses to battle who are as temperamental and hardy as their riders.	true
units_custom_battle_mounts_mount_name_albion_warleaderalbion_warleader_chariot	Albion Chariot	true
units_custom_battle_mounts_localised_description_albion_warleaderalbion_warleader_chariot	Whenever the battlefield is suitable, the nobility of Albion will enter battle on deadly chariots.	true
units_custom_battle_mounts_mount_name_albion_chiefalbion_chief_chariot	Albion Chariot	true
units_custom_battle_mounts_localised_description_albion_chiefalbion_chief_chariot	Whenever the battlefield is suitable, the nobility of Albion will enter battle on deadly chariots.	true
units_custom_battle_mounts_mount_name_elo_dread_centurionelo_dread_centurion_horse	Skeletal Steed	true
units_custom_battle_mounts_localised_description_elo_dread_centurionelo_dread_centurion_horse	Long-dead destriers, awakened to serve their Unliving masters far beyond death.	true
units_custom_battle_mounts_mount_name_elo_dread_centurionelo_dread_centurion_barded_horse	Barded Skeletal Steed	true
units_custom_battle_mounts_localised_description_elo_dread_centurionelo_dread_centurion_barded_horse	Long-dead destriers, awakened to serve their Unliving masters far beyond death, wrapped in blackened\\nsteel to protect the bones underneath.	true
units_custom_battle_mounts_mount_name_elo_dread_centurionelo_dread_centurion_chariot	Skeleton Chariot	true
units_custom_battle_mounts_localised_description_elo_dread_centurionelo_dread_centurion_chariot	Bone steeds pull dreaded chariots made from thick steel, impacting enemy lines with bone-shattering force and grinding all beneath their heavy wheels.	true
units_custom_battle_mounts_mount_name_elo_liche_generalelo_liche_general_barded_steed	Barded Skeletal Steed	true
units_custom_battle_mounts_localised_description_elo_liche_generalelo_liche_general_barded_steed	Long-dead destriers, awakened to serve their Unliving masters far beyond death, wrapped in blackened\\nsteel to protect the bones underneath.	true
units_custom_battle_mounts_mount_name_elo_liche_generalelo_liche_general_chariot	Skeleton Chariot	true
units_custom_battle_mounts_localised_description_elo_liche_generalelo_liche_general_chariot	Bone steeds pull dreaded chariots made from thick steel, impacting enemy lines with bone-shattering force and grinding all beneath their heavy wheels.	true
units_custom_battle_mounts_mount_name_elo_liche_generalelo_liche_general_warsphinx	Khemrian Warsphinx	true
units_custom_battle_mounts_localised_description_elo_liche_generalelo_liche_general_warsphinx	Through the actions of Traitor Kings, the forces of Nagash have access to Warsphinxes.	true
units_custom_battle_mounts_localised_description_wh_main_emp_cha_elspeth_von_drakenwh_main_emp_cha_elspeth_von_draken_3	Carmine, or Encarmine Dragons, are a corrupted variant of the Dragon race known famously for its dark crimson color as a result of an over-exposure to "Death Magic".	true
units_custom_battle_mounts_mount_name_ovn_stormriderovn_stormrider_mount	Sharpclaw	true
units_custom_battle_mounts_localised_description_ovn_stormriderovn_stormrider_mount	Astride his griffon, Sharpclaw, Althran swoops down on his chosen foe and cuts them down with talon and beak.	true
units_custom_battle_mounts_mount_name_arb_vizier_fire_0arb_vizier_fire_1	Camel	true
units_custom_battle_mounts_localised_description_arb_vizier_fire_0arb_vizier_fire_1	The mount of any self-respecting Arabyan gentleman.	true
units_custom_battle_mounts_mount_name_arb_vizier_fire_0arb_vizier_fire_2	Flying Carpet	true
units_custom_battle_mounts_localised_description_arb_vizier_fire_0arb_vizier_fire_2	An Air Djinn bound to a piece of furniture.	true
units_custom_battle_mounts_mount_name_arb_vizier_life_0arb_vizier_life_1	Camel	true
units_custom_battle_mounts_localised_description_arb_vizier_life_0arb_vizier_life_1	The mount of any self-respecting Arabyan gentleman.	true
