Loc PackedFile	1
key	text	tooltip
unit_abilities_onscreen_name_fim_skattach_poison_mist	Poison Mist	false
unit_abilities_tooltip_text_fim_skattach_poison_mist	All Fimir Mearghs are acomppained by a noxious mist that demoralises and poisons their enemies. Skattach is no exception.	false
unit_abilities_onscreen_name_fim_skattach_summon_bloodletters	Summon Bloodletters	false
unit_abilities_tooltip_text_fim_skattach_summon_bloodletters	The caster opens a rift into the Realm oF Chaos and binds a pack of Bloodletters to their will.	false
unit_abilities_onscreen_name_fim_meargh_skattach_staff_balor_ability	Staff of Balor's Eye	false
unit_abilities_tooltip_text_fim_meargh_skattach_staff_balor_ability	At the tip of this magical staff rests an ancient Fimir artifact known as "Balor's Eye" a magically preserved eye said to belong to the myterious Fimir god, able to open a rift into the Realm of Chaos and suck all of the user's enemies within.	false
unit_abilities_onscreen_name_cr_unit_formation_shieldwall	Bordweall 	true
unit_abilities_tooltip_text_cr_unit_formation_shieldwall	An ancient but effective tactic, warriors stand shoulder to shoulder, holding their shields against their neighbours, creating a formidable wall of shields.	true
unit_abilities_onscreen_name_ovn_character_abilities_the_recovery_of_the_king	Recovery of the King	true
unit_abilities_tooltip_text_ovn_character_abilities_the_recovery_of_the_king	Sobering up Aragand might not always be the best idea, but you might learn a thing or two about him...	true
unit_abilities_onscreen_name_ovn_character_passive_sobriety	Sobriety	true
unit_abilities_tooltip_text_ovn_character_passive_sobriety	Heavy drinking leads to a heavy toll, withdrawal. It is inevitable that Aragand will return to the bottle, but for now, heroic deeds await!	true
unit_abilities_onscreen_name_ovn_character_abilities_hair_of_the_dog	Hair of the Dog	true
unit_abilities_tooltip_text_ovn_character_abilities_hair_of_the_dog	Just a sip, just one drop, just to dull the pain...	true
unit_abilities_onscreen_name_ovn_character_abilities_whirling_death	Whirling Death	true
unit_abilities_tooltip_text_ovn_character_abilities_whirling_death	A Bladesinger’s dance may start as a mesmerising, graceful pirouette, but always ends as a violent maelstrom of slicing, gashing slaughter!	true
unit_abilities_onscreen_name_ovn_character_abilities_storm_of_blades	Storm of Blades	true
unit_abilities_tooltip_text_ovn_character_abilities_storm_of_blades	What beauty and violence there is in the dance? A flurry of blades and a certain savagery of intent...	true
unit_abilities_onscreen_name_ovn_character_abilities_the_shadows_coil	The Shadow's Coil	true
unit_abilities_tooltip_text_ovn_character_abilities_the_shadows_coil	The wending and twisting of the Wardancers hardens their spirits and their bodies against would-be attackers.	true
unit_abilities_onscreen_name_ovn_character_abilities_woven_mist	Woven Mist	true
unit_abilities_tooltip_text_ovn_character_abilities_woven_mist	The Wardancer threads and loops, contorting to create an ethereal fabric that turns aside arrows and bolts.	true
unit_abilities_onscreen_name_ovn_character_passive_unlikely_friendship	An Unlikely Friendship	true
unit_abilities_tooltip_text_ovn_character_passive_unlikely_friendship	Legles's friendship comes with some benefits.	true
unit_abilities_onscreen_name_ovn_character_passive_self_preservation	Self Preservation	true
unit_abilities_tooltip_text_ovn_character_passive_self_preservation	Giblit would very much like to see tomorrow.	true
unit_abilities_additional_ui_effects_localised_text_ovn_character_abilities_the_recovery_of_the_king_transform	[[col:green]][[img:icon_arrow_up]][[/img]] The king is back (temporarily)[[/col]]	true
unit_abilities_additional_ui_effects_localised_text_ovn_character_abilities_the_recovery_of_the_king_damage	[[col:red]][[img:icon_arrow_down]][[/img]] Sobriety causes health loss over time[[/col]]	true
unit_abilities_additional_ui_effects_localised_text_ovn_heal_passive_24	[[col:green]][[img:icon_arrow_up]][[/img]] Restores [[img:icon_hp]][[/img]]24 Hit Points per second[[/col]]	true
unit_abilities_onscreen_name_ovn_unit_abilities_pot_of_naphtha	Naphtha Bomb	true
unit_abilities_tooltip_text_ovn_unit_abilities_pot_of_naphtha	A mixture of chemicals that becomes a fiery liquid that is difficult to put out, conveniently packaged in a small clay pot.	true
unit_abilities_onscreen_name_ovn_hero_abilities_summon_genie	Summon Genie	true
