key	text	tooltip
#Loc PackedFile;1;text/db/ovn_unit_description_short_texts.loc		
unit_description_short_texts_text_Dread_King	One of the original Dark Lords of Nagash, the Dread King was a mighty undead Liche of Nehekhara. A powerful warrior and practitioner of necromancy, he would become one of the most feared and mysterious beings to have ever existed	true
unit_description_short_texts_text_elo_undead_grail_knights	The Black Grail Knights were the resurrected corpses of twelve long dead Grail Knights of Bretonnia. They were among the mightiest Undead to have ever walked the Old World.	true
unit_description_short_texts_text_Sultan_Jaffar	Undoubtedly the cruellest ruler ever in Araby, Jaffar controlled the land for many years during the Crusades. Jaffar was a powerful sorcerer who in 1435 IC united Araby and ruled it as Sultan for fifteen years.	true
unit_description_short_texts_text_Djinn_fire	This fiery Djinn has succumbed to the addiction of the winds of fire. All restraints and composure are gone replaced with a desire to see flesh and bone succumb to the glorious flame that now enslaves it.	true
unit_description_short_texts_text_ovn_araby_ll_mount	The Sheikhs are wise and powerful warriors, they bring great honour to Araby and are rightly rewarded though some struggle with the excess this life brings.	true
unit_description_short_texts_text_ovn_araby_ll	The Sheikhs are wise and powerful warriors, they bring great honour to Araby and are rightly rewarded though some struggle with the excess this life brings.	true
unit_description_short_texts_text_belakor	"Be'lakor, Chaos Daemon Prince, has known many different names. He is a creature who wields unholy weapons and abilities, and a figure who once commanded legions of unnatural beings."	true
unit_description_short_texts_text_alb_cav_noble	Nobles prefer to ride into battle. They are better equipped and trained than the ordinary warrior.	true
unit_description_short_texts_text_alb_viridian_champ	A warrior who undergoes a secret ritual, voluntarily leaving his mortal body behind to inhabit a shell of plant and earth is forever becoming a Viridian Lord, a chosen of Danu.	true
unit_description_short_texts_text_elo_fenbeast	Fenbeasts are magical constructs, made of the foul mud and rotting wood of Albion. They are powered by the shard of an Ogham Stone within their body and said to be animated by the souls of those who died in the swamps.	true
unit_description_short_texts_text_elo_albion_cha_queen	Queen	true
unit_description_short_texts_text_elo_albion_warriors	For the fierce barbarians of Albion, war is an integral part of life. Every able man knows how to fight and will defend his homeland in times of peril.	true
unit_description_short_texts_text_elo_youngbloods	Youngbloods are apprentice warriors, too inexperienced to be part of a regular warband. They hurl javelins at their opponents to gain battle experience and will avoid the danger of melee as well as they can.	true
unit_description_short_texts_text_elo_woadraider	In battle, Woad Raiders fight with wild abandon, putting all their trust into the protection granted by the magical patterns covering their body.	true
unit_description_short_texts_text_elo_bloodhounds	Dogs serve as companions for hunters and shepherds in peace times. In war, they are starved and then released in packs on vulnerable targets.	true
unit_description_short_texts_text_druid_neophytes	Druid Neophytes are magically gifted apprentices, following the path of the Truthsayers. They are sent out in a battle to provide support for their fellow clansmen and learn to wield their magic in battle.	true
