provincial_initiative_key	subculture
#provincial_initiatives_to_subculture_junctions_tables;0;db/provincial_initiatives_to_subculture_junctions_tables/ovn	
Fimir_edict_1	wh_main_sc_nor_fimir
Fimir_edict_2	wh_main_sc_nor_fimir
Fimir_edict_3	wh_main_sc_nor_fimir
Fimir_edict_4	wh_main_sc_nor_fimir
Troll_edict_1	wh_main_sc_nor_troll
Troll_edict_2	wh_main_sc_nor_troll
Troll_edict_3	wh_main_sc_nor_troll
province_edict_albion1	wh_main_sc_nor_albion
province_edict_albion2	wh_main_sc_nor_albion
province_edict_albion3	wh_main_sc_nor_albion
province_edict_albion4	wh_main_sc_nor_albion
province_edict_albion5	wh_main_sc_nor_albion
araby_edict_1	wh_main_sc_emp_araby
araby_edict_2	wh_main_sc_emp_araby
araby_edict_3	wh_main_sc_emp_araby
araby_edict_4	wh_main_sc_emp_araby
chaos_edict_1	wh_main_sc_nor_warp
chaos_edict_2	wh_main_sc_nor_warp
chaos_edict_3	wh_main_sc_nor_warp
chaos_edict_4	wh_main_sc_nor_warp
chaos_edict_5	wh_main_sc_nor_warp
