id	payload	ancillary
#ritual_payload_ancillaries_tables;0;db/ritual_payload_ancillaries_tables/ovn_crafting		
311082401	ovn_arb_crafting_weapons_01	ovn_arb_baz_wep_01_golden_scimitar
311082402	ovn_arb_crafting_weapons_02	ovn_arb_baz_wep_02_hidden_blade
311082403	ovn_arb_crafting_weapons_03	ovn_arb_baz_wep_03_corsair_soul
311082404	ovn_arb_crafting_weapons_04	ovn_arb_baz_wep_04_desert_hammer
311082405	ovn_arb_crafting_weapons_05	ovn_arb_baz_wep_05_saif
311082406	ovn_arb_crafting_weapons_06	ovn_arb_baz_wep_06_truth_dagger
311082407	ovn_arb_crafting_weapons_07	ovn_arb_baz_wep_07_dimashque_breath
311082408	ovn_arb_crafting_weapons_08	ovn_arb_baz_wep_08_matyr_shard
311082409	ovn_arb_crafting_weapons_09	ovn_arb_baz_wep_09_seeking_bow
311082410	ovn_arb_crafting_weapons_10	ovn_arb_baz_wep_10_vengeful_sword
311082411	ovn_arb_crafting_weapons_11	ovn_arb_baz_wep_11_efreet_blade
311082412	ovn_arb_crafting_weapons_12	ovn_arb_baz_wep_12_weeping_blade
311082528	ovn_arb_crafting_armor_01	ovn_arb_baz_arm_01_copher
311082529	ovn_arb_crafting_armor_02	ovn_arb_baz_arm_02_atabeg
311082530	ovn_arb_crafting_armor_03	ovn_arb_baz_arm_03_sand_helm
311082531	ovn_arb_crafting_armor_04	ovn_arb_baz_arm_04_dwell_terror
311082532	ovn_arb_crafting_armor_05	ovn_arb_baz_arm_05_lost_breastplate
311082533	ovn_arb_crafting_armor_06	ovn_arb_baz_arm_06_uzzal_tear
311082534	ovn_arb_crafting_armor_07	ovn_arb_baz_arm_07_oasis_heart
311082535	ovn_arb_crafting_armor_08	ovn_arb_baz_arm_08_gorgon_shield
311082536	ovn_arb_crafting_armor_09	ovn_arb_baz_arm_09_faith_shield
311082537	ovn_arb_crafting_armor_10	ovn_arb_baz_arm_10_scorpion_armour
311082538	ovn_arb_crafting_armor_11	ovn_arb_baz_arm_11_khrumak_gift
311082539	ovn_arb_crafting_armor_12	ovn_arb_baz_arm_12_sultan_armour
311082591	ovn_arb_crafting_enchanted_items_01	ovn_arb_baz_ei_01_desert_idol
311082592	ovn_arb_crafting_enchanted_items_02	ovn_arb_baz_ei_02_fate_abacus
311082593	ovn_arb_crafting_enchanted_items_03	ovn_arb_baz_ei_03_beetle_pendulum
311082594	ovn_arb_crafting_enchanted_items_04	ovn_arb_baz_ei_04_desire_astrolabe
311082595	ovn_arb_crafting_enchanted_items_05	ovn_arb_baz_ei_05_serpent_crown
311082596	ovn_arb_crafting_enchanted_items_06	ovn_arb_baz_ei_06_healing_ring
311082597	ovn_arb_crafting_enchanted_items_07	ovn_arb_baz_ei_07_djinni_ring
311082598	ovn_arb_crafting_enchanted_items_08	ovn_arb_baz_ei_08_faith_mask
311082599	ovn_arb_crafting_enchanted_items_09	ovn_arb_baz_ei_09_mullah_scripture
311082600	ovn_arb_crafting_enchanted_items_10	ovn_arb_baz_ei_10_ratkin_necklace
311082601	ovn_arb_crafting_enchanted_items_11	ovn_arb_baz_ei_11_ibn_jellaba_compass
311082602	ovn_arb_crafting_enchanted_items_12	ovn_arb_baz_ei_12_twilight_mirror_shard
311082666	ovn_arb_crafting_talismans_01	wh_main_anc_talisman_obsidian_trinket
311082667	ovn_arb_crafting_talismans_02	ovn_arb_baz_tal_02_sun_flask
311082668	ovn_arb_crafting_talismans_03	ovn_arb_baz_tal_03_beetle_star
311082669	ovn_arb_crafting_talismans_04	wh_main_anc_talisman_obsidian_amulet
311082670	ovn_arb_crafting_talismans_05	wh_main_anc_talisman_obsidian_lodestone
311082671	ovn_arb_crafting_talismans_06	ovn_arb_baz_tal_06_cheshnakk_ring
311082672	ovn_arb_crafting_talismans_07	ovn_arb_baz_tal_07_moonstone
311082673	ovn_arb_crafting_talismans_08	ovn_arb_baz_tal_08_ishmail_heart
311082674	ovn_arb_crafting_talismans_09	ovn_arb_baz_tal_09_toy_horse
311082675	ovn_arb_crafting_talismans_10	ovn_arb_baz_tal_10_khandu_hookah
311082676	ovn_arb_crafting_talismans_11	ovn_arb_baz_tal_11_kadizar_rope
311082677	ovn_arb_crafting_talismans_12	ovn_arb_baz_tal_12_golden_carafe
311082712	ovn_arb_crafting_arcane_items_01	ovn_arb_baz_arc_01_laniph_scroll
311082713	ovn_arb_crafting_arcane_items_02	ovn_arb_baz_arc_02_puzzle_box
311082714	ovn_arb_crafting_arcane_items_03	ovn_arb_baz_arc_03_whirlpool_staff
311082715	ovn_arb_crafting_arcane_items_04	ovn_arb_baz_arc_04_sandstorm_staff
311082716	ovn_arb_crafting_arcane_items_05	ovn_arb_baz_arc_05_dune_book
311082717	ovn_arb_crafting_arcane_items_06	ovn_arb_baz_arc_06_mortis_scrawl
311082718	ovn_arb_crafting_arcane_items_07	ovn_arb_baz_arc_07_monkey_paw
311082719	ovn_arb_crafting_arcane_items_08	ovn_arb_baz_arc_08_glimmering_monkey_paw
311082720	ovn_arb_crafting_arcane_items_09	ovn_arb_baz_arc_09_bronze_monkey_paw
311082721	ovn_arb_crafting_arcane_items_10	ovn_arb_baz_arc_10_golden_monkey_paw
311082722	ovn_arb_crafting_arcane_items_11	ovn_arb_baz_arc_11_genie_lantern
311082723	ovn_arb_crafting_arcane_items_12	ovn_arb_baz_arc_12_genie_lantern_alt
