phase	stat	value	how
#special_ability_phase_stat_effects_tables;3;db/special_ability_phase_stat_effects_tables/ovn			
hlf_gatherers_yank	stat_melee_defence	-24.0	add
ovn_unit_passive_running_with_the_herd	scalar_speed	1.1	mult
ovn_unit_passive_running_with_the_herd	stat_morale	10.0	add
elo_reservoir_hammer	stat_melee_damage_ap	1.4	mult
elo_reservoir_hammer	stat_melee_damage_base	1.4	mult
elo_reservoir_hammer	scalar_splash_attack_power	2.0	mult
elo_trash_armour	stat_missile_block_chance	15.0	add
elo_trash_armour	stat_resistance_physical	10.0	add
elo_trash_armour	stat_melee_defence	5.0	add
elo_trash_armour	stat_armour	15.0	add
ovn_feast	stat_morale	10.0	add
ovn_thief	stat_melee_damage_ap	4.0	add
ovn_thief	stat_melee_defence	8.0	add
ovn_fight_eat	stat_melee_attack	5.0	add
ovn_fight_eat	stat_melee_defence	5.0	add
ovn_dont_abandon	stat_morale	25.0	add
elo_superfood	stat_resistance_physical	10.0	add
elo_superfood	stat_melee_damage_ap	1.15	mult
elo_superfood	stat_melee_damage_base	1.15	mult
cr_unit_formation_shieldwall	stat_resistance_missile	10.0	add
ovn_character_abilities_hair_of_the_dog	stat_melee_defence	-24.0	add
ovn_character_abilities_hair_of_the_dog	stat_melee_attack	-24.0	add
ovn_character_passive_self_preservation	scalar_speed	1.25	mult
ovn_character_passive_self_preservation	stat_melee_defence	25.0	add
ovn_unit_contact_pressure_of_the_abyss	stat_melee_defence	-8.0	add
ovn_unit_contact_pocket_sand	stat_morale	-7.0	add
ovn_unit_contact_four_winds	stat_melee_attack	-9.0	add
wh_main_unit_contact_souped	stat_melee_attack	-5.0	add
wh_main_unit_contact_souped	stat_armour	-10.0	add
ovn_spell_desert_curse_of_the_djinn	stat_armour	-24.0	add
ovn_spell_desert_curse_of_the_djinn_upgraded	stat_resistance_magic	-30.0	add
ovn_spell_desert_curse_of_the_djinn_upgraded	stat_armour	-24.0	add
blood_howl	stat_morale	-4.0	add
arb_jaffar_aura_will	stat_morale	8.0	add
Dread_Aura	stat_morale	-28.0	add
elo_necromantic_anchor	stat_morale	10.0	add
elo_hand_judge_executioner	stat_armour	-60.0	add
elo_hand_judge_executioner	stat_melee_defence	-40.0	add
elo_hand_judge_executioner	scalar_speed	0.3	mult
elo_hungering_blade	stat_resistance_all	30.0	add
contact_phase_mummy_curse	stat_melee_damage_base	0.8	mult
contact_phase_mummy_curse	scalar_missile_damage_ap	0.8	mult
whispers_in_the_darkness	stat_morale	-4.0	add
wh_main_unit_contact_shadow	scalar_missile_damage_ap	0.9	mult
wh_main_unit_contact_shadow	scalar_missile_damage_base	0.9	mult
wh_main_unit_contact_shadow	scalar_speed	0.86	mult
wh_main_unit_contact_shadow	stat_melee_damage_ap	0.6	mult
wh_main_unit_contact_shadow	stat_melee_damage_base	0.79	mult
Violent_rise_to_power_1	stat_melee_damage_ap	1.25	mult
Violent_rise_to_power_2	stat_melee_damage_ap	1.3	mult
Violent_rise_to_power_3	stat_melee_damage_ap	1.45	mult
uncontrollable_rage	stat_melee_damage_base	1.1	mult
uncontrollable_rage	stat_melee_damage_ap	1.1	mult
uncontrollable_rage	scalar_speed	1.2	mult
war_fury	stat_melee_attack	6.0	add
war_fury	stat_melee_damage_base	1.1	mult
war_fury_2	stat_morale	-8.0	add
