id	duration	effect_type	requested_stance	unbreakable	cant_move	freeze_fatigue	fatigue_change_ratio	inspiration_aura_range_mod	ability_recharge_change	hp_change_frequency	heal_amount_duplicate	damage_chance	damage_amount	max_damaged_entities	heal_amount	resurrect	mana_regen_mod	mana_max_depletion_mod	imbue_magical	imbue_ignition	imbue_contact	phase_display	phase_audio	recharge_time	is_hidden_in_ui	affects_allies	affects_enemies	replenish_ammo	composite_scene_group
#special_ability_phases_tables;35;db/special_ability_phases_tables/elo_albion																													
war_fury	-1.0	positive		false	false	false	0.0	0.0	0.0	0.0	0	0.0	0	0	0	false	0.0	0.0	false	0		wh_main_generic_buff_attack_passive		-1.0	false	true	true	0.0	
war_fury_2	-1.0	negative		false	false	false	0.0	0.0	0.0	0.0	0	0.0	0	0	0	false	0.0	0.0	false	0		wh_main_generic_debuff_morale		-1.0	false	true	true	0.0	
woad_paint	-1.0	positive		false	false	false	0.0	0.0	0.0	0.0	0	0.0	0	0	0	false	0.0	0.0	false	0		wh_main_generic_ward_save_all_passive		-1.0	false	true	true	0.0	
druid_bound_awakening_of_the_wood	12.0	negative		false	false	false	0.0	0.0	0.0	0.0	0	0.0	0	-1	0	false	0.0	0.0	false	0				-1.0	false	true	true	0.0	
devestating_charge	-1.0	positive		false	false	false	0.0	0.0	0.0	0.0	0	0.0	0	0	0	false	0.0	0.0	false	0		wh_main_generic_buff_attack_passive		-1.0	false	true	true	0.0	
spell_truth_gift_life	25.0	positive		false	false	false	0.0	0.0	0.0	0.5	24	0.0	0	0	24	true	0.0	0.0	false	0		wh_dlc05_spell_life_regrowth	wh_dlc05_spell_life_regrowth	-1.0	false	true	true	0.0	
spell_truth_gift_life_upgraded	25.0	positive		false	false	false	0.0	0.0	0.0	0.5	24	0.0	0	0	24	true	0.0	0.0	false	0		wh_dlc05_spell_life_regrowth	wh_dlc05_spell_life_regrowth	-1.0	false	true	true	0.0	
wh2_main_lore_passive_truthsayer	15.0	positive		false	false	false	0.0	0.0	0.0	0.0	0	0.0	0	-1	0	false	0.0	0.0	false	0				-1.0	false	true	true	0.0	
spell_truth_valor	22.0	positive		false	false	false	0.0	0.0	0.0	0.0	0	0.0	0	0	0	false	0.0	0.0	false	0		wh_main_spell_heavens_harmonic_convergence	wh_main_spell_heavens_harmonic_convergence	-1.0	false	true	true	0.0	
spell_truth_valor_upgraded	22.0	positive		false	false	false	0.0	0.0	0.0	0.0	0	0.0	0	0	0	false	0.0	0.0	false	0		wh_main_spell_heavens_harmonic_convergence	wh_main_spell_heavens_harmonic_convergence	-1.0	false	true	true	0.0	
spell_truth_protection	30.0	positive		false	false	false	0.0	0.0	0.0	0.0	0	0.0	0	0	0	false	0.0	0.0	false	0		wh_main_spell_light_phas_protection	wh_main_spell_light_phas_protection	-1.0	false	true	true	0.0	
spell_truth_protection_upgraded	30.0	positive		false	false	false	0.0	0.0	0.0	0.0	0	0.0	0	0	0	false	0.0	0.0	false	0		wh_main_spell_light_phas_protection	wh_main_spell_light_phas_protection	-1.0	false	true	true	0.0	
spell_truth_voice_command	22.0	negative		false	false	false	0.0	0.0	0.0	0.0	0	0.0	0	0	0	false	0.0	0.0	false	0		wh_main_spell_death_doom_and_darkness	wh_main_spell_death_doom_and_darkness	-1.0	false	true	true	0.0	
spell_truth_voice_command_upgraded	22.0	negative		false	false	false	0.0	0.0	0.0	0.0	0	0.0	0	0	0	false	0.0	0.0	false	0		wh_main_spell_death_doom_and_darkness	wh_main_spell_death_doom_and_darkness	-1.0	false	true	true	0.0	
spell_truth_boon_courage	22.0	positive		false	false	false	0.0	0.0	0.0	0.0	0	0.0	0	0	0	false	0.0	0.0	false	0		wh_main_spell_light_light_of_battle	wh_main_spell_light_light_of_battle	-1.0	false	true	true	0.0	
spell_truth_boon_courage_upgraded	44.0	positive		false	false	false	0.0	0.0	0.0	0.0	0	0.0	0	0	0	false	0.0	0.0	false	0		wh_main_spell_light_light_of_battle	wh_main_spell_light_light_of_battle	-1.0	false	true	true	0.0	
magic_siphon	-1.0	positive		false	false	false	0.0	0.0	0.0	0.0	0	0.0	0	0	0	false	0.0	0.0	false	0		wh_main_generic_buff_morale		-1.0	false	true	true	0.0	
embodiment_albion	-1.0	negative		false	false	false	0.0	0.0	0.0	0.0	0	0.0	0	0	0	false	0.0	0.0	false	0		wh_main_generic_debuff_defence		-1.0	false	true	true	0.0	
albion_warcry	18.0	positive		false	false	false	0.0	0.0	0.0	0.0	0	0.0	0	-1	0	false	0.0	0.0	false	0		wh_main_generic_buff_defence	wh_ability_positive	-1.0	false	true	true	0.0	
omen_of_doom	-1.0	negative		false	false	false	0.0	0.0	0.0	0.0	0	0.0	0	0	0	false	0.0	0.0	false	0		wh_main_generic_debuff_morale_passive	wh_ability_positive	-1.0	false	true	true	0.0	
omen_of_war	-1.0	positive		false	false	false	0.0	0.0	0.0	0.0	0	0.0	0	0	0	false	0.0	0.0	false	0		wh_main_generic_buff_attack_passive	wh_ability_positive	-1.0	false	true	true	0.0	
murder_crows	15.0	negative		false	false	false	0.0	0.0	0.0	1.0	0	0.25	6	8	0	false	0.0	0.0	false	0		wh_dlc03_spell_beast_flock_of_doom	wh_dlc03_spell_beasts_flock_of_doom	-1.0	false	true	true	0.0	
howling_shields	-1.0	negative		false	false	false	0.0	0.0	0.0	0.0	0	0.0	0	0	0	false	0.0	0.0	false	0		wh_main_generic_debuff_morale_passive	wh_ability_positive	-1.0	false	true	true	0.0	
darkened_skies	-1.0	negative		false	false	false	0.0	0.0	0.0	1.0	0	0.15	4	-1	0	false	0.0	0.0	false	0		wh_dlc03_spell_beast_flock_of_doom	wh_dlc03_spell_beasts_flock_of_doom	-1.0	false	true	true	0.0	
murder_crows_upgraded	-1.0	negative		false	false	false	0.0	0.0	0.0	1.0	0	0.25	6	8	0	false	0.0	0.0	false	0		wh_dlc03_spell_beast_flock_of_doom	wh_dlc03_spell_beasts_flock_of_doom	-1.0	false	true	true	0.0	
morrigan_hunters_dmg	-1.0	positive		false	false	false	0.0	0.0	0.0	0.0	0	0.0	0	-1	0	false	0.0	0.0	false	0		wh_main_generic_buff_attack_passive		-1.0	false	true	true	0.0	
lesser_shield_of_the_old_ones	25.0	positive		false	false	false	0.0	0.0	0.0	0.0	0	0.0	0	0	0	false	0.0	0.0	false	0		wh_main_generic_buff_defence	wh2_main_ability_shield_of_the_old_ones	-1.0	false	true	true	0.0	
elo_staff_of_dural_durak	30.0	negative		false	false	false	0.0	0.0	30.0	0.0	0	0.0	0	0	0	false	0.0	0.0	false	0				-1.0	false	true	true	0.0	
elo_amulet_old_ones	1.1	positive		false	false	false	0.0	0.0	0.0	1.0	1100	0.0	0	0	1100	false	15.0	50.0	false	0		wh2_main_unit_passive_rebirth		-1.0	false	true	true	0.0	
elo_albion_freedom	10.0	positive		false	false	false	0.0	0.0	0.0	0.0	0	0.0	0	0	0	false	0.0	0.0	false	0		wh_main_generic_buff_defence	wh_ability_positive	-1.0	false	true	true	0.0	
elo_champion_of_albion	-1.0	positive		false	false	false	0.0	0.0	0.0	0.0	0	0.0	0	-1	0	false	0.0	0.0	false	0		wh_main_generic_buff_morale		-1.0	false	true	true	0.0	
elo_albion_bologs	60.0	positive		false	false	false	0.0	0.0	0.0	0.0	0	0.0	0	-1	0	false	0.0	0.0	false	0		wh_main_generic_buff_attack	wh_ability_positive	-1.0	false	true	true	0.0	
elo_hengus_blessing	1.0	positive		false	false	false	0.0	0.0	0.0	1.0	100	0.0	0	0	100	false	0.0	0.0	false	0		wh_main_generic_buff_attack	wh_ability_positive	-1.0	false	true	true	0.0	
elo_albion_something_prove	-1.0	positive		false	false	false	0.0	0.0	0.0	0.0	0	0.0	0	-1	0	false	0.0	0.0	false	0		wh_main_generic_buff_attack	wh_ability_positive	-1.0	false	true	true	0.0	
