special_ability_to_invalid_usage_flags_tables	0
invalid_usage_flag	special_ability
climbing	druid_bound_awakening_of_the_wood
manning_equipment	druid_bound_awakening_of_the_wood
climbing	spell_truth_wings_fate_upgraded
manning_equipment	spell_truth_wings_fate
climbing	spell_truth_wings_fate
manning_equipment	spell_truth_wings_fate_upgraded
manning_equipment	spell_truth_wings_fate_bound
climbing	spell_truth_wings_fate_bound
manning_equipment	lesser_shield_of_the_old_ones
climbing	lesser_shield_of_the_old_ones
climbing	cr_unit_formation_shieldwall
on_a_platform	cr_unit_formation_shieldwall
manning_equipment	cr_unit_formation_shieldwall
health_above_50%	elo_albion_bologs
