special_ability_to_invalid_usage_flags_tables	0
invalid_usage_flag	special_ability
cannot_perform_missile_attack	reckless_taste
on_a_platform	ovn_character_abilities_the_recovery_of_the_king
phase_is_deployment	ovn_character_abilities_the_recovery_of_the_king
phase_is_the_end_phase	ovn_character_abilities_the_recovery_of_the_king
hp_replenish_cap_reached	ovn_character_abilities_hair_of_the_dog
morale_is_broken_or_lower	ovn_character_abilities_hair_of_the_dog
engaged_in_melee	ovn_character_abilities_hair_of_the_dog
climbing_manning_eq_on_platform	ovn_hero_abilities_summon_genie
army_is_full	ovn_hero_abilities_summon_genie
climbing_manning_eq_on_platform	ovn_hero_abilities_summon_sea_nymph
army_is_full	ovn_hero_abilities_summon_sea_nymph
climbing_manning_eq_on_platform	ovn_hero_abilities_summon_desert_spirit
army_is_full	ovn_hero_abilities_summon_desert_spirit
climbing_manning_eq_on_platform	ovn_hero_abilities_summon_fire_efreet
army_is_full	ovn_hero_abilities_summon_fire_efreet
climbing_manning_eq_on_platform	ovn_hero_abilities_summon_tempest_djinn
army_is_full	ovn_hero_abilities_summon_tempest_djinn
army_is_full	ovn_spell_desert_mirage
army_is_full	ovn_spell_desert_mirage_upgraded
climbing_manning_eq_on_platform	ovn_spell_desert_mirage
climbing_manning_eq_on_platform	ovn_spell_desert_mirage_upgraded
climbing	ovn_spell_desert_sunstrike
climbing	ovn_spell_desert_sunstrike_upgraded
climbing	ovn_spell_desert_sandstorm
climbing	ovn_spell_desert_sandstorm_upgraded
climbing	ovn_spell_desert_quicksand
climbing	ovn_spell_desert_quicksand_upgraded
climbing	ovn_spell_desert_burning_hands
climbing	ovn_spell_desert_burning_hands_upgraded
climbing	ovn_spell_desert_curse_of_the_djinn
climbing	ovn_spell_desert_curse_of_the_djinn_upgraded
manning_equipment	ovn_spell_desert_sunstrike
manning_equipment	ovn_spell_desert_sunstrike_upgraded
manning_equipment	ovn_spell_desert_sandstorm
manning_equipment	ovn_spell_desert_sandstorm_upgraded
manning_equipment	ovn_spell_desert_quicksand
manning_equipment	ovn_spell_desert_quicksand_upgraded
manning_equipment	ovn_spell_desert_burning_hands
manning_equipment	ovn_spell_desert_burning_hands_upgraded
manning_equipment	ovn_spell_desert_curse_of_the_djinn
manning_equipment	ovn_spell_desert_curse_of_the_djinn_upgraded
climbing	Black_Book_Of_Ibn_Naggazar
army_is_full	spawn_ushabti_dread_king
climbing	roy_unit_active_arb_strike_from_the_shadows
engaged_in_melee	roy_unit_active_arb_strike_from_the_shadows
manning_equipment	roy_unit_active_arb_strike_from_the_shadows
climbing	roy_unit_active_arb_doppelgang
engaged_in_melee	roy_unit_active_arb_doppelgang
manning_equipment	roy_unit_active_arb_doppelgang
on_a_platform	roy_unit_active_arb_doppelgang
climbing	druid_bound_awakening_of_the_wood
manning_equipment	druid_bound_awakening_of_the_wood
climbing	spell_truth_wings_fate_upgraded
manning_equipment	spell_truth_wings_fate
climbing	spell_truth_wings_fate
manning_equipment	spell_truth_wings_fate_upgraded
manning_equipment	spell_truth_wings_fate_bound
climbing	spell_truth_wings_fate_bound
manning_equipment	lesser_shield_of_the_old_ones
climbing	lesser_shield_of_the_old_ones
climbing	cr_unit_formation_shieldwall
on_a_platform	cr_unit_formation_shieldwall
manning_equipment	cr_unit_formation_shieldwall
health_above_50%	elo_albion_bologs
climbing	elo_liche_call_the_legions
climbing	elo_liche_call_the_legions_overcast
other_abilities_at_least_one_on_wind_up	order_protect
other_abilities_at_least_one_on_wind_up	order_squish
other_abilities_at_least_one_on_wind_up	order_aim_higher
other_abilities_at_least_one_on_wind_up	order_catch
health_above_50%	temper_tantrum
climbing_manning_eq_on_platform	elo_so_hungry
cannot_perform_missile_attack	grudge_hero_abilities_pepperpot
cannot_perform_missile_attack	grudge_hero_abilities_shrapnel_shot
morale_is_broken_or_lower	cr_unit_abilities_emulation_of_kalagan
on_a_platform	cr_unit_abilities_emulation_of_kalagan
