special_ability_to_special_ability_phase_junctions_tables	1
order	phase	special_ability
1	ovn_lore_passive_blessing_of_the_elements	ovn_lore_passive_blessing_of_the_elements
1	ovn_spell_desert_quicksand	ovn_spell_desert_quicksand
1	ovn_spell_desert_quicksand_upgraded	ovn_spell_desert_quicksand_upgraded
1	ovn_spell_desert_curse_of_the_djinn	ovn_spell_desert_curse_of_the_djinn
1	ovn_spell_desert_curse_of_the_djinn_upgraded	ovn_spell_desert_curse_of_the_djinn_upgraded
1	ovn_unit_passive_unbinding_arb_spearmen_mirage	ovn_unit_passive_unbinding_arb_spearmen_mirage
2	wh_main_unit_passive_unbinding_weak	ovn_unit_passive_unbinding_arb_spearmen_mirage
3	wh_main_unit_passive_unbinding_critical	ovn_unit_passive_unbinding_arb_spearmen_mirage
1	ovn_unit_passive_unbinding_arb_spearmen_mirage_upgraded	ovn_unit_passive_unbinding_arb_spearmen_mirage_upgraded
2	wh_main_unit_passive_unbinding_weak	ovn_unit_passive_unbinding_arb_spearmen_mirage_upgraded
3	wh_main_unit_passive_unbinding_critical	ovn_unit_passive_unbinding_arb_spearmen_mirage_upgraded
