technology	effect	effect_scope	value
#technology_effects_junction_tables;0;db/technology_effects_junction_tables/ovn_fimir_belakor			
elo_fimir_culture_1_belakor	wh_main_effect_province_growth_tech	faction_to_province_own_unseen	20.0
elo_fimir_culture_2_belakor	wh_main_effect_force_all_campaign_raid_income	faction_to_force_own_unseen	15.0
elo_fimir_culture_2_belakor	wh_main_effect_force_all_campaign_sacking_income	faction_to_character_own_unseen	15.0
elo_fimir_culture_3_belakor	wh_main_effect_force_all_campaign_post_battle_loot_mod	faction_to_character_own_unseen	25.0
elo_fimir_culture_4_belakor	wh2_dlc10_effect_faction_all_campaign_movement_range	faction_to_force_own_unseen	15.0
elo_fimir_culture_5_belakor	wh_main_effect_force_army_campaign_attrition_all_resistance	faction_to_force_own_unseen	-50.0
elo_fimir_culture_5_belakor	wh_main_effect_force_all_campaign_replenishment_rate	faction_to_force_own_unseen	20.0
elo_fimir_slave_eco_1_belakor	wh_main_effect_public_order_tech	faction_to_province_own_unseen	3.0
elo_fimir_slave_eco_2_belakor	wh_main_effect_force_all_campaign_captives	faction_to_force_own_unseen	25.0
elo_fimir_slave_eco_2_belakor	wh2_main_effect_building_construction_time_mod_all	faction_to_region_own_unseen	-35.0
elo_fimir_slave_eco_3_belakor	wh2_main_effect_slave_income_modifier	faction_to_province_own_unseen	10.0
elo_fimir_slave_eco_4_belakor	wh2_main_effect_slave_public_order_modifier	faction_to_province_own_unseen	-35.0
elo_fimir_slave_eco_5_belakor	wh_main_effect_force_all_campaign_captives	faction_to_force_own_unseen	25.0
elo_fimir_slave_eco_5_belakor	wh2_main_effect_slave_decline_modifier	faction_to_province_own_unseen	-25.0
elo_fimir_magic_1_belakor	wh_main_effect_military_force_winds_of_magic_depletion_mod_other	faction_to_force_own_unseen	15.0
elo_fimir_magic_2_belakor	elo_fimir_apprentices_mdmg	faction_to_force_own_unseen	20.0
elo_fimir_magic_2_belakor	elo_fimir_apprentices_reload	faction_to_force_own_unseen	10.0
elo_fimir_magic_2_belakor	elo_fimir_apprentices_range	faction_to_force_own_unseen	15.0
elo_fimir_magic_3_belakor	wh_dlc08_effect_agent_cap_increase_dignitary_fimir_balefiend	faction_to_faction_own_unseen	2.0
elo_fimir_magic_3_belakor	wh_dlc08_effect_agent_recruitment_xp_dignitary_norsca	faction_to_province_own_unseen	4.0
elo_fimir_magic_4_belakor	wh_main_effect_agent_movement_range_mod	faction_to_character_own_unseen	10.0
elo_fimir_magic_4_belakor	wh_main_effect_force_army_campaign_ambush_attack_success_chance	faction_to_force_own_unseen	10.0
elo_fimir_magic_5_belakor	wh2_main_effect_unit_stat_mod_ward_save_magic_all_units	faction_to_force_own_unseen	15.0
elo_fimir_military_1_belakor	elo_fimir_shearl_ma	faction_to_force_own_unseen	6.0
elo_fimir_military_1_belakor	elo_fimir_shearl_md	faction_to_force_own_unseen	4.0
elo_fimir_military_2_belakor	elo_fimir_useful_shearls_wps	faction_to_force_own_unseen	15.0
elo_fimir_military_2_belakor	elo_fimir_useful_shearls_charge	faction_to_force_own_unseen	15.0
elo_fimir_military_2_belakor	elo_fimir_useful_shearls_ammo	faction_to_force_own_unseen	20.0
elo_fimir_military_2_belakor	elo_fimir_useful_shearls_mdmg	faction_to_force_own_unseen	15.0
elo_fimir_military_3_belakor	fimir_warrior_elite_up	faction_to_force_own_unseen	-10.0
elo_fimir_military_3_belakor	fimir_warrior_elite_cost	faction_to_province_own_unseen	-25.0
elo_fimir_military_4_belakor	fimir_warrior_elite_xp	faction_to_character_own_unseen	4.0
elo_fimir_military_4_belakor	fimir_warrior_elite_wps	faction_to_force_own_unseen	20.0
elo_fimir_military_4_belakor	fimir_warrior_elite_armour	faction_to_force_own_unseen	15.0
elo_fimir_military_5_belakor	wh_main_faction_xp_increase_generals	faction_to_province_own_unseen	6.0
elo_fimir_culture_eco_belakor	wh2_main_effect_slave_income_modifier	faction_to_region_own_unseen	20.0
elo_fimir_culture_eco_belakor	wh2_main_effect_slave_public_order_modifier	faction_to_province_own_unseen	-35.0
elo_fimir_culture_eco_belakor	wh_main_effect_force_all_campaign_captives	faction_to_force_own_unseen	25.0
elo_fimir_culture_eco_belakor	wh_main_effect_economy_gdp_mod_all	faction_to_region_own_unseen	50.0
elo_fimir_eco_military_belakor	wh_dlc08_effect_skill_morale_increase_fimirs	faction_to_force_own	10.0
elo_fimir_eco_military_belakor	wh_dlc08_effect_tech_unit_stat_melee_defence_fimirs	faction_to_force_own	10.0
elo_fimir_eco_military_belakor	dlc08_nor_fimirs_ma	faction_to_force_own	10.0
elo_fimir_eco_military_belakor	dlc08_nor_fimirs_up	faction_to_force_own_unseen	-10.0
elo_fimir_loyalist_creatures_belakor	elo_belakor_twisted_corrupted_cost	faction_to_province_own_unseen	-25.0
elo_fimir_loyalist_creatures_belakor	elo_belakor_twisted_corrupted_wps	faction_to_force_own_unseen	15.0
elo_fimir_loyalist_creatures_belakor	elo_belakor_twisted_corrupted_armour	faction_to_force_own_unseen	20.0
elo_fimir_loyalist_creatures_belakor	elo_belakor_corrupted_giants_fatigue_res	faction_to_force_own	1.0
elo_fimir_military_magic_belakor	elo_fen_lord_heroes	faction_to_force_own_unseen	1.0
elo_fimir_military_magic_belakor	elo_fen_lord_heroes_ward	faction_to_force_own_unseen	20.0
elo_fimir_swamp_creatures_1_belakor	elo_belakor_hopeless_fodder_armour	faction_to_force_own_unseen	5.0
elo_fimir_swamp_creatures_1_belakor	elo_belakor_hopeless_fodder_ma	faction_to_force_own_unseen	4.0
elo_fimir_swamp_creatures_1_belakor	elo_belakor_hopeless_fodder_ammo	faction_to_force_own_unseen	10.0
elo_fimir_swamp_creatures_1_belakor	elo_belakor_hopeless_fodder_reload	faction_to_force_own_unseen	10.0
elo_fimir_swamp_creatures_2_belakor	elo_belakor_riders_chaos_up	faction_to_force_own_unseen	-15.0
elo_fimir_swamp_creatures_2_belakor	elo_belakor_riders_chaos_cb	faction_to_force_own_unseen	15.0
elo_fimir_swamp_creatures_2_belakor	elo_belakor_riders_chaos_wps	faction_to_force_own_unseen	15.0
elo_fimir_swamp_creatures_3_belakor	elo_belakor_armoured_warriors_imm_psy	faction_to_force_own_unseen	1.0
elo_fimir_swamp_creatures_3_belakor	elo_belakor_armoured_warriors_md	faction_to_force_own_unseen	8.0
elo_fimir_swamp_creatures_3_belakor	elo_belakor_armoured_warriors_ld	faction_to_force_own_unseen	10.0
elo_fimir_swamp_creatures_5_belakor	elo_belakor_corrupted_giants_speed	faction_to_force_own_unseen	20.0
elo_fimir_swamp_creatures_5_belakor	elo_belakor_corrupted_giants_vsinf	faction_to_force_own_unseen	20.0
elo_fimir_swamp_creatures_5_belakor	elo_belakor_corrupted_giants_cb	faction_to_force_own_unseen	30.0
elo_fimir_swamp_creatures_4_belakor	albion_monsters_fen_mdef	faction_to_force_own_unseen	12.0
elo_fimir_swamp_creatures_4_belakor	albion_monsters_fen_mattk	faction_to_force_own_unseen	6.0
elo_fimir_chaos_belakor_1	wh_main_effect_public_order_penalty_other_religions	faction_to_province_own_unseen	-40.0
elo_fimir_chaos_belakor_2	elo_belakor_fimir_demons_md	faction_to_force_own_unseen	8.0
elo_fimir_chaos_belakor_2	elo_belakor_fimir_demons_ma	faction_to_force_own_unseen	8.0
elo_fimir_chaos_belakor_2	elo_belakor_fimir_demons_wps	faction_to_force_own_unseen	20.0
elo_fimir_chaos_belakor_3	wh2_dlc11_effect_army_battle_ap_damage_vs_chaos	faction_to_force_own_unseen	15.0
elo_fimir_chaos_belakor_3	wh_dlc08_effect_bonus_melee_attack_fighting_against_chaos	faction_to_force_own_unseen	10.0
elo_fimir_chaos_belakor_4	wh_main_effect_force_army_battle_unit_morale_siege_attack	faction_to_force_own_unseen	10.0
elo_fimir_chaos_belakor_4	wh_main_effect_force_army_campaign_siege_attack_holdout_time	faction_to_character_own_unseen	-6.0
elo_fimir_chaos_belakor_4	wh_main_effect_force_all_campaign_razing_income	faction_to_faction_own_unseen	100.0
elo_fimir_chaos_belakor_5	wh_main_effect_agent_action_cost_mod	faction_to_character_own_unseen	-20.0
elo_fimir_chaos_belakor_5	wh_main_effect_agent_recruitment_xp_all_agents	faction_to_province_own_unseen	4.0
elo_fimir_chaos_belakor_5	wh_main_effect_agent_action_success_chance	faction_to_character_own_unseen	25.0
elo_fimir_chaos_belakor_5	wh_main_effect_agent_recruitment_cost_mod	faction_to_province_own_unseen	-33.0
elo_fimir_magic_belakor	wh_main_effect_public_order_penalty_other_religions	faction_to_province_own_unseen	-60.0
elo_fimir_magic_belakor	elo_belakor_fimir_demons_rep	faction_to_force_own_unseen	40.0
elo_fimir_magic_belakor	elo_belakor_fimir_demons_morale	faction_to_force_own_unseen	15.0
elo_fimir_magic_belakor	elo_belakor_fimir_demons_ward	faction_to_force_own_unseen	15.0
elo_fimir_magic_belakor	elo_belakor_fimir_demons_xp	faction_to_force_own_unseen	4.0
