trait_level_effects_tables	0
trait_level	effect	effect_scope	value
wh2_main_trait_defeated_walach	wh_main_effect_character_stat_mod_ward_save_physical	character_to_character_own	5.0
wh2_main_trait_defeated_walach	wh_dlc08_effect_ability_enable_frenzy	character_to_character_own	1.0
ovn_trait_defeated_olorin_the_grey_wizard	wh_main_effect_character_stat_mod_ward_save_magic	character_to_character_own	5.0
ovn_trait_defeated_olorin_the_grey_wizard	wh_main_effect_force_army_campaign_attrition_infighting_immunity	general_to_force_own	1.0
grudge_trait_name_dummy_vladimir_stormbringer	grudge_effect_name_dummy_vladimir_stormbringer	character_to_character_own	1.0
grudge_trait_name_dummy_luther_flamestrike	grudge_effect_name_dummy_luther_flamestrike	character_to_character_own	1.0
grudge_trait_name_dummy_alloy	grudge_effect_name_dummy_alloy	character_to_character_own	1.0
grudge_trait_name_dummy_gunther	grudge_effect_name_dummy_gunther	character_to_character_own	1.0
grudge_trait_name_dummy_ubersbrom	grudge_effect_name_dummy_ubersbrom	character_to_character_own	1.0
ovn_harkon_lord_trait	ovn_blood_dragon_ward	general_to_force_own	5.0
ovn_harkon_lord_trait	wh_dlc08_effect_bonus_morale_fighting_against_human	general_to_force_own	4.0
dk_trait_name_dummy	dk_trait_name_dummy	character_to_character_own	1.0
fim_skattach_defeated_trait	wh_main_effect_character_stat_mod_bonus_v_large	character_to_character_own	12.0
fim_skattach_defeated_trait	wh_main_effect_force_all_campaign_replenishment_rate	character_to_character_own	6.0
fim_skattach_defeated_trait	wh_dlc05_effect_force_army_campaign_attrition_swamp_immunity	general_to_force_own	1.0
arb_fatandira_defeated_trait	wh_main_effect_character_stat_mod_personal_aura_size	character_to_character_own	25.0
arb_fatandira_defeated_trait	wh_main_effect_force_army_battle_movement_speed	general_to_force_own	10.0
arb_fatandira_defeated_trait	wh2_dlc09_effect_force_army_campaign_attrition_desert_immunity	general_to_force_own	1.0
arb_golden_magus_defeated_trait	wh_main_effect_force_all_campaign_raid_income	general_to_force_own	20.0
arb_golden_magus_defeated_trait	wh2_main_effect_unit_stat_mod_ward_save_magic_all_units	general_to_force_own	5.0
arb_golden_magus_defeated_trait	wh_main_effect_military_force_winds_of_magic_starting_mod	general_to_force_own	10.0
hlf_glibfoot_defeated_trait	wh_dlc03_effect_tech_movement_speed_all	general_to_force_own	10.0
hlf_glibfoot_defeated_trait	wh_main_effect_economy_gdp_mod_all	character_to_region_own_provincewide	10.0
arb_jaffar_defeated_trait	wh_main_effect_military_force_winds_of_magic_starting_mod	general_to_force_own	10.0
arb_jaffar_defeated_trait	wh2_main_effect_unit_stat_mod_ward_save_magic_all_units	general_to_force_own	5.0
arb_jaffar_defeated_trait	wh_main_effect_character_stat_mod_personal_aura_size	character_to_character_own	25.0
ovn_trait_rasknitt	ovn_rasknitt_name	character_to_character_own	1.0
ovn_trait_rasknitt	wh2_main_effect_grant_immortality_lord	character_to_character_own	1.0
ovn_ribspreader_defeat_trait	wh2_dlc16_effect_attrition_immunity_skaven_plague	general_to_force_own	1.0
ovn_bl_elo_dural_durak_defeat_trait	wh_main_effect_military_force_winds_of_magic_starting_mod	general_to_force_own	10.0
ovn_albion_morrigan_defeat_trait	wh_main_effect_character_stat_mod_ward_save_magic	character_to_character_own	20.0
ovn_ovn_stormrider_defeat_trait	wh_main_effect_economy_gdp_mod_trade_sea	faction_to_region_own	15.0
ovn_elo_chief_ugma_defeat_trait	wh_main_effect_character_stat_mod_bonus_v_large	character_to_character_own	15.0
ovn_morgan_bernhardt_defeat_trait	wh_main_effect_force_all_campaign_upkeep	general_to_force_own	-10.0
ovn_belakor_defeat_trait	wh_main_effect_force_unit_stat_morale_versus_chaos	general_to_force_own	5.0
ovn_belakor_defeat_trait	wh_main_effect_force_unit_stat_melee_attack_versus_chaos	general_to_force_own	4.0
ovn_Dread_King_defeat_trait	wh_main_effect_character_stat_mod_personal_aura_morale_effect	character_to_character_own	4.0
ovn_Dread_King_defeat_trait	wh_main_effect_character_stat_mod_personal_aura_size	character_to_character_own	15.0
ovn_warrhak_skullcrusher_defeat_trait	wh_main_effect_force_all_campaign_raid_income	general_to_force_own	15.0
ovn_drazhoath_the_ashen_defeat_trait	wh2_main_effect_force_stat_mod_miscast_chance	general_to_force_own	-15.0
ovn_drazhoath_the_ashen_defeat_trait	wh_main_effect_military_force_winds_of_magic_starting_mod	general_to_force_own	5.0
ovn_rykarth_the_unbreakable_defeat_trait	wh2_dlc11_effect_unit_stat_mod_ward_physical_all_units	general_to_force_own	10.0
ovn_zhatan_the_black_defeat_trait	wh_main_effect_unit_recruitment_points	character_to_province_own	1.0
