Loc PackedFile	1
key	text	tooltip
building_short_description_texts_short_description_ovn_troll_port1	You can often find Trolls in filthy bogs, shoals and rivers taking their fill of fish and anything else that moves.	false
building_short_description_texts_short_description_ovn_troll_port2	Ambushes alludes to tactics but these witless Trolls have none and are just as surprised as their victims.	false
building_short_description_texts_short_description_ovn_troll_port3	Like a moth to the flame, if there is food there are Trolls. A dangerous prospect for sailors faring well-travelled waterways.	false
building_short_description_texts_short_description_ovn_troll_mil1	Trollz are sacrificed here and either victim or executioner can gain the dark lords blessings in return.	false
building_short_description_texts_short_description_ovn_troll_mil1b	Here smaller Trollz are rounded up & forced to fight in cages, much to the amusement of their bigger kin.	false
building_short_description_texts_short_description_ovn_troll_mil2	From the chamber, chilling screams can be heard, but what emerges is far more terrible to behold.	false
building_short_description_texts_short_description_ovn_troll_mil2b	Trollz fight here over spoils with some known to devour their fallen foes afterwards.	false
building_short_description_texts_short_description_ovn_troll_mil3	Nearer to the Chaos Wastes, Trolls become more disturbing and macabre, the Dark Gods watch the fiercest of Trolls fight, offering their favour to the victors.	false
building_short_description_texts_short_description_ovn_troll_mil3b	Only the ardest of Trolls can fight here and truly prove themselves to be the best.	false
building_short_description_texts_short_description_ovn_troll_inc1	Trolls get shinies and food from travellers passing over the fords, log crossings & old stone bridges they control. They make simple repairs, ensuring its continued use, a behaviour far from the destruction trolls are feared for.	false
building_short_description_texts_short_description_ovn_troll_inc2	Boneless, on the spit or bubbling in the cauldron they have it all at the Slaughter Pit! 	false
building_short_description_texts_short_description_ovn_troll_inc3	Greenies, furry gitz & spiky umies give uz stuff for da live uns.	false
building_culture_variants_name_wh_main_nor_outpost_minor_human_3wh2_main_nor_trollz	Troll Den	false
building_culture_variants_name_wh_main_nor_outpost_minor_human_2wh2_main_nor_trollz	Troll Cave	false
building_culture_variants_name_wh_main_nor_outpost_minor_human_1wh2_main_nor_trollz	Troll Sty	false
building_culture_variants_name_wh_main_nor_outpost_major_human_3wh2_main_nor_trollz	Troll Den	false
building_culture_variants_name_wh_main_nor_outpost_major_human_4wh2_main_nor_trollz	Troll Lair	false
building_culture_variants_name_wh_main_nor_outpost_major_human_5wh2_main_nor_trollz	Troll Labyrinth	false
building_culture_variants_name_wh_main_nor_outpost_major_human_2wh2_main_nor_trollz	Troll Cave	false
building_culture_variants_name_wh_main_nor_outpost_major_human_1wh2_main_nor_trollz	Troll Sty	false
building_culture_variants_name_wh_main_nor_outpost_minor_human_1_coastwh2_main_nor_trollz	Troll Sty	false
building_culture_variants_name_wh_main_nor_outpost_minor_human_2_coastwh2_main_nor_trollz	Troll Cave	false
building_culture_variants_name_wh_main_nor_outpost_minor_human_3_coastwh2_main_nor_trollz	Troll Den	false
building_culture_variants_name_wh_main_nor_outpost_major_human_1_coastwh2_main_nor_trollz	Troll Sty	false
building_culture_variants_name_wh_main_nor_outpost_major_human_2_coastwh2_main_nor_trollz	Troll Cave	false
building_culture_variants_name_wh_main_nor_outpost_major_human_3_coastwh2_main_nor_trollz	Troll Den	false
building_culture_variants_name_wh_main_nor_outpost_major_human_4_coastwh2_main_nor_trollz	Troll Lair	false
building_culture_variants_name_wh_main_nor_outpost_major_human_5_coastwh2_main_nor_trollz	Troll Labyrinth	false
building_culture_variants_name_wh_main_nor_creatures_1wh2_main_nor_trollz	Brawling Den	false
building_culture_variants_name_wh_main_nor_outpost_stables_1wh2_main_nor_trollz	Fighting Cage	false
building_culture_variants_name_wh_main_nor_outpost_stables_2wh2_main_nor_trollz	Brawling Den	false
building_culture_variants_name_wh_main_nor_outpost_stables_3wh2_main_nor_trollz	Fighting Pit	false
building_culture_variants_name_wh_main_nor_slaves_1wh2_main_nor_trollz	Meat Dump	false
building_culture_variants_name_wh_main_nor_slaves_2wh2_main_nor_trollz	Slaughter Pit	false
building_culture_variants_name_wh_main_nor_slaves_3wh2_main_nor_trollz	Meat Market	false
building_culture_variants_name_wh_main_nor_portwh2_main_nor_trollz	Troll Fishing Hole	false
building_culture_variants_name_wh_main_nor_port_2wh2_main_nor_trollz	Troll Ambush Point	false
building_culture_variants_name_wh_main_nor_port_3wh2_main_nor_trollz	Troll Raiding Post	false
building_culture_variants_name_wh_main_nor_outpost_experience_1wh2_main_nor_trollz	War-Painter	false
building_culture_variants_name_wh_main_nor_outpost_experience_2wh2_main_nor_trollz	Scale Searer	false
building_culture_variants_name_wh_main_nor_outpost_experience_3wh2_main_nor_trollz	Dark Mutator	false
building_culture_variants_name_wh_main_nor_settlement_minor_1wh2_main_nor_trollz	Troll Sty	false
building_culture_variants_name_wh_main_nor_settlement_minor_2wh2_main_nor_trollz	Troll Cave	false
building_culture_variants_name_wh_main_nor_settlement_minor_3wh2_main_nor_trollz	Troll Den	false
building_culture_variants_name_wh_main_nor_settlement_minor_1_coastwh2_main_nor_trollz	Troll Sty	false
building_culture_variants_name_wh_main_nor_settlement_minor_2_coastwh2_main_nor_trollz	Troll Cave	false
building_culture_variants_name_wh_main_nor_settlement_minor_3_coastwh2_main_nor_trollz	Troll Den	false
building_culture_variants_name_wh_main_nor_settlement_major_1wh2_main_nor_trollz	Troll Sty	false
building_culture_variants_name_wh_main_nor_settlement_major_1_coastwh2_main_nor_trollz	Troll Sty	false
building_culture_variants_name_wh_main_nor_settlement_major_2wh2_main_nor_trollz	Troll Cave	false
building_culture_variants_name_wh_main_nor_settlement_major_2_coastwh2_main_nor_trollz	Troll Cave	false
building_culture_variants_name_wh_main_nor_settlement_major_3wh2_main_nor_trollz	Troll Den	false
building_culture_variants_name_wh_main_nor_settlement_major_3_coastwh2_main_nor_trollz	Troll Den	false
building_culture_variants_name_wh_main_nor_settlement_major_4wh2_main_nor_trollz	Troll Lair	false
building_culture_variants_name_wh_main_nor_settlement_major_4_coastwh2_main_nor_trollz	Troll Lair	false
building_culture_variants_name_wh_main_nor_settlement_major_5wh2_main_nor_trollz	Troll Labyrinth	false
building_culture_variants_name_wh_main_nor_settlement_major_5_coastwh2_main_nor_trollz	Troll Labyrinth	false
