Loc PackedFile	1
key	text	tooltip
unit_description_short_texts_text_elo_armoured_icetrolls	Only under the influence of a powerful warrior will the mighty ice trolls of Norsca accept armourpieces on their bodies.	true
unit_description_short_texts_text_elo_southern_trolls	Not unlike humans, trolls that live further away from the influence of chaos tend to be smaller and less impressive than their nothern brethren.	true
unit_description_short_texts_text_elo_red_avalanche	The strongest, biggest and most ferocious angry ice trolls you could find. After countless battles, the frozen blood of their enemies on their bodies gave them their red hue.	true
unit_description_short_texts_text_elo_river_trolls	Cavern Trolls are a subspecies of River Trolls who usually dwell in underground lakes and seas. They prey on the horrors of the deep and the occasional adventurer or Dwarf miner.	true
unit_description_short_texts_text_elo_mountain_trolls	Whether these trolls were originally normal Stone Trolls or maybe another Troll species entirely is unknown, but their skin has been hardened to a point that they barely receive damage and rarely feel any pain. If they are hurt though their confidence is shaken easily.	true
unit_description_short_texts_text_elo_shipwreckers	Living in the polluted of Marienburg's sewers near the sea, these Cavern Trolls learned how to smash ships for food. 	true
unit_description_short_texts_text_elo_cha_troll_lord	There is only one troll in existance that can really be called a leader.  Luckily a mix of mind control and savage punishment can produce trolls that can at least create the illusion of leadership.	true
unit_description_short_texts_text_elo_kin	These Trolls got named by surviving Kislevite soldiers because they have often been seen together with the Trollking. 	true
unit_description_short_texts_text_elo_forest_trolls	Trolls that have somewhat adopted to the forest life. They are difficult to spot in forests when standing still, but at the same time simply don't comprehend the concept of sneaking.	true
unit_description_short_texts_text_elo_bile_trolls	Bile Trolls are descendants of a troll horde that once defeated and devoured a Nurgle Army. Infected by the Plaguefather's many gifts, they suffer horribly for it.	true
unit_description_short_texts_text_elo_snow_troll	Snow Trolls live on the highest peaks of mountains covered in eternal ice. They are of enormous size, dwelling in icy caves which are covered with the bones of their victims.	true
unit_description_short_texts_text_elo_chief_ugma	Born in the fallen Karak Azgal, chief Ugma is an unusually intelligent river troll leader. He himself suspects that his intellect increased through prolonged contact with warpstone.	true
unit_description_short_texts_text_elo_lava_trolls	Lava Trolls are an oddity, originally hailing from the Dark Lands. It is unknown if they are a testament of the incredible adaptability of trolls to every environment or the result of a twisted experiment by the sinister inhabitants of these accursed lands.	true
