Loc PackedFile	1
key	text	tooltip
land_units_onscreen_name_elo_armoured_icetrolls	Ice Trolls (Armoured)	true
land_units_onscreen_name_elo_southern_trolls	Southern Trolls	true
land_units_onscreen_name_elo_red_avalanche	The Bloody Avalanche (Armoured Ice Trolls)	true
land_units_onscreen_name_elo_river_trolls	Cavern Trolls	true
land_units_onscreen_name_elo_mountain_trolls	Chaos Stone Trolls	true
land_units_onscreen_name_elo_shipwreckers	Shipwreckers (Cavern Trolls)	true
land_units_onscreen_name_elo_cha_troll_lord	Troll Chief	true
land_units_onscreen_name_elo_kin	Throgg's Company (Norscan Trolls)	true
land_units_onscreen_name_elo_forest_trolls	Forest Trolls	true
land_units_onscreen_name_elo_bile_trolls	Bile Trolls	true
land_units_onscreen_name_elo_snow_troll	Snow Trolls	true
land_units_onscreen_name_elo_chief_ugma	Chief Ugma	true
land_units_onscreen_name_elo_lava_trolls	Azul Lava Trolls	true
