ui_unit_bullet_point_unit_overrides_tables	0
bullet_point	unit_key
ethereal	ovn_arb_mon_genie
armour_piercing	ovn_arb_mon_genie
ethereal	ovn_arb_mon_sea_nymph
armour_piercing	ovn_arb_mon_sea_nymph
ethereal	ovn_arb_mon_desert_spirit
armour_piercing	ovn_arb_mon_desert_spirit
ethereal	ovn_arb_mon_fire_efreet
armour_piercing	ovn_arb_mon_fire_efreet
ethereal	ovn_arb_mon_tempest_djinn
armour_piercing	ovn_arb_mon_tempest_djinn
spellcaster	ovn_arb_cha_magician_life_0
spellcaster	ovn_arb_cha_magician_desert_0
spellcaster	ovn_arb_cha_magician_fire_0
spellcaster	ovn_arb_cha_magician_heavens_0
spellcaster	ovn_arb_cha_magician_life_1
spellcaster	ovn_arb_cha_magician_desert_1
spellcaster	ovn_arb_cha_magician_fire_1
spellcaster	ovn_arb_cha_magician_heavens_1
spellcaster	ovn_arb_cha_magician_life_2
spellcaster	ovn_arb_cha_magician_desert_2
spellcaster	ovn_arb_cha_magician_fire_2
spellcaster	ovn_arb_cha_magician_heavens_2
very_fast	ovn_arb_cha_magician_life_2
very_fast	ovn_arb_cha_magician_desert_2
very_fast	ovn_arb_cha_magician_fire_2
very_fast	ovn_arb_cha_magician_heavens_2
meat_shield	ovn_khemri_spearmen_summoned_0
meat_shield	ovn_khemri_spearmen_summoned_1
