unit_abilities_to_additional_ui_effects_juncs_tables	0
ability	effect
elo_liche_land_of_nagash	wh_dlc06_automatic
elo_liche_land_of_nagash	wh_main_all_direct_damage_high
elo_liche_land_of_nagash	wh_main_all_direct_damage_unbinding
elo_liche_land_of_nagash	dead_rise_liche
elo_liche_call_the_legions	wh_main_all_direct_damage_unbinding
elo_liche_call_the_legions_overcast	wh_main_all_direct_damage_unbinding
elo_liche_call_the_legions	raise_legion
elo_liche_call_the_legions_overcast	raise_legion_greatswords
elo_hungering_blade	wh_main_all_replenish
elo_hand_vortex	wh2_main_all_magical_damage_major
elo_hand_vortex	wh2_dlc15_tip_when_surrounded
elo_hand_vortex	wh_main_all_weak_against_single
