unit_abilities_to_additional_ui_effects_juncs_tables	0
ability	effect
arb_golden_magus_master_djinn	ovn_all_summon_genie
arb_golden_magus_flaming_scimitar_bolts_of_burning	wh2_main_all_good_against_armour
arb_golden_magus_flaming_scimitar_bolts_of_burning	wh2_main_all_magical_and_flaming_major
arb_golden_magus_flaming_scimitar_bolts_of_burning	wh2_main_bombardment_medium_strike_aoe
arb_golden_magus_flaming_scimitar_bolts_of_burning	wh_main_all_strong_against_unit
arb_golden_magus_flaming_scimitar_hurricane_blades	wh2_main_all_magical_damage_major
arb_golden_magus_flaming_scimitar_hurricane_blades	wh2_main_all_weak_against_armour
arb_golden_magus_flaming_scimitar_hurricane_blades	wh2_main_spell_large_vortex
arb_golden_magus_flaming_scimitar_hurricane_blades	wh_main_all_strong_against_units
arb_golden_magus_flaming_scimitar_royal_djinn	ovn_all_summon_fire_efreet
arb_golden_magus_skiff_scirocco	wh_main_all_direct_damage
arb_sultan_flame_bound_firestorm	wh2_main_all_magical_and_flaming_major
arb_sultan_flame_bound_firestorm	wh2_main_spell_medium_vortex
arb_sultan_flame_bound_firestorm	wh_main_all_strong_against_units
arb_sultan_flame_bound_firestorm	wh_main_all_weak_against_single
arb_sultan_flame_bound_fireburst	wh2_dlc15_self_bombard
arb_sultan_flame_bound_fireburst	wh2_dlc15_tip_ignores_armour
arb_sultan_flame_bound_fireburst	wh2_dlc15_tip_when_surrounded
