unit_attributes_to_groups_junctions_tables	2
attribute	attribute_group
encourages	roy_encourage_guerrilla_hideForest_mountedFireMove_immPsy
guerrilla_deploy	roy_encourage_guerrilla_hideForest_mountedFireMove_immPsy
hide_forest	roy_encourage_guerrilla_hideForest_mountedFireMove_immPsy
mounted_fire_move	roy_encourage_guerrilla_hideForest_mountedFireMove_immPsy
immune_to_psychology	roy_encourage_guerrilla_hideForest_mountedFireMove_immPsy
encourages	roy_encourage_guerrilla_hideForest_stalk_immPsy
guerrilla_deploy	roy_encourage_guerrilla_hideForest_stalk_immPsy
hide_forest	roy_encourage_guerrilla_hideForest_stalk_immPsy
stalk	roy_encourage_guerrilla_hideForest_stalk_immPsy
immune_to_psychology	roy_encourage_guerrilla_hideForest_stalk_immPsy
