attribute	attribute_group
#unit_attributes_to_groups_junctions_tables;2;db/unit_attributes_to_groups_junctions_tables/ovn	
causes_fear	ovn_finmor
encourages	ovn_finmor
hide_forest	ovn_finmor
charge_reflector_vs_large	ovn_fimm_guard
causes_fear	ovn_fimm_guard
causes_fear	ovn_mistmor
wallbreaker	ovn_mistmor
causes_fear	ovn_fianna_fimm
charge_reflector	ovn_fianna_fimm
causes_terror	ovn_mistmor
encourages	ovn_fianna_fimm
strider	ovn_fianna_fimm
causes_fear	ovn_shearl
expendable	ovn_shearl
hide_forest	ovn_shearl
causes_fear	ovn_death_quest
rampage	ovn_death_quest
hide_forest	ovn_death_quest
causes_fear	ovn_killing_eye
hide_forest	ovn_killing_eye
unbreakable	ovn_killing_eye
rampage	ovn_killing_eye
encourages	roy_encourage_guerrilla_hideForest_mountedFireMove_immPsy
guerrilla_deploy	roy_encourage_guerrilla_hideForest_mountedFireMove_immPsy
hide_forest	roy_encourage_guerrilla_hideForest_mountedFireMove_immPsy
mounted_fire_move	roy_encourage_guerrilla_hideForest_mountedFireMove_immPsy
immune_to_psychology	roy_encourage_guerrilla_hideForest_mountedFireMove_immPsy
encourages	roy_encourage_guerrilla_hideForest_stalk_immPsy
guerrilla_deploy	roy_encourage_guerrilla_hideForest_stalk_immPsy
hide_forest	roy_encourage_guerrilla_hideForest_stalk_immPsy
stalk	roy_encourage_guerrilla_hideForest_stalk_immPsy
immune_to_psychology	roy_encourage_guerrilla_hideForest_stalk_immPsy
causes_terror	belakor_wallbreaker_terror_unbreakable_rampage_encourage
encourages	belakor_wallbreaker_terror_unbreakable_rampage_encourage
causes_fear	belakor_wallbreaker_terror_unbreakable_rampage_encourage
hide_forest	belakor_wallbreaker_terror_unbreakable_rampage_encourage
construct	construct_fear_hideForest_undead
causes_fear	construct_fear_hideForest_undead
hide_forest	construct_fear_hideForest_undead
undead	construct_fear_hideForest_undead
construct	construct_fear_terror_undead
causes_fear	construct_fear_terror_undead
undead	construct_fear_terror_undead
causes_terror	construct_fear_terror_undead
hide_forest	hideForest_guerilla_stalk_ignore_trees_mountedfire
guerrilla_deploy	hideForest_guerilla_stalk_ignore_trees_mountedfire
stalk	hideForest_guerilla_stalk_ignore_trees_mountedfire
ignore_trees	hideForest_guerilla_stalk_ignore_trees_mountedfire
mounted_fire_move	hideForest_guerilla_stalk_ignore_trees_mountedfire
immune_to_psychology	immPsy_hide_chargereflect_ovn
charge_reflector	immPsy_hide_chargereflect_ovn
hide_forest	immPsy_hide_chargereflect_ovn
hide_forest	hide_chargevsL_stalk_guerilla
charge_reflector_vs_large	hide_chargevsL_stalk_guerilla
stalk	hide_chargevsL_stalk_guerilla
strider	hide_chargevsL_stalk_guerilla
causes_fear	fear_guerrilla_mountedFireMove_hideForest
guerrilla_deploy	fear_guerrilla_mountedFireMove_hideForest
mounted_fire_move	fear_guerrilla_mountedFireMove_hideForest
hide_forest	fear_guerrilla_mountedFireMove_hideForest
fatigue_immune	undead_grail_knights
causes_fear	undead_grail_knights
causes_terror	undead_grail_knights
undead	undead_grail_knights
hide_forest	undead_grail_knights
causes_fear	fear_immune_to_psy
immune_to_psychology	fear_immune_to_psy
causes_fear	fear_forest_nopen
guerrilla_deploy	fear_forest_nopen
moulder_monster	fear_forest_nopen
strider	fear_forest_nopen
causes_fear	fear_terror_chargereflector
causes_terror	fear_terror_chargereflector
charge_reflector	fear_terror_chargereflector
causes_fear	fear_wallbreaker
wallbreaker	fear_wallbreaker
causes_fear	encourage_fear_hideForest_wallbreaker
wallbreaker	encourage_fear_hideForest_wallbreaker
encourages	encourage_fear_hideForest_wallbreaker
hide_forest	encourage_fear_hideForest_wallbreaker
guerrilla_deploy	amazon_att
stalk	amazon_att
strider	amazon_att
stalk	amazon_att2
causes_fear	amazon_att2
strider	jezzail
stalk	jezzail
guerrilla_deploy	jezzail
hide_forest	jezzail
hide_forest	genie
strider	genie
causes_fear	genie
causes_terror	genie
stalk	elo_boglar
hide_forest	elo_boglar
guerrilla_deploy	elo_boglar
expendable	elo_boglar
encourages	elo_boglar
hide_forest	elo_carrion_boss
encourages	elo_carrion_boss
expendable	elo_carrion_boss
hide_forest	elo_carrion_boss_squig
encourages	elo_carrion_boss_squig
expendable	elo_carrion_boss_squig
immune_to_psychology	elo_carrion_boss_squig
guerrilla_deploy	elo_carrion_boss_squig
hide_forest	elo_troll_fear_terror
causes_fear	elo_troll_fear_terror
causes_terror	elo_troll_fear_terror
moulder_monster	elo_troll_fear_terror
hide_forest	elo_troll_fear
causes_fear	elo_troll_fear
moulder_monster	elo_troll_fear
hide_forest	elo_troll_fear_guerrilla_terror
causes_fear	elo_troll_fear_guerrilla_terror
causes_terror	elo_troll_fear_guerrilla_terror
moulder_monster	elo_troll_fear_guerrilla_terror
guerrilla_deploy	elo_troll_fear_guerrilla_terror
hide_forest	elo_troll_fear_immune_to_psy
causes_fear	elo_troll_fear_immune_to_psy
moulder_monster	elo_troll_fear_immune_to_psy
immune_to_psychology	elo_troll_fear_immune_to_psy
hide_forest	elo_troll_fear_terror_chargereflector
causes_fear	elo_troll_fear_terror_chargereflector
moulder_monster	elo_troll_fear_terror_chargereflector
causes_terror	elo_troll_fear_terror_chargereflector
charge_reflector	elo_troll_fear_terror_chargereflector
