unit_set_to_unit_junctions_tables	0
exclude	unit_caste	unit_category	unit_class	unit_record	unit_set
false				ovn_finmor	dlc08_nor_fimirs
false				ovn_finmor	dlc08_nor_trolls_fimirs
false				ovn_finmor	wh2_dlc11_nor_fimir_giant_mammoth
false				ovn_finmor	wh2_dlc11_nor_vets_trolls_frost_wyrm_giant_mammoth_fimir
false				ovn_finmor_belakor	dlc08_nor_fimirs
false				ovn_finmor_belakor	dlc08_nor_trolls_fimirs
false				ovn_finmor_belakor	wh2_dlc11_nor_fimir_giant_mammoth
false				ovn_finmor_belakor	wh2_dlc11_nor_vets_trolls_frost_wyrm_giant_mammoth_fimir
false				ovn_finmor_belakor	wh2_main_ror_units_all
false				ovn_finmor_belakor	mp_cap_ovn_finmor_belakor
