unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;0;db/unit_set_to_unit_junctions_tables/@@fimir_units					
			ovn_shearl	dlc08_nor_fimirs	false
			ovn_killing_eye	dlc08_nor_fimirs	false
			ovn_fianna_fimm	dlc08_nor_fimirs	false
			ovn_mistmor	dlc08_nor_fimirs	false
			ovn_death_quest	dlc08_nor_fimirs	false
			ovn_shearl	dlc08_nor_trolls_fimirs	false
			ovn_killing_eye	dlc08_nor_trolls_fimirs	false
			ovn_fianna_fimm	dlc08_nor_trolls_fimirs	false
			ovn_mistmor	dlc08_nor_trolls_fimirs	false
			ovn_death_quest	dlc08_nor_trolls_fimirs	false
			ovn_killing_eye	wh2_dlc11_nor_fimir_giant_mammoth	false
			ovn_shearl	wh2_dlc11_nor_fimir_giant_mammoth	false
			ovn_shearl	wh2_dlc11_nor_vets_trolls_frost_wyrm_giant_mammoth_fimir	false
			ovn_killing_eye	wh2_dlc11_nor_vets_trolls_frost_wyrm_giant_mammoth_fimir	false
			ovn_killing_eye	wh2_main_ror_units_all	false
			ovn_killing_eye	mp_cap_ovn_killing_eye	false
			ovn_fianna_fimm	wh2_dlc11_nor_fimir_giant_mammoth	false
			ovn_fianna_fimm	wh2_dlc11_nor_vets_trolls_frost_wyrm_giant_mammoth_fimir	false
			ovn_mistmor	wh2_dlc11_nor_fimir_giant_mammoth	false
			ovn_mistmor	wh2_dlc11_nor_vets_trolls_frost_wyrm_giant_mammoth_fimir	false
			ovn_death_quest	wh2_dlc11_nor_fimir_giant_mammoth	false
			ovn_death_quest	wh2_dlc11_nor_vets_trolls_frost_wyrm_giant_mammoth_fimir	false
			ovn_fimm	dlc08_nor_fimirs	false
			ovn_gharnus_demon	dlc08_nor_fimirs	false
			ovn_fimm	dlc08_nor_trolls_fimirs	false
			ovn_gharnus_demon	dlc08_nor_trolls_fimirs	false
			ovn_gharnus_demon	wh2_dlc11_nor_fimir_giant_mammoth	false
			ovn_fimm	wh2_dlc11_nor_fimir_giant_mammoth	false
			ovn_fimm	wh2_dlc11_nor_vets_trolls_frost_wyrm_giant_mammoth_fimir	false
			ovn_gharnus_demon	wh2_dlc11_nor_vets_trolls_frost_wyrm_giant_mammoth_fimir	false
			ovn_gharnus_demon	wh2_main_ror_units_all	false
			ovn_gharnus_demon	mp_cap_ovn_gharnus_demon	false
			ovn_fim_cav_bog_beast_riders_0	dlc08_nor_fimirs	false
			ovn_fim_cav_bog_beast_riders_0	dlc08_nor_trolls_fimirs	false
			ovn_fim_cav_bog_beast_riders_0	wh2_dlc11_nor_fimir_giant_mammoth	false
			ovn_fim_cav_bog_beast_riders_0	wh2_dlc11_nor_vets_trolls_frost_wyrm_giant_mammoth_fimir	false
			ovn_shearl_no_garrison	dlc08_nor_fimirs	false
			ovn_shearl_no_garrison	dlc08_nor_trolls_fimirs	false
			ovn_shearl_no_garrison	wh2_dlc11_nor_fimir_giant_mammoth	false
			ovn_shearl_no_garrison	wh2_dlc11_nor_vets_trolls_frost_wyrm_giant_mammoth_fimir	false
