faction	unit	name	variant	unit_card
#unit_variants_tables;5;db/unit_variants_tables/!ovn_dread_king				
	dread_wh2_dlc09_tmb_veh_skeleton_chariot_0	dread_wh2_dlc09_tmb_veh_skeleton_chariot_0_crew	wh2_dlc09_tmb_skeleton_halberd	wh2_dlc09_tmb_skeleton_chariot
	dread_wh2_dlc09_tmb_veh_skeleton_archer_chariot_0	dread_wh2_dlc09_tmb_veh_skeleton_archer_chariot_0_crew	wh2_dlc09_tmb_skeleton_sword_bow	wh2_dlc09_tmb_skeleton_chariot_archers
	dread_wh2_dlc09_tmb_mon_khemrian_warsphinx_0	dread_wh2_dlc09_tmb_veh_khemrian_warsphinx_0_crew	wh2_dlc09_tmb_tomb_guard_bow	wh2_dlc09_tmb_warsphinx
wh2_dlc09_tmb_the_sentinels	tmb_grave_halberd	tmb_grave_halberd	dread_grave_halberd	tmb_grave_halberd
wh2_dlc09_tmb_the_sentinels	wh_main_tmb_inf_grave_guard	wh_main_tmb_inf_grave_guard	dread_grave_sword	wh_main_vmp_grave_guard
wh2_dlc09_tmb_the_sentinels	wh2_dlc09_tmb_cav_skeleton_horsemen_archers_0	wh2_dlc09_tmb_cav_skeleton_horsemen_archers_0	dread_wh2_dlc09_tmb_skeleton_sword_bow	wh2_dlc09_tmb_skeleton_horsemen_archers
wh2_dlc09_tmb_the_sentinels	wh2_dlc09_tmb_inf_nehekhara_warriors_0	wh2_dlc09_tmb_inf_nehekhara_warriors_0	dread_wh2_dlc09_tmb_skeleton_armoured_dual_swords	wh2_dlc09_tmb_nehekhara_warriors
wh2_dlc09_tmb_the_sentinels	wh2_dlc09_tmb_art_screaming_skull_catapult_0	wh2_dlc09_tmb_art_screaming_skull_catapult_0_crew	dread_wh2_dlc09_tmb_skeleton_sword	wh2_dlc09_tmb_screaming_skull_catapult
wh2_dlc09_tmb_the_sentinels	wh2_dlc09_tmb_inf_skeleton_warriors_0_summoned	wh2_dlc09_tmb_inf_skeleton_warriors_0_summoned	dread_wh2_dlc09_tmb_skeleton_sword_shield	wh_main_vmp_skeleton_warrior_sword
wh2_dlc09_tmb_the_sentinels	wh_main_vmp_inf_skeleton_warriors_0_summoned	wh_main_vmp_inf_skeleton_warriors_0_summoned	dread_wh2_dlc09_tmb_skeleton_sword_shield	wh_main_vmp_skeleton_warrior_sword
wh2_dlc09_tmb_the_sentinels	wh_main_vmp_inf_grave_guard_0_summoned	wh_main_vmp_inf_grave_guard_0_summoned	dread_grave_sword	wh_main_vmp_grave_guard
