faction	unit	name	variant	unit_card
#unit_variants_tables;5;db/unit_variants_tables/ovn_albion_ror				
	albion_shieldmaiden_ror	albion_shieldmaiden_ror	albion_shieldmaiden_ror	albion_swordmaiden
	albion_bologs_giant_ror	albion_bologs_giant_ror	albion_bologs_giant_ror	albion_giant
	elo_fly_infested_rotwood	elo_fly_infested_rotwood	elo_fly_infested_rotwood	elo_fenbeast
	albion_woadraider_sworn_ror	albion_woadraider_sworn_ror	albion_woadraider_sworn_ror	elo_woadraider
	alb_cav_noble_first_ror	alb_cav_noble_first_ror	alb_cav_noble_first_ror	alb_cav_noble
	albion_warriors_lugh	albion_warriors_lugh	albion_warriors_lugh	elo_albion_warriors
	albion_huntresses_warden_ror	albion_huntresses_warden_ror	albion_huntresses_warden_ror	albion_huntresses
	albion_centaur_hunter_ror	albion_centaur_hunter_ror	albion_centaur_hunter_ror	albion_centaurs
	albion_cachtorr_stonethrower	albion_cachtorr_stonethrower	albion_cachtorr_stonethrower	ovn_alb_stone_throw_giant
	albion_highlander_ror	albion_highlander_ror	albion_highlander_ror	albion_hearthguard_2h
