faction	unit	name	variant	unit_card
#unit_variants_tables;5;db/unit_variants_tables/ovn_araby				
	arb_golden_magus	arb_golden_magus	arb_golden_magus	arb_golden_magus
	arb_golden_magus_camel	arb_golden_magus_camel	arb_golden_magus_horse	arb_golden_magus
	arb_golden_magus_skiff	arb_golden_magus_skiff	arb_golden_magus	arb_golden_magus
	ovn_arb_mon_genie_summoned	ovn_arb_mon_genie_summoned	ovn_arb_genie	genie
	arb_sultan_of_flame	arb_sultan_of_flame	arb_sultan_of_flame	arb_sultan_of_flame
	OtF_khemri_knights	OtF_khemri_knights	OtF_khemri_knights	ovn_arb_knights
	OtF_khemri_archers	OtF_khemri_archers	OtF_khemri_archers	ovn_arb_archer
	OtF_khemri_kepra_guard	OtF_khemri_kepra_guard	OtF_khemri_kepra_guard	OtF_khemri_kepra_guard
	OtF_khemri_spearmen	OtF_khemri_spearmen	OtF_khemri_spearmen	ovn_arb_spearman
	OtF_khemri_swordsmen	OtF_khemri_swordsmen	OtF_khemri_swordsmen	ovn_arb_warrior
	OtF_khemri_elite_guard	OtF_khemri_elite_guard	OtF_khemri_elite_guard	ovn_arb_guard
wh2_main_arb_aswad_scythans	OtF_khemri_rangers	OtF_khemri_rangers	scythan_ranger	ovn_arb_nomads
	OtF_khemri_rangers	OtF_khemri_rangers	otf_khemri_rangers	ovn_arb_nomads
	ovn_yeoman	ovn_yeoman	ovn_yeoman	ovn_arb_tuareg_riders
	ovn_yeomanarchers	ovn_yeomanarchers	ovn_yeomanarchers	ovn_arb_bedouin_scouts
	ovn_corsairs	ovn_corsairs	ovn_corsairs	ovn_arb_corsairs
	ovn_elephant	ovn_elephant	ovn_elephant	ovn_arb_elephants
	ovn_prometheans	ovn_prometheans	ovn_prometheans	wh2_dlc11_cst_rotting_prometheans
	ovn_southlander	ovn_southlander	ovn_southlander	ovn_arb_southland_warriors
	ovn_slave	ovn_slave	ovn_slave	ovn_arb_shakas_slaves
	ovn_ifreet	ovn_ifreet	ovn_ifreet	ovn_arb_khimar
	ovn_jez	ovn_jez	ovn_jez	ovn_arb_jezzail
	ovn_glad	ovn_glad	ovn_glad	ovn_glad
wh2_main_arb_aswad_scythans	wh_main_grn_mon_giant	wh_main_grn_mon_giant	arb_giant	ovn_arb_nomad_giant
	ovn_scor	ovn_scor	ovn_scor	ovn_scor
	ovn_knights_ror	ovn_knights_ror	ovn_knights_ror	OtF_khemri_knights
	ovn_cat_knights	ovn_cat_knights	ovn_cat_knights	ovn_arb_cataphracts
	ovn_cat_knights_ror	ovn_cat_knights_ror	ovn_cat_knights_ror	ovn_arb_cataphracts_ror
	ovn_jez_ror	ovn_jez_ror	ovn_jez_ror	ovn_arb_jezzail_ror
	ovn_jag	ovn_jag	ovn_jag	ovn_arb_jaguar_warriors
	ovn_jag_ror	ovn_jag_ror	ovn_jag_ror	ovn_arb_jaguar_warriors_ror
	ovn_elephant_ror	ovn_elephant_ror	OtF_khemri_archers	ovn_arb_ravager_ka-sabar
	akp_brt_ballista	akp_brt_ballista	ovn_peasants_mob	ovn_arb_arradah
	sr_ogre_arb	sr_ogre_arb	sr_ogre_arb	ovn_arb_ogres
	roy_arb_cha_nomad	roy_arb_cha_nomad	ovn_arb_cha_nomad_03	ovn_arb_cha_nomad_03
	roy_arb_cha_nomad_horse	roy_arb_cha_nomad	ovn_arb_cha_nomad_03	ovn_arb_cha_nomad_03
	roy_arb_cha_nomad_horse_jezzail	roy_arb_cha_nomad	ovn_arb_cha_nomad_jezzail_03	ovn_arb_cha_nomad_03
	roy_arb_cha_champion	roy_arb_cha_champion	ovn_arb_cha_champion	roy_arb_cha_champion
	roy_arb_cha_champion_elephant	roy_arb_cha_champion	ovn_arb_cha_champion	roy_arb_cha_champion
	roy_arb_cha_champion_horse	roy_arb_cha_champion	ovn_arb_cha_champion	roy_arb_cha_champion
	roy_arb_cha_champion_warhorse	roy_arb_cha_champion	ovn_arb_cha_champion	roy_arb_cha_champion
	roy_arb_cha_nomad_assassin	roy_arb_cha_nomad	ovn_arb_cha_nomad_assassin	roy_arb_cha_nomad
	roy_arb_cha_nomad_assassin_summoned	roy_arb_cha_nomad_assassin_summoned	ovn_arb_cha_nomad_assassin	roy_arb_cha_nomad
	roy_arb_cha_lord_horse	ovn_araby_ll	ovn_araby_ll	ovn_araby_ll
	ovn_arb_cav_jezzail_camel	ovn_arb_cav_jezzail_camel	ovn_arb_camel_rider_jezzail	ovn_arb_camel_jez
	ovn_arb_cav_archer_camel	ovn_arb_cav_archer_camel	ovn_arb_camel_rider_archer	ovn_arb_camel_arc
	ovn_arb_cav_lancer_camel	ovn_arb_cav_lancer_camel	ovn_arb_camel_rider_lancer	ovn_arb_camel_lan
	ovn_arb_mon_war_elephant_ror	ovn_arb_mon_war_elephant_ror	OtF_khemri_archers	ovn_arb_mon_war_elephant_ror
	ovn_arb_mon_genie	ovn_arb_mon_genie	ovn_arb_genie	genie
	ovn_arb_mon_sea_nymph	ovn_arb_mon_sea_nymph	ovn_arb_sea_nymph	water_genie
	ovn_arb_mon_desert_spirit	ovn_arb_mon_desert_spirit	ovn_arb_desert_spirit	sand_genie
	ovn_arb_mon_fire_efreet	ovn_arb_mon_fire_efreet	ovn_arb_fire_efreet	fire_genie
	ovn_arb_mon_tempest_djinn	ovn_arb_mon_tempest_djinn	ovn_arb_tempest_djinn	wind_genie
	ovn_arb_cha_magician_life_0	ovn_arb_cha_magician_life	ovn_arb_ch_magician_life	araby_wiz_life
	ovn_arb_cha_magician_desert_0	ovn_arb_cha_magician_desert	ovn_arb_ch_magician_desert	araby_wiz
	ovn_arb_cha_magician_fire_0	ovn_arb_cha_magician_fire	ovn_arb_ch_magician_fire	araby_wiz_fire
	ovn_arb_cha_magician_heavens_0	ovn_arb_cha_magician_heavens	ovn_arb_ch_magician_heavens	araby_wiz_sky
	ovn_arb_cha_magician_life_1	ovn_arb_cha_magician_life	ovn_arb_ch_magician_life	araby_wiz_life
	ovn_arb_cha_magician_desert_1	ovn_arb_cha_magician_desert	ovn_arb_ch_magician_desert	araby_wiz
	ovn_arb_cha_magician_fire_1	ovn_arb_cha_magician_fire	ovn_arb_ch_magician_fire	araby_wiz_fire
	ovn_arb_cha_magician_heavens_1	ovn_arb_cha_magician_heavens	ovn_arb_ch_magician_heavens	araby_wiz_sky
	ovn_arb_cha_magician_life_2	ovn_arb_cha_magician_life	ovn_arb_ch_magician_life_carpet	araby_wiz_life
	ovn_arb_cha_magician_desert_2	ovn_arb_cha_magician_desert	ovn_arb_ch_magician_desert_carpet	araby_wiz
	ovn_arb_cha_magician_fire_2	ovn_arb_cha_magician_fire	ovn_arb_ch_magician_fire_carpet	araby_wiz_fire
	ovn_arb_cha_magician_heavens_2	ovn_arb_cha_magician_heavens	ovn_arb_ch_magician_heavens_carpet	araby_wiz_sky
	ovn_arb_art_grand_bombard	ovn_arb_art_grand_bombard_crew	ovn_peasants_mob	ovn_arb_grand_bombard
	ovn_khemri_spearmen_summoned_0	ovn_khemri_spearmen_summoned_0	arb_mirage_spearmen	ovn_arb_spearman
	ovn_khemri_spearmen_summoned_1	ovn_khemri_spearmen_summoned_1	arb_mirage_spearmen	ovn_arb_spearman
	wh_main_arb_cav_magic_carpet_0	wh_main_arb_cav_magic_carpet_0	wh_arb_magic_carpet_rider	wh_main_arb_magic_carpet
	wh_main_arb_mon_elephant	wh_main_arb_mon_elephant	wh_main_arb_mahout	ovn_arb_elephants
	wh_main_arb_mon_war_elephant	wh_main_arb_mon_war_elephant	OtF_khemri_archers	ovn_arb_war_elephant
	wh_main_arb_cha_sheikh_2	ovn_araby_ll	wh_main_arb_sheikh_mounted	ovn_araby_ll
	ovn_arb_cav_scorpion	ovn_arb_cav_scorpion	OtF_khemri_archers	ovn_arb_giant_dune_scorpion
	ovn_arb_art_trebuchet	ovn_arb_art_trebuchet_crew	ovn_peasants_mob	ovn_arb_manganiq
	Sultan_Jaffar	Sultan_Jaffar	Sultan_Jaffar	Sultan_Jaffar
	Sultan_Jaffar_camel	Sultan_Jaffar_camel	Sultan_Jaffar_horse	Sultan_Jaffar
	Sultan_Jaffar_elephant	Sultan_Jaffar_elephant	Sultan_Jaffar	Sultan_Jaffar
	Djinn_fire	Djinn_fire	Djinn_fire	fire_genie
	ovn_araby_ll	ovn_araby_ll	ovn_araby_ll	ovn_araby_ll
	ovn_araby_ll_mount	ovn_araby_ll	ovn_araby_ll	ovn_araby_ll
wh2_main_arb_caliphate_of_araby	wh_main_grn_mon_giant	wh_main_grn_mon_giant	arb_giant	ovn_arb_nomad_giant
wh2_main_arb_flaming_scimitar	wh_main_grn_mon_giant	wh_main_grn_mon_giant	arb_giant	ovn_arb_nomad_giant
	arb_fatandira	arb_fatandira	arb_fatandira	placeholder
	arb_fatandira_warhorse	arb_fatandira_warhorse	arb_fatandira	placeholder
	arb_fatandira_roc	arb_fatandira_roc	arb_fatandira	placeholder
	ovn_araby_ll_2	ovn_araby_ll_2	ovn_araby_ll_2	ovn_araby_ll_2
	ovn_araby_ll_2_mount	ovn_araby_ll_2_mount	ovn_araby_ll_2	ovn_araby_ll_2
	roy_arb_cha_lord_horse_2	roy_arb_cha_lord_horse_2	ovn_araby_ll_2	ovn_araby_ll_2
	wh_main_arb_cha_sheikh_2_02	ovn_araby_ll	wh_main_arb_sheikh_2_mounted	ovn_araby_ll_2
wh2_main_arb_flaming_scimitar	OtF_khemri_archers	OtF_khemri_archers	OtF_khemri_archers	ovn_arb_archer_flame
wh2_main_arb_aswad_scythans	OtF_khemri_archers	OtF_khemri_archers	scythan_archers	ovn_arb_archer_scy
wh2_main_arb_flaming_scimitar	OtF_khemri_spearmen	OtF_khemri_spearmen	OtF_khemri_spearmen	ovn_arb_spearman_flame
wh2_main_arb_aswad_scythans	OtF_khemri_spearmen	OtF_khemri_spearmen	scythan_spearmen	ovn_arb_spearman_scy
wh2_main_arb_flaming_scimitar	OtF_khemri_swordsmen	OtF_khemri_swordsmen	OtF_khemri_swordsmen	ovn_arb_warrior_flame
wh2_main_arb_aswad_scythans	OtF_khemri_swordsmen	OtF_khemri_swordsmen	scythan_swordsmen	ovn_arb_warrior_scy
wh2_main_arb_flaming_scimitar	ovn_arb_cav_jezzail_camel	ovn_arb_cav_jezzail_camel	ovn_arb_camel_rider_jezzail	ovn_arb_camel_jez_flame
wh2_main_arb_aswad_scythans	ovn_arb_cav_jezzail_camel	ovn_arb_cav_jezzail_camel	ovn_arb_camel_rider_jezzail	ovn_arb_camel_jez_scy
wh2_main_arb_flaming_scimitar	ovn_arb_cav_archer_camel	ovn_arb_cav_archer_camel	ovn_arb_camel_rider_archer	ovn_arb_camel_arc_flame
wh2_main_arb_aswad_scythans	ovn_arb_cav_archer_camel	ovn_arb_cav_archer_camel	ovn_arb_camel_rider_archer	ovn_arb_camel_arc_scy
wh2_main_arb_flaming_scimitar	ovn_arb_cav_lancer_camel	ovn_arb_cav_lancer_camel	ovn_arb_camel_rider_lancer	ovn_arb_camel_lan_flame
wh2_main_arb_aswad_scythans	ovn_arb_cav_lancer_camel	ovn_arb_cav_lancer_camel	ovn_arb_camel_rider_lancer	ovn_arb_camel_lan_scy
wh2_main_arb_flaming_scimitar	ovn_cat_knights	ovn_cat_knights	ovn_cat_knights	ovn_arb_cataphracts_flame
wh2_main_arb_aswad_scythans	ovn_cat_knights	ovn_cat_knights	scythan_cataphracts	ovn_arb_cataphracts_scy
wh2_main_arb_flaming_scimitar	OtF_khemri_elite_guard	OtF_khemri_elite_guard	OtF_khemri_elite_guard	ovn_arb_guard_flame
wh2_main_arb_aswad_scythans	OtF_khemri_elite_guard	OtF_khemri_elite_guard	scythan_guard	ovn_arb_guard_scy
wh2_main_arb_flaming_scimitar	ovn_jez	ovn_jez	ovn_jez	ovn_arb_jezzail_flame
wh2_main_arb_aswad_scythans	ovn_jez	ovn_jez	ovn_jez	ovn_arb_jezzail_scy
wh2_main_arb_aswad_scythans	OtF_khemri_knights	OtF_khemri_knights	scythan_knights	ovn_arb_knights_flame
wh2_main_arb_flaming_scimitar	OtF_khemri_knights	OtF_khemri_knights	OtF_khemri_knights	ovn_arb_knights_flame
wh2_main_arb_aswad_scythans	ovn_slave	ovn_slave	ovn_slave	ovn_arb_shakas_slaves_flame
wh2_main_arb_flaming_scimitar	ovn_slave	ovn_slave	ovn_slave	ovn_arb_shakas_slaves_scy
	hous_nec	hous_nec	hous_nec	wh2_dlc11_cst_necrofex_colossus
	ovn_bom_ror	ovn_arb_art_grand_bombard_crew_2	ovn_peasants_mob	ovn_arb_grand_bombard
	wh_main_arb_cav_magic_carpet_0	wh_main_arb_cav_magic_carpet_0	ovn_arb_flying_carpet_rider	wh_main_arb_magic_carpet
	ovn_arb_cav_flying_carpet_ror	ovn_arb_cav_flying_carpet_ror	ovn_arb_flying_carpet_rider_ror	wh_main_arb_magic_carpet_ror
