units_custom_battle_mounts_tables	1
base_unit	icon_name	mounted_unit
ovn_arb_cha_magician_life_0	ui/campaign ui/mounts/mount_djinn_vessel.png	ovn_arb_cha_magician_life_1
ovn_arb_cha_magician_desert_0	ui/campaign ui/mounts/mount_djinn_vessel.png	ovn_arb_cha_magician_desert_1
ovn_arb_cha_magician_fire_0	ui/campaign ui/mounts/mount_djinn_vessel.png	ovn_arb_cha_magician_fire_1
ovn_arb_cha_magician_heavens_0	ui/campaign ui/mounts/mount_djinn_vessel.png	ovn_arb_cha_magician_heavens_1
ovn_arb_cha_magician_life_0	ui/campaign ui/mounts/mount_magic_carpet.png	ovn_arb_cha_magician_life_2
ovn_arb_cha_magician_desert_0	ui/campaign ui/mounts/mount_magic_carpet.png	ovn_arb_cha_magician_desert_2
ovn_arb_cha_magician_fire_0	ui/campaign ui/mounts/mount_magic_carpet.png	ovn_arb_cha_magician_fire_2
ovn_arb_cha_magician_heavens_0	ui/campaign ui/mounts/mount_magic_carpet.png	ovn_arb_cha_magician_heavens_2
ovn_araby_ll	ui/campaign ui/mounts/mount_mammoth.png	wh_main_arb_cha_sheikh_2
ovn_araby_ll_2	ui/campaign ui/mounts/mount_mammoth.png	wh_main_arb_cha_sheikh_2_02
Dread_King	ui/campaign ui/mounts/mount_zombie_dragon.png	Dread_King_2
elo_hand_of_nagash	ui/campaign ui/mounts/mount_skeleton_chariot.png	elo_hand_of_nagash_chariot
aky_chief_wolf_werekin_0	ui/campaign ui/mounts/mount_terrorgheist.png	aky_chief_wolf_werekin_1_terrorgheist
roy_arb_cha_nomad	ui/campaign ui/mounts/ovn_cam_arb_camel5.png	roy_arb_cha_nomad_horse
roy_arb_cha_champion	ui/campaign ui/mounts/mount_warhorse.png	roy_arb_cha_champion_horse
roy_arb_cha_champion	ui/campaign ui/mounts/mount_barded_warhorse.png	roy_arb_cha_champion_warhorse
roy_arb_cha_champion	ui/campaign ui/mounts/mount_mammoth.png	roy_arb_cha_champion_elephant
roy_arb_cha_nomad	ui/campaign ui/mounts/mount_arb_assassin.png	roy_arb_cha_nomad_assassin
roy_arb_cha_nomad	ui/campaign ui/mounts/ovn_cam_arb_camel5.png	roy_arb_cha_nomad_horse_jezzail
ovn_araby_ll	ui/campaign ui/mounts/mount_imperial_griffon.png	ovn_araby_ll_mount
ovn_araby_ll	ui/campaign ui/mounts/mount_warhorse.png	roy_arb_cha_lord_horse
ovn_araby_ll_2	ui/campaign ui/mounts/mount_imperial_griffon.png	ovn_araby_ll_2_mount
ovn_araby_ll_2	ui/campaign ui/mounts/mount_warhorse.png	roy_arb_cha_lord_horse_2
Sultan_Jaffar	ui/campaign ui/mounts/ovn_cam_arb_camel5.png	Sultan_Jaffar_camel
Sultan_Jaffar	ui/campaign ui/mounts/mount_mammoth.png	Sultan_Jaffar_elephant
albion_truthsayer_beast	ui/campaign ui/mounts/mount_warhorse.png	albion_truthsayer_beast_horse
albion_truthsayer_life	ui/campaign ui/mounts/mount_warhorse.png	albion_truthsayer_life_horse
albion_truthsayer_light	ui/campaign ui/mounts/mount_warhorse.png	albion_truthsayer_light_horse
albion_truthsayer_truth	ui/campaign ui/mounts/mount_warhorse.png	albion_truthsayer_truth_horse
albion_warleader	ui/campaign ui/mounts/mount_warhorse.png	albion_warleader_horse
albion_warleader	ui/campaign ui/mounts/mount_chaos_chariot.png	albion_warleader_chariot
albion_chief	ui/campaign ui/mounts/mount_warhorse.png	albion_chief_horse
albion_chief	ui/campaign ui/mounts/mount_chaos_chariot.png	albion_chief_chariot
albion_morrigan	ui/campaign ui/mounts/mount_great_eagle.png	albion_morrigan_bird
albion_wyrd_druid	ui/campaign ui/mounts/mount_warhorse.png	albion_wyrd_druid_horse
bl_elo_dural_durak	ui/campaign ui/mounts/mount_warhorse.png	bl_elo_dural_durak_horse
bl_elo_dural_durak	ui/campaign ui/mounts/mount_chaos_chariot.png	bl_elo_dural_durak_chariot
