units_custom_battle_permissions_tables	8
faction	general_unit	unit	siege_unit_attacker	siege_unit_defender	general_portrait	general_uniform	set_piece_character	campaign_exclusive
wh_dlc08_nor_goromadny_tribe	false	ovn_boglar	true	true				false
wh_dlc08_nor_goromadny_tribe	false	wh_dlc08_nor_cha_fimir_balefiend_fire_0	true	true	UI/Portraits/Portholes/wh_main_chs_chaos/nor_cha_fimir_balefiend_campaign_02_0.png	wh_dlc08_uniform_nor_fimir_balefiend_campaign_02	wh_dlc08_nor_cha_fimir_balefiend_fire_0	false
wh_dlc08_nor_goromadny_tribe	false	wh_dlc08_nor_cha_fimir_balefiend_shadow_0	true	true	UI/Portraits/Portholes/wh_main_chs_chaos/nor_cha_fimir_balefiend_campaign_01_0.png	wh_dlc08_uniform_nor_fimir_balefiend_campaign_01	wh_dlc08_nor_cha_fimir_balefiend_shadow_0	false
wh_dlc08_nor_goromadny_tribe	false	wh_dlc08_nor_mon_fimir_0	true	true				false
wh_dlc08_nor_goromadny_tribe	false	wh_dlc08_nor_mon_fimir_1	true	true				false
wh_dlc08_nor_goromadny_tribe	false	wh_pro04_nor_mon_fimir_ror_0	true	true				false
wh_dlc08_nor_goromadny_tribe	false	wh_main_chs_mon_giant	true	true				false
wh_dlc08_nor_goromadny_tribe	false	wh2_dlc11_cst_mon_bloated_corpse_0	true	true				false
wh_dlc08_nor_goromadny_tribe	false	ovn_zoat	true	true				false
wh_dlc08_nor_goromadny_tribe	true	aky_chief_fimir_great_weapons_0	true	true	ui/portraits/portholes/wh_main_chs_chaos/aky_chief_fimir_great_weapons_0.png	aky_chief_fimir_great_weapons_0	aky_chief_fimir_great_weapons_0	false
wh_dlc08_nor_goromadny_tribe	false	wh_main_grn_cha_night_goblin_shaman	true	true	ui/portraits/portholes/wh_main_grn_greenskins/grn_night_goblin_shaman_campaign_01_0.png	wh_main_uniform_grn_night_goblin_shaman_campaign_01	wh_main_grn_cha_night_goblin_shaman	false
wh_dlc08_nor_goromadny_tribe	false	wh2_dlc15_grn_mon_river_trolls_0	true	true				false
wh_dlc08_nor_goromadny_tribe	false	wh_dlc08_nor_mon_norscan_ice_trolls_0	true	true				false
wh_dlc08_nor_goromadny_tribe	false	wh_main_chs_mon_trolls	true	true				false
wh_dlc08_nor_goromadny_tribe	false	ovn_fenbeast	true	true				false
wh_dlc08_nor_goromadny_tribe	false	ovn_fenhulk	true	true				false
wh_dlc08_nor_goromadny_tribe	false	wh_pro04_chs_mon_chaos_spawn_ror_0	true	true				false
wh_dlc08_nor_goromadny_tribe	false	wh_pro04_nor_mon_marauder_warwolves_ror_0	true	true				false
wh_dlc08_nor_goromadny_tribe	false	wh2_dlc15_grn_cha_river_troll_hag_0	true	true	ui/portraits/portholes/wh_main_grn_greenskins/grn_troll_hag_campaign_01_0.png	wh2_dlc15_grn_river_troll_hag_campaign_01	wh2_dlc15_grn_cha_river_troll_hag_0	false
wh_dlc08_nor_goromadny_tribe	false	ovn_death_quest	true	true				false
wh_dlc08_nor_goromadny_tribe	false	ovn_fianna_fimm	true	true				false
wh_dlc08_nor_goromadny_tribe	false	ovn_fimm	true	true				false
wh_dlc08_nor_goromadny_tribe	false	ovn_mistmor	true	true				false
wh_dlc08_nor_goromadny_tribe	false	ovn_gharnus_demon	true	true				false
wh_dlc08_nor_goromadny_tribe	false	ovn_killing_eye	true	true				false
wh_dlc08_nor_goromadny_tribe	false	ovn_shearl	true	true				false
wh_dlc08_nor_goromadny_tribe	false	ovn_fim_cav_bog_beast_riders_0	true	true				false
wh_dlc08_nor_goromadny_tribe	false	ovn_fim_mon_javelin_0	true	true				false
wh_dlc08_nor_goromadny_tribe	false	ovn_fim_mon_caster_0	true	true				false
wh_dlc08_nor_goromadny_tribe	false	rbt_nurgle_daemon	true	true				false
wh_dlc08_nor_goromadny_tribe	false	kho_bloodletter	true	true				false
wh_dlc08_nor_goromadny_tribe	false	ovn_marsh_hounds	true	true				false
wh_dlc08_nor_goromadny_tribe	false	ovn_finmor	true	true				false
wh_dlc08_nor_goromadny_tribe	false	wh_dlc08_nor_mon_frost_wyrm_0	true	true				false
wh_dlc08_nor_goromadny_tribe	false	wh_dlc08_nor_cha_fimir_balefiend_beast	true	true	UI/Portraits/Portholes/wh_main_chs_chaos/nor_cha_fimir_balefiend_campaign_03_0.png	wh_dlc08_uniform_nor_fimir_balefiend_campaign_03	wh_dlc08_nor_cha_fimir_balefiend_shadow_0	false
wh_dlc08_nor_goromadny_tribe	false	wh_dlc08_nor_cha_fimir_balefiend_death	true	true	UI/Portraits/Portholes/wh_main_chs_chaos/nor_cha_fimir_balefiend_campaign_02_0.png	wh_dlc08_uniform_nor_fimir_balefiend_campaign_02	wh_dlc08_nor_cha_fimir_balefiend_shadow_0	false
