units_to_groupings_military_permissions_tables	0
unit	military_group
OtF_khemri_knights	ovn_araby
OtF_khemri_archers	ovn_araby
OtF_khemri_kepra_guard	ovn_araby
OtF_khemri_spearmen	ovn_araby
OtF_khemri_swordsmen	ovn_araby
OtF_khemri_elite_guard	ovn_araby
OtF_khemri_rangers	ovn_araby
ovn_yeoman	ovn_araby
ovn_yeomanarchers	ovn_araby
ovn_corsairs	ovn_araby
sr_ogre_arb	ovn_araby
wh_main_grn_mon_giant	ovn_araby
ovn_southlander	ovn_araby
ovn_slave	ovn_araby
ovn_ifreet	ovn_araby
ovn_jez	ovn_araby
ovn_glad	ovn_araby
ovn_scor	ovn_araby
ovn_knights_ror	ovn_araby
ovn_cat_knights	ovn_araby
ovn_cat_knights_ror	ovn_araby
ovn_jez_ror	ovn_araby
ovn_jag	ovn_araby
ovn_jag_ror	ovn_araby
ovn_bom_ror	ovn_araby
akp_brt_ballista	ovn_araby
ovn_araby_ll_mount	ovn_araby
ovn_araby_ll	ovn_araby
Sultan_Jaffar	ovn_araby
ovn_elephant_ror	ovn_araby
wh_main_chs_cav_chaos_knights_0	ovn_araby
wh_main_chs_inf_chaos_warriors_0	ovn_araby
wh_main_chs_mon_chaos_spawn	ovn_araby
wh_dlc06_chs_inf_aspiring_champions_0	ovn_araby
ovn_arb_mon_genie_summoned	ovn_araby
roy_arb_cha_nomad	ovn_araby
roy_arb_cha_nomad_horse	ovn_araby
roy_arb_cha_champion	ovn_araby
roy_arb_cha_champion_horse	ovn_araby
roy_arb_cha_champion_warhorse	ovn_araby
roy_arb_cha_champion_elephant	ovn_araby
roy_arb_cha_lord_horse	ovn_araby
roy_arb_cha_nomad_assassin	ovn_araby
ovn_arb_art_trebuchet	ovn_araby
ovn_arb_cav_scorpion	ovn_araby
wh_main_arb_cav_magic_carpet_0	ovn_araby
wh_main_arb_mon_elephant	ovn_araby
wh_main_arb_mon_war_elephant	ovn_araby
wh_main_arb_cha_sheikh_2	ovn_araby
ovn_arb_art_grand_bombard	ovn_araby
ovn_arb_mon_genie	ovn_araby
ovn_arb_mon_sea_nymph	ovn_araby
ovn_arb_mon_desert_spirit	ovn_araby
ovn_arb_mon_fire_efreet	ovn_araby
ovn_arb_mon_tempest_djinn	ovn_araby
ovn_arb_cha_magician_life_0	ovn_araby
ovn_arb_cha_magician_desert_0	ovn_araby
ovn_arb_cha_magician_fire_0	ovn_araby
ovn_arb_cha_magician_heavens_0	ovn_araby
ovn_arb_cha_magician_life_1	ovn_araby
ovn_arb_cha_magician_desert_1	ovn_araby
ovn_arb_cha_magician_fire_1	ovn_araby
ovn_arb_cha_magician_heavens_1	ovn_araby
ovn_arb_cha_magician_life_2	ovn_araby
ovn_arb_cha_magician_desert_2	ovn_araby
ovn_arb_cha_magician_fire_2	ovn_araby
ovn_arb_cha_magician_heavens_2	ovn_araby
ovn_arb_mon_war_elephant_ror	ovn_araby
ovn_arb_cav_jezzail_camel	ovn_araby
ovn_arb_cav_archer_camel	ovn_araby
ovn_arb_cav_lancer_camel	ovn_araby
ovn_prometheans	ovn_araby
ovn_arb_cav_flying_carpet_ror	ovn_araby
