unit	military_group
#units_to_groupings_military_permissions_tables;0;db/units_to_groupings_military_permissions_tables/ovn_halflings	
ovn_mtl_veh_reaper	ovn_halfling
halfling_housewives	ovn_halfling
elo_bloodhounds	ovn_halfling
wh2_dlc10_hef_mon_treeman_0	ovn_halfling
wh2_dlc10_hef_mon_treekin_0	ovn_halfling
halfling_inf	ovn_halfling
halfling_warfoot	ovn_halfling
halfling_cook	ovn_halfling
wh2_main_hef_mon_great_eagle	ovn_halfling
wh2_dlc10_hef_inf_dryads_0	ovn_halfling
halfling_cock	ovn_halfling
halfling_spear	ovn_halfling
halfling_archer	ovn_halfling
sr_ogre	ovn_halfling
halfling_cook_ror	ovn_halfling
sr_ogre_ror	ovn_halfling
ovn_hlf_ll	ovn_halfling
halfling_cat	ovn_halfling
halfling_cat_ror	ovn_halfling
wh2_dlc13_emp_art_great_cannon_imperial_supply	ovn_halfling
wh2_dlc13_emp_art_helblaster_volley_gun_imperial_supply	ovn_halfling
wh2_dlc13_emp_art_helstorm_rocket_battery_imperial_supply	ovn_halfling
wh2_dlc13_emp_cav_demigryph_knights_0_imperial_supply	ovn_halfling
wh2_dlc13_emp_cav_demigryph_knights_1_imperial_supply	ovn_halfling
wh2_dlc13_emp_cav_empire_knights_imperial_supply	ovn_halfling
wh2_dlc13_emp_cav_outriders_1_imperial_supply	ovn_halfling
wh2_dlc13_emp_cav_pistoliers_1_imperial_supply	ovn_halfling
wh2_dlc13_emp_cav_reiksguard_imperial_supply	ovn_halfling
wh2_dlc13_emp_inf_greatswords_imperial_supply	ovn_halfling
wh2_dlc13_emp_inf_halberdiers_imperial_supply	ovn_halfling
wh2_dlc13_emp_inf_handgunners_imperial_supply	ovn_halfling
wh2_dlc13_emp_veh_luminark_of_hysh_0_imperial_supply	ovn_halfling
wh2_dlc13_emp_veh_steam_tank_imperial_supply	ovn_halfling
wh2_dlc13_emp_veh_war_wagon_0_imperial_supply	ovn_halfling
wh2_dlc13_emp_veh_war_wagon_1_imperial_supply	ovn_halfling
wh_dlc05_wef_inf_dryads_0	ovn_halfling
halfling_thief	ovn_halfling
elo_supply_wagon	ovn_halfling
half_pig	ovn_halfling
halfling_milittia_arch	ovn_halfling
halfling_milittia_great	ovn_halfling
halfling_warden_great	ovn_halfling
hlf_baby_dragon	ovn_halfling
hlf_roast_pig	ovn_halfling
halfling_militia	ovn_halfling
ovn_hlf_moot_general_0	ovn_halfling
ovn_hlf_fieldwarden_0	ovn_halfling
ovn_hlf_master_chef_0	ovn_halfling
ovn_mtl_cav_poultry_riders_0	ovn_halfling
wh_main_mtl_veh_soupcart	ovn_halfling
ovn_mtl_art_hotpot	ovn_halfling
ovn_mtl_art_hotpot_ror	ovn_halfling
ovn_mtl_cav_swine_riders_0	ovn_halfling
ovn_mtl_art_hotpot_emp	wh_main_group_empire_reikland
halfling_cook_emp	wh_main_group_empire_reikland
halfling_spear_emp	wh_main_group_empire_reikland
halfling_milittia_arch_emp	wh_main_group_empire_reikland
halfling_milittia_great_emp	wh_main_group_empire_reikland
halfling_militia_emp	wh_main_group_empire_reikland
ovn_mtl_art_hotpot_emp	wh_main_group_empire
halfling_cook_emp	wh_main_group_empire
halfling_spear_emp	wh_main_group_empire
halfling_milittia_arch_emp	wh_main_group_empire
halfling_milittia_great_emp	wh_main_group_empire
halfling_militia_emp	wh_main_group_empire
ovn_mtl_cav_battleram_riders_0	ovn_halfling
ovn_hlf_sheep_dogs	ovn_halfling
hlf_gatherers	ovn_halfling
ovn_hlf_ll_battle_ram	ovn_halfling
ovn_hlf_ll_swan	ovn_halfling
ovn_hlf_moot_general_3	ovn_halfling
ovn_mtl_cav_swan_riders_0	ovn_halfling
halfling_knights_kitchentable_ror	ovn_halfling
halfling_pantry_guards_ror	ovn_halfling
halfling_lords_of_harvest_ror	ovn_halfling
