variants_tables	6
variant_name	tech_folder	variant_filename	low_poly_filename	mount_scale	scale	scale_variation	super_low_poly_filename
countess_guard		countess_guard		1.0	1.0	0.05	
eric_ragnar		eric_ragnar		1.0	0.82	0.05	
ragnars_wolves		ragnars_wolves		1.0	0.8	0.05	
carlssons_cavalry		carlssons_cavalry		1.0	1.0	0.05	
morgan_bernhardt		morgan_bernhardt		1.0	1.05	0.05	
emp_grudge_cav		emp_grudge_cav_new		1.0	1.0	0.05	
vladimir_stormbringer		vladimir_stormbringer		1.0	1.05	0.05	
grudgebringer_infantry		grudgebringer_infantry_new		1.0	1.02	0.02	
grudgebringer_infantry_officer		grudgebringer_infantry_officer		1.0	1.02	0.02	
grudgebringer_cannon		grudgebringer_cannon		1.0	1.02	0.02	
grudgebringer_cannon_officer		grudgebringer_cannon_officer		1.0	1.02	0.02	
grudgebringer_cavalry		grudgebringer_cavalry_new		1.0	1.02	0.02	
grudgebringer_cavalry_officer		grudgebringer_cavalry_officer		1.0	1.02	0.02	
grudgebringer_crossbow_officer		grudgebringer_crossbow_officer		1.0	1.02	0.02	
grudgebringer_crossbow		grudgebringer_crossbow		1.0	1.02	0.02	
helmgart_bowmen		helmgart_bowmen		1.0	1.02	0.02	
keelers_longbows		keelers_longbows		1.0	1.02	0.02	
dargrimm_firebeard_dwarf_warriors		dargrimm_firebeard_dwarf_warriors		1.0	1.02	0.02	
azguz_bloodfist_dwarf_warriors		azguz_bloodfist_dwarf_warriors		1.0	1.02	0.02	
urblab_rotgut_mercenary_ogres		ogr_gru_ogres		1.0	1.2	0.05	
azguz_bloodfist_dwarf_warriors_officer		azguz_bloodfist_dwarf_warriors_officer		1.0	1.02	0.02	
dargrimm_firebeard_dwarf_warriors_officer		dargrimm_firebeard_dwarf_warriors_officer		1.0	1.02	0.02	
treeman_knarlroot		treeman_knarlroot		1.0	1.02	0.02	
elrod_wood_elf_glade_guards		elrod_wood_elf_glade_guards		1.0	1.02	0.02	
galed_elf_archers		galed_elf_archers		1.0	1.02	0.02	
black_avangers		black_avangers		1.0	1.02	0.02	
black_avangers_officer		black_avangers_officer		1.0	1.02	0.02	
carlsson_cavalry		carlsson_cavalry		1.0	1.02	0.02	
carlsson_guard		carlsson_guard		1.0	1.02	0.02	
carlsson_cavalry_officer		carlsson_cavalry_officer		1.0	1.02	0.02	
countess_guard_officer		countess_guard_officer		1.0	1.02	0.02	
countess_guard_officer1		countess_guard_officer1		1.0	1.02	0.02	
vannheim_75th		vannheim		1.0	1.02	0.02	
vannheim_75th_officer		vannheim_75th_officer		1.0	1.02	0.02	
wh_van_warhorse_armoured		wh_van_warhorse_armoured		1.0	1.02	0.02	
treeman_gnarl_fist		treeman_gnarl_fist		1.0	1.02	0.02	
wh_gru_warhorse		wh_gru_warhorse		1.0	1.02	0.02	
ceridan		ceridan		1.0	1.02	0.02	
wh_rag_warhorse_armoured		wh_rag_warhorse_armoured		1.0	1.02	0.02	
sr_ogre_gru		ogr_gru_ogres		1.0	1.0	0.05	
